epoch_prev,epoch_curr,n_samples,cka_value,cka_change,below_tau
5,10,2040,0.827632,0.172368,0
10,15,2040,0.831746,0.168254,0
15,20,2040,0.821668,0.178332,0
20,25,2040,0.812078,0.187922,0
25,30,2040,0.730666,0.269334,0
30,35,2040,0.764867,0.235133,0
35,40,2040,0.816623,0.183377,0
40,45,2040,0.75741,0.24259,0
45,50,2040,0.783258,0.216742,0
50,55,2040,0.774115,0.225885,0
55,60,2040,0.754523,0.245477,0
60,65,2040,0.80257,0.19743,0
65,70,2040,0.801379,0.198621,0
70,75,2040,0.806141,0.193859,0
75,80,2040,0.780711,0.219289,0
80,85,2040,0.767687,0.232313,0
85,90,2040,0.784799,0.215201,0
90,95,2040,0.792484,0.207516,0
95,100,2040,0.805598,0.194402,0
100,105,2040,0.842582,0.157418,0
105,110,2040,0.968525,0.031475,0
110,115,2040,0.963251,0.036749,0
115,120,2040,0.951774,0.048226,0
120,125,2040,0.93651,0.06349,0
125,130,2040,0.927279,0.072721,0
130,135,2040,0.921955,0.078045,0
135,140,2040,0.910099,0.089901,0
140,145,2040,0.882492,0.117508,0
145,150,2040,0.901453,0.098547,0
150,155,2040,0.90693,0.09307,0
155,160,2040,0.913738,0.086262,0
160,165,2040,0.906298,0.093702,0
165,170,2040,0.904459,0.095541,0
170,175,2040,0.890034,0.109966,0
175,180,2040,0.893565,0.106435,0
180,185,2040,0.897397,0.102603,0
185,190,2040,0.895282,0.104718,0
190,195,2040,0.895086,0.104914,0
195,200,2040,0.901936,0.098064,0
200,205,2040,0.965327,0.034673,0
205,210,2040,0.996664,0.003336,1
210,215,2040,0.998006,0.001994,1
215,220,2040,0.997984,0.002016,1
220,225,2040,0.998263,0.001737,1
225,230,2040,0.998119,0.001881,1
230,235,2040,0.998273,0.001727,1
235,240,2040,0.998609,0.001391,1
240,245,2040,0.998883,0.001117,1
245,250,2040,0.998675,0.001325,1
250,255,2040,0.998939,0.001061,1
255,260,2040,0.998763,0.001237,1
260,265,2040,0.999092,0.000908,1
265,270,2040,0.999093,0.000907,1
270,275,2040,0.999079,0.000921,1
275,280,2040,0.999018,0.000982,1
280,285,2040,0.998877,0.001123,1
285,290,2040,0.999111,0.000889,1
290,295,2040,0.999156,0.000844,1
295,300,2040,0.998902,0.001098,1
