epoch_prev,epoch_curr,cka_value,cka_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.827632,0.172368,0,0,0
10,15,0.831746,0.168254,0,0,0
15,20,0.821668,0.178332,0,0,0
20,25,0.812078,0.187922,0,0,0
25,30,0.730666,0.269334,0,0,0
30,35,0.764867,0.235133,0,0,0
35,40,0.816623,0.183377,0,0,0
40,45,0.75741,0.24259,0,0,0
45,50,0.783258,0.216742,0,0,0
50,55,0.774115,0.225885,0,0,0
55,60,0.754523,0.245477,0,0,0
60,65,0.80257,0.19743,0,0,0
65,70,0.801379,0.198621,0,0,0
70,75,0.806141,0.193859,0,0,0
75,80,0.780711,0.219289,0,0,0
80,85,0.767687,0.232313,0,0,0
85,90,0.784799,0.215201,0,0,0
90,95,0.792484,0.207516,0,0,0
95,100,0.805598,0.194402,0,0,0
100,105,0.842582,0.157418,0,0,0
105,110,0.968525,0.031475,0,0,0
110,115,0.963251,0.036749,0,0,0
115,120,0.951774,0.048226,0,0,0
120,125,0.93651,0.06349,0,0,0
125,130,0.927279,0.072721,0,0,0
130,135,0.921955,0.078045,0,0,0
135,140,0.910099,0.089901,0,0,0
140,145,0.882492,0.117508,0,0,0
145,150,0.901453,0.098547,0,0,0
150,155,0.90693,0.09307,0,0,0
155,160,0.913738,0.086262,0,0,0
160,165,0.906298,0.093702,0,0,0
165,170,0.904459,0.095541,0,0,0
170,175,0.890034,0.109966,0,0,0
175,180,0.893565,0.106435,0,0,0
180,185,0.897397,0.102603,0,0,0
185,190,0.895282,0.104718,0,0,0
190,195,0.895086,0.104914,0,0,0
195,200,0.901936,0.098064,0,0,0
200,205,0.965327,0.034673,0,0,0
205,210,0.996664,0.003336,1,1,0
210,215,0.998006,0.001994,1,2,0
215,220,0.997984,0.002016,1,3,0
220,225,0.998263,0.001737,1,4,0
225,230,0.998119,0.001881,1,5,1
230,235,0.998273,0.001727,1,6,0
235,240,0.998609,0.001391,1,7,0
240,245,0.998883,0.001117,1,8,0
245,250,0.998675,0.001325,1,9,0
250,255,0.998939,0.001061,1,10,0
255,260,0.998763,0.001237,1,11,0
260,265,0.999092,0.000908,1,12,0
265,270,0.999093,0.000907,1,13,0
270,275,0.999079,0.000921,1,14,0
275,280,0.999018,0.000982,1,15,0
280,285,0.998877,0.001123,1,16,0
285,290,0.999111,0.000889,1,17,0
290,295,0.999156,0.000844,1,18,0
295,300,0.998902,0.001098,1,19,0
