epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.069306,0.092816,0
1,2040,0.696561,0.379091,0.481997,0
2,2040,0.384837,0.513646,0.651766,0
3,2040,0.182104,0.558556,0.696802,0
4,2040,0.210016,0.636293,0.737163,0
5,2040,0.182278,0.649025,0.756715,0
6,2040,0.166506,0.630016,0.74597,0
7,2040,0.154092,0.684926,0.780781,0
8,2040,0.168115,0.693667,0.778268,0
9,2040,0.167315,0.694594,0.781345,0
10,2040,0.170964,0.699369,0.781374,0
11,2040,0.176703,0.704482,0.771569,0
12,2040,0.215048,0.703374,0.758505,0
13,2040,0.233932,0.705486,0.776974,0
14,2040,0.209497,0.688921,0.767054,0
15,2040,0.189035,0.703322,0.784557,0
16,2040,0.172719,0.729,0.793372,0
17,2040,0.19584,0.699001,0.757542,0
18,2040,0.280014,0.699855,0.765134,0
19,2040,0.157768,0.719601,0.783606,0
20,2040,0.139303,0.744561,0.798391,0
22,2040,0.183982,0.731848,0.773367,0
24,2040,0.174678,0.709967,0.757829,0
26,2040,0.167246,0.702818,0.759781,0
28,2040,0.207378,0.72698,0.780989,0
30,2040,0.175926,0.727454,0.771116,0
35,2040,0.178478,0.73596,0.778918,0
40,2040,0.202934,0.773092,0.805278,0
45,2040,0.182686,0.737891,0.775693,0
50,2040,0.172597,0.769799,0.797242,0
60,2040,0.177731,0.770724,0.788789,0
70,2040,0.232694,0.755092,0.780528,0
80,2040,0.169502,0.760234,0.780948,0
90,2040,0.191936,0.798332,0.814759,0
100,2040,0.165584,0.81107,0.823099,0
110,2040,0.146592,0.832253,0.833926,0
120,2040,0.143678,0.85857,0.856736,0
130,2040,0.144139,0.872599,0.869109,0
140,2040,0.127659,0.889622,0.884099,0
150,2040,0.12552,0.906282,0.902911,0
160,2040,0.108444,0.934822,0.934578,0
170,2040,0.065217,0.980347,0.980245,0
180,2040,0.02028,0.996256,0.996079,0
190,2040,0.004099,0.999161,0.999161,1
200,2040,0.000839,1.0,nan,1
