epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.303439,0.696561,0
1,2,2040,0.615163,0.384837,0
2,3,2040,0.817896,0.182104,0
3,4,2040,0.789984,0.210016,0
4,5,2040,0.817722,0.182278,0
5,6,2040,0.833494,0.166506,0
6,7,2040,0.845908,0.154092,0
7,8,2040,0.831885,0.168115,0
8,9,2040,0.832685,0.167315,0
9,10,2040,0.829036,0.170964,0
10,11,2040,0.823297,0.176703,0
11,12,2040,0.784952,0.215048,0
12,13,2040,0.766068,0.233932,0
13,14,2040,0.790503,0.209497,0
14,15,2040,0.810965,0.189035,0
15,16,2040,0.827281,0.172719,0
16,17,2040,0.80416,0.19584,0
17,18,2040,0.719986,0.280014,0
18,19,2040,0.842232,0.157768,0
19,20,2040,0.860697,0.139303,0
20,22,2040,0.816018,0.183982,0
22,24,2040,0.825322,0.174678,0
24,26,2040,0.832754,0.167246,0
26,28,2040,0.792622,0.207378,0
28,30,2040,0.824074,0.175926,0
30,35,2040,0.821522,0.178478,0
35,40,2040,0.797066,0.202934,0
40,45,2040,0.817314,0.182686,0
45,50,2040,0.827403,0.172597,0
50,60,2040,0.822269,0.177731,0
60,70,2040,0.767306,0.232694,0
70,80,2040,0.830498,0.169502,0
80,90,2040,0.808064,0.191936,0
90,100,2040,0.834416,0.165584,0
100,110,2040,0.853408,0.146592,0
110,120,2040,0.856322,0.143678,0
120,130,2040,0.855861,0.144139,0
130,140,2040,0.872341,0.127659,0
140,150,2040,0.87448,0.12552,0
150,160,2040,0.891556,0.108444,0
160,170,2040,0.934783,0.065217,0
170,180,2040,0.97972,0.02028,0
180,190,2040,0.995901,0.004099,1
190,200,2040,0.999161,0.000839,1
