epoch,nc1_papyan,log10_nc1_papyan,nc2_etf_deviation,nc3_self_duality_frobenius,nc4_ncc_disagreement,nc1,log10_nc1,nc3_weight_mean_alignment,nc4_ncm_disagreement
0,51.15529063,1.708891,1.84561462,1.40685508,0.79182,51.15529063,1.708891,1.40685508,0.79182
1,16.30584049,1.212343,1.7939353,0.69598084,0.40022,16.30584049,1.212343,0.69598084,0.40022
2,3.20191095,0.505409,1.48357822,0.67179143,0.31202,3.20191095,0.505409,0.67179143,0.31202
3,1.92184121,0.283718,1.27724407,0.69731916,0.26162,1.92184121,0.283718,0.69731916,0.26162
4,1.12888936,0.052651,0.97918564,0.54088639,0.19596,1.12888936,0.052651,0.54088639,0.19596
5,0.94011004,-0.026821,0.91332896,0.58259082,0.13836,0.94011004,-0.026821,0.58259082,0.13836
6,0.82996299,-0.080941,0.9773515,0.59019246,0.19366,0.82996299,-0.080941,0.59019246,0.19366
7,0.67762303,-0.169012,0.87053835,0.55132581,0.11478,0.67762303,-0.169012,0.55132581,0.11478
8,0.69521312,-0.157882,0.80598265,0.50635872,0.10964,0.69521312,-0.157882,0.50635872,0.10964
9,0.65907512,-0.181065,0.92443395,0.51716474,0.1535,0.65907512,-0.181065,0.51716474,0.1535
10,0.62560215,-0.203702,0.94017572,0.48598274,0.09964,0.62560215,-0.203702,0.48598274,0.09964
11,0.62254927,-0.205826,0.78108365,0.48703981,0.1136,0.62254927,-0.205826,0.48703981,0.1136
12,0.58619843,-0.231955,0.80672253,0.48452479,0.1729,0.58619843,-0.231955,0.48452479,0.1729
13,0.60700401,-0.216808,0.77341216,0.49227205,0.18096,0.60700401,-0.216808,0.49227205,0.18096
14,0.6707046,-0.173469,1.00870549,0.52207345,0.2009,0.6707046,-0.173469,0.52207345,0.2009
15,0.53971597,-0.267835,0.892864,0.488789,0.09638,0.53971597,-0.267835,0.488789,0.09638
16,0.55276307,-0.257461,0.77332862,0.4321395,0.06894,0.55276307,-0.257461,0.4321395,0.06894
17,0.5448844,-0.263696,0.78896798,0.4622369,0.13572,0.5448844,-0.263696,0.4622369,0.13572
18,0.52119903,-0.282996,0.86184516,0.45702111,0.1461,0.52119903,-0.282996,0.45702111,0.1461
19,0.51129691,-0.291327,0.83853854,0.48816157,0.1166,0.51129691,-0.291327,0.48816157,0.1166
20,0.49668417,-0.30392,0.73015917,0.4047321,0.07454,0.49668417,-0.30392,0.4047321,0.07454
22,0.47739078,-0.321126,0.63103691,0.40816557,0.07686,0.47739078,-0.321126,0.40816557,0.07686
24,0.54930824,-0.260184,0.87007742,0.45704778,0.14112,0.54930824,-0.260184,0.45704778,0.14112
26,0.588517,-0.230241,0.83012918,0.46754566,0.13628,0.588517,-0.230241,0.46754566,0.13628
28,0.50438289,-0.29724,0.84812502,0.45214202,0.13056,0.50438289,-0.29724,0.45214202,0.13056
30,0.46780523,-0.329935,0.71181009,0.4042721,0.10314,0.46780523,-0.329935,0.4042721,0.10314
35,0.44579358,-0.350866,0.66836719,0.44072396,0.08906,0.44579358,-0.350866,0.44072396,0.08906
40,0.42604437,-0.370545,0.69036037,0.37281272,0.06804,0.42604437,-0.370545,0.37281272,0.06804
45,0.47491341,-0.323386,0.69466722,0.39666774,0.10076,0.47491341,-0.323386,0.39666774,0.10076
50,0.44005079,-0.356497,0.70349583,0.3693803,0.06834,0.44005079,-0.356497,0.3693803,0.06834
60,0.42368594,-0.372956,0.64613727,0.34166895,0.09118,0.42368594,-0.372956,0.34166895,0.09118
70,0.40732886,-0.390055,0.62631507,0.39886205,0.10384,0.40732886,-0.390055,0.39886205,0.10384
80,0.37925026,-0.421074,0.67124087,0.36775749,0.093,0.37925026,-0.421074,0.36775749,0.093
90,0.32881453,-0.483049,0.63759175,0.30601598,0.03424,0.32881453,-0.483049,0.30601598,0.03424
100,0.32226234,-0.49179,0.59613318,0.30753136,0.04498,0.32226234,-0.49179,0.30753136,0.04498
110,0.28515403,-0.54492,0.58771106,0.26881876,0.02556,0.28515403,-0.54492,0.26881876,0.02556
120,0.24565796,-0.609669,0.51411234,0.2461454,0.02444,0.24565796,-0.609669,0.2461454,0.02444
130,0.20211539,-0.694401,0.33650459,0.22851377,0.01356,0.20211539,-0.694401,0.22851377,0.01356
140,0.1733433,-0.761093,0.40243977,0.22286744,0.00796,0.1733433,-0.761093,0.22286744,0.00796
150,0.13966208,-0.854922,0.26964584,0.20109966,0.00498,0.13966208,-0.854922,0.20109966,0.00498
160,0.10035099,-0.998478,0.21914175,0.17748937,0.00132,0.10035099,-0.998478,0.17748937,0.00132
170,0.05185146,-1.285239,0.19799701,0.17989664,8e-05,0.05185146,-1.285239,0.17989664,8e-05
180,0.03365566,-1.472942,0.2070017,0.17608298,0.0,0.03365566,-1.472942,0.17608298,0.0
190,0.02811022,-1.551136,0.21079888,0.18125961,0.0,0.02811022,-1.551136,0.18125961,0.0
200,0.02733293,-1.563314,0.20828242,0.17835488,0.0,0.02733293,-1.563314,0.17835488,0.0
