epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4418,0.3873,0.421,0.3947,nan
1,0.5852,0.5406,0.5413,0.5366,nan
2,0.7056,0.6625,0.6847,0.6773,nan
3,0.7542,0.7126,0.7356,0.732,nan
4,0.8049,0.7636,0.7894,0.7871,nan
5,0.831,0.7907,0.8186,0.8178,nan
6,0.8377,0.8038,0.8203,0.8196,nan
7,0.8526,0.8185,0.8398,0.8391,nan
8,0.8512,0.8233,0.8383,0.8367,nan
9,0.8569,0.8286,0.8447,0.8429,nan
10,0.8647,0.8351,0.848,0.8498,nan
11,0.8646,0.8427,0.8541,0.855,nan
12,0.8764,0.8466,0.8567,0.8616,nan
13,0.8753,0.8479,0.8599,0.8648,nan
14,0.8762,0.85,0.8549,0.8581,nan
15,0.8797,0.8575,0.8664,0.8688,nan
16,0.8893,0.8665,0.8731,0.8721,nan
17,0.8846,0.8644,0.8688,0.8705,nan
18,0.8858,0.8675,0.8715,0.8724,nan
19,0.8903,0.8711,0.8778,0.8803,nan
20,0.8928,0.8698,0.8767,0.8781,nan
22,0.895,0.8724,0.88,0.8813,nan
24,0.8863,0.8682,0.8686,0.8731,nan
26,0.8878,0.8635,0.8692,0.8712,nan
28,0.8883,0.8689,0.8752,0.8766,nan
30,0.8923,0.8743,0.8821,0.8828,nan
35,0.8959,0.8808,0.8827,0.8831,nan
40,0.901,0.8854,0.891,0.8923,nan
45,0.8938,0.8789,0.8779,0.88,nan
50,0.9015,0.8866,0.8865,0.8884,nan
60,0.9036,0.8894,0.8917,0.8918,nan
70,0.9083,0.8924,0.8932,0.8929,nan
80,0.9122,0.8992,0.898,0.901,nan
90,0.9118,0.9053,0.9055,0.9056,nan
100,0.9164,0.905,0.9076,0.9092,nan
110,0.9218,0.9141,0.9138,0.9132,nan
120,0.9257,0.9193,0.9192,0.9219,nan
130,0.9301,0.9276,0.9271,0.9299,nan
140,0.9288,0.9229,0.9277,0.929,nan
150,0.9336,0.9331,0.934,0.934,nan
160,0.9351,0.9309,0.9331,0.9349,nan
170,0.9498,0.9468,0.9496,0.9492,nan
180,0.9503,0.9507,0.9496,0.951,nan
190,0.9535,0.952,0.953,0.9526,nan
200,0.9533,0.9521,0.9521,0.9523,nan
