epoch,probe_name,train_acc,test_acc,n_train,n_test,fit_seconds,status,error_message
0,logistic_regression,0.4709,0.4361,50000,10000,5.939,ok,
0,linear_svm,0.5218,0.3852,10000,10000,14.336,ok,
1,logistic_regression,0.325,0.3143,50000,10000,2.874,ok,
1,linear_svm,0.334,0.3038,10000,10000,148.826,ok,
2,logistic_regression,0.48408,0.4647,50000,10000,2.594,ok,
2,linear_svm,0.5136,0.4411,10000,10000,237.705,ok,
3,logistic_regression,0.6099,0.5782,50000,10000,4.091,ok,
3,linear_svm,0.6712,0.5353,10000,10000,20.166,ok,
4,logistic_regression,0.71034,0.6678,50000,10000,3.809,ok,
4,linear_svm,0.7697,0.629,10000,10000,12.218,ok,
5,logistic_regression,0.76672,0.7302,50000,10000,4.72,ok,
5,linear_svm,0.8243,0.6886,10000,10000,10.659,ok,
6,logistic_regression,0.80366,0.7612,50000,10000,4.362,ok,
6,linear_svm,0.8562,0.7198,10000,10000,9.124,ok,
7,logistic_regression,0.83136,0.7929,50000,10000,4.267,ok,
7,linear_svm,0.8869,0.7573,10000,10000,7.709,ok,
8,logistic_regression,0.84992,0.8107,50000,10000,4.805,ok,
8,linear_svm,0.9048,0.7759,10000,10000,7.268,ok,
9,logistic_regression,0.8589,0.8208,50000,10000,4.268,ok,
9,linear_svm,0.9176,0.7791,10000,10000,6.629,ok,
10,logistic_regression,0.8615,0.8219,50000,10000,5.007,ok,
10,linear_svm,0.9182,0.7798,10000,10000,7.329,ok,
11,logistic_regression,0.86896,0.8238,50000,10000,5.453,ok,
11,linear_svm,0.9268,0.7834,10000,10000,6.482,ok,
12,logistic_regression,0.87534,0.837,50000,10000,4.579,ok,
12,linear_svm,0.9309,0.7995,10000,10000,6.148,ok,
13,logistic_regression,0.876,0.8353,50000,10000,4.038,ok,
13,linear_svm,0.9307,0.7956,10000,10000,6.408,ok,
14,logistic_regression,0.88208,0.8399,50000,10000,4.072,ok,
14,linear_svm,0.9353,0.8049,10000,10000,5.915,ok,
15,logistic_regression,0.88704,0.8483,50000,10000,3.741,ok,
15,linear_svm,0.9405,0.8122,10000,10000,5.953,ok,
16,logistic_regression,0.88276,0.8448,50000,10000,4.035,ok,
16,linear_svm,0.9356,0.811,10000,10000,5.843,ok,
17,logistic_regression,0.8911,0.8453,50000,10000,4.419,ok,
17,linear_svm,0.9438,0.8119,10000,10000,5.813,ok,
18,logistic_regression,0.88962,0.8486,50000,10000,4.279,ok,
18,linear_svm,0.9413,0.8132,10000,10000,5.732,ok,
19,logistic_regression,0.89372,0.8516,50000,10000,4.389,ok,
19,linear_svm,0.9464,0.8159,10000,10000,5.659,ok,
20,logistic_regression,0.88872,0.8489,50000,10000,4.153,ok,
20,linear_svm,0.9422,0.811,10000,10000,6.069,ok,
22,logistic_regression,0.88874,0.8506,50000,10000,4.533,ok,
22,linear_svm,0.9439,0.817,10000,10000,5.635,ok,
24,logistic_regression,0.89294,0.8548,50000,10000,4.312,ok,
24,linear_svm,0.9465,0.8201,10000,10000,5.633,ok,
26,logistic_regression,0.89466,0.8512,50000,10000,3.795,ok,
26,linear_svm,0.9462,0.8221,10000,10000,5.671,ok,
28,logistic_regression,0.89284,0.8482,50000,10000,5.29,ok,
28,linear_svm,0.9433,0.8139,10000,10000,5.74,ok,
30,logistic_regression,0.90256,0.8596,50000,10000,4.539,ok,
30,linear_svm,0.9501,0.8356,10000,10000,5.263,ok,
35,logistic_regression,0.9082,0.8657,50000,10000,4.013,ok,
35,linear_svm,0.9574,0.832,10000,10000,6.196,ok,
40,logistic_regression,0.90872,0.8673,50000,10000,3.862,ok,
40,linear_svm,0.955,0.8417,10000,10000,6.099,ok,
45,logistic_regression,0.90988,0.8696,50000,10000,4.117,ok,
45,linear_svm,0.9565,0.8374,10000,10000,5.218,ok,
50,logistic_regression,0.90304,0.8616,50000,10000,3.837,ok,
50,linear_svm,0.9502,0.8303,10000,10000,6.344,ok,
60,logistic_regression,0.91526,0.8686,50000,10000,4.026,ok,
60,linear_svm,0.956,0.8443,10000,10000,5.73,ok,
70,logistic_regression,0.92364,0.8781,50000,10000,3.599,ok,
70,linear_svm,0.9691,0.8568,10000,10000,4.834,ok,
80,logistic_regression,0.92388,0.8787,50000,10000,4.107,ok,
80,linear_svm,0.9661,0.8541,10000,10000,5.385,ok,
90,logistic_regression,0.93144,0.8846,50000,10000,3.425,ok,
90,linear_svm,0.9768,0.8662,10000,10000,5.078,ok,
100,logistic_regression,0.9448,0.8959,50000,10000,3.643,ok,
100,linear_svm,0.981,0.8765,10000,10000,3.787,ok,
110,logistic_regression,0.9516,0.9006,50000,10000,3.343,ok,
110,linear_svm,0.9877,0.8796,10000,10000,3.53,ok,
120,logistic_regression,0.96162,0.9092,50000,10000,2.874,ok,
120,linear_svm,0.9895,0.8958,10000,10000,3.263,ok,
130,logistic_regression,0.96292,0.9111,50000,10000,3.07,ok,
130,linear_svm,0.9905,0.8996,10000,10000,3.144,ok,
135,logistic_regression,0.97276,0.9157,50000,10000,2.584,ok,
135,linear_svm,0.9952,0.9022,10000,10000,2.963,ok,
140,logistic_regression,0.9771,0.9175,50000,10000,1.958,ok,
140,linear_svm,0.9963,0.911,10000,10000,2.794,ok,
145,logistic_regression,0.98386,0.9235,50000,10000,1.571,ok,
145,linear_svm,0.9979,0.917,10000,10000,2.71,ok,
150,logistic_regression,0.98378,0.9215,50000,10000,1.617,ok,
150,linear_svm,0.9978,0.9126,10000,10000,2.773,ok,
155,logistic_regression,0.98998,0.9245,50000,10000,1.416,ok,
155,linear_svm,0.9996,0.9185,10000,10000,2.576,ok,
160,logistic_regression,0.99412,0.9294,50000,10000,1.013,ok,
160,linear_svm,1.0,0.9243,10000,10000,2.325,ok,
165,logistic_regression,0.9966,0.9305,50000,10000,0.69,ok,
165,linear_svm,1.0,0.9287,10000,10000,2.312,ok,
170,logistic_regression,0.99836,0.9352,50000,10000,0.373,ok,
170,linear_svm,1.0,0.9337,10000,10000,2.083,ok,
175,logistic_regression,0.9987,0.9359,50000,10000,0.145,ok,
175,linear_svm,1.0,0.9337,10000,10000,2.091,ok,
180,logistic_regression,0.9997,0.9453,50000,10000,0.095,ok,
180,linear_svm,1.0,0.9429,10000,10000,2.188,ok,
185,logistic_regression,0.99996,0.9465,50000,10000,0.08,ok,
185,linear_svm,1.0,0.9453,10000,10000,1.994,ok,
190,logistic_regression,1.0,0.9489,50000,10000,0.081,ok,
190,linear_svm,1.0,0.9484,10000,10000,2.094,ok,
195,logistic_regression,1.0,0.9487,50000,10000,0.081,ok,
195,linear_svm,1.0,0.9479,10000,10000,2.042,ok,
200,logistic_regression,1.0,0.9486,50000,10000,0.08,ok,
200,linear_svm,1.0,0.9478,10000,10000,2.181,ok,
