epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4361,0.3852,nan,nan,nan
1,0.3143,0.3038,nan,nan,nan
2,0.4647,0.4411,nan,nan,nan
3,0.5782,0.5353,nan,nan,nan
4,0.6678,0.629,nan,nan,nan
5,0.7302,0.6886,nan,nan,nan
6,0.7612,0.7198,nan,nan,nan
7,0.7929,0.7573,nan,nan,nan
8,0.8107,0.7759,nan,nan,nan
9,0.8208,0.7791,nan,nan,nan
10,0.8219,0.7798,nan,nan,nan
11,0.8238,0.7834,nan,nan,nan
12,0.837,0.7995,nan,nan,nan
13,0.8353,0.7956,nan,nan,nan
14,0.8399,0.8049,nan,nan,nan
15,0.8483,0.8122,nan,nan,nan
16,0.8448,0.811,nan,nan,nan
17,0.8453,0.8119,nan,nan,nan
18,0.8486,0.8132,nan,nan,nan
19,0.8516,0.8159,nan,nan,nan
20,0.8489,0.811,nan,nan,nan
22,0.8506,0.817,nan,nan,nan
24,0.8548,0.8201,nan,nan,nan
26,0.8512,0.8221,nan,nan,nan
28,0.8482,0.8139,nan,nan,nan
30,0.8596,0.8356,nan,nan,nan
35,0.8657,0.832,nan,nan,nan
40,0.8673,0.8417,nan,nan,nan
45,0.8696,0.8374,nan,nan,nan
50,0.8616,0.8303,nan,nan,nan
60,0.8686,0.8443,nan,nan,nan
70,0.8781,0.8568,nan,nan,nan
80,0.8787,0.8541,nan,nan,nan
90,0.8846,0.8662,nan,nan,nan
100,0.8959,0.8765,nan,nan,nan
110,0.9006,0.8796,nan,nan,nan
120,0.9092,0.8958,nan,nan,nan
130,0.9111,0.8996,nan,nan,nan
135,0.9157,0.9022,nan,nan,nan
140,0.9175,0.911,nan,nan,nan
145,0.9235,0.917,nan,nan,nan
150,0.9215,0.9126,nan,nan,nan
155,0.9245,0.9185,nan,nan,nan
160,0.9294,0.9243,nan,nan,nan
165,0.9305,0.9287,nan,nan,nan
170,0.9352,0.9337,nan,nan,nan
175,0.9359,0.9337,nan,nan,nan
180,0.9453,0.9429,nan,nan,nan
185,0.9465,0.9453,nan,nan,nan
190,0.9489,0.9484,nan,nan,nan
195,0.9487,0.9479,nan,nan,nan
200,0.9486,0.9478,nan,nan,nan
