epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4421,0.3893,0.4029,0.3745,nan
1,0.4173,0.3895,0.3865,0.4225,nan
2,0.5472,0.5118,0.5269,0.5337,nan
3,0.6561,0.6162,0.6284,0.6303,nan
4,0.7166,0.6712,0.6923,0.6894,nan
5,0.7772,0.7347,0.7569,0.7534,nan
6,0.8017,0.7654,0.7784,0.7759,nan
7,0.7959,0.7611,0.7758,0.7691,nan
8,0.8235,0.7862,0.8114,0.8075,nan
9,0.8182,0.7795,0.7991,0.794,nan
10,0.8185,0.7804,0.7986,0.7907,nan
11,0.8392,0.8069,0.8277,0.8249,nan
12,0.837,0.7974,0.8182,0.8176,nan
13,0.8326,0.8027,0.8201,0.8146,nan
14,0.8419,0.8102,0.8258,0.8205,nan
15,0.8282,0.7965,0.8044,0.8046,nan
16,0.8413,0.8148,0.8272,0.826,nan
17,0.84,0.8091,0.8251,0.8197,nan
18,0.8571,0.8236,0.8413,0.8413,nan
19,0.8473,0.8203,0.8329,0.8309,nan
20,0.85,0.8215,0.8422,0.8387,nan
22,0.8573,0.8282,0.8442,0.8421,nan
24,0.8598,0.8291,0.842,0.8399,nan
26,0.8508,0.8121,0.8298,0.8258,nan
28,0.8389,0.8065,0.8116,0.7994,nan
30,0.8594,0.8247,0.8373,0.8362,nan
35,0.8629,0.8312,0.8432,0.8417,nan
40,0.8712,0.8428,0.8492,0.8493,nan
45,0.8708,0.8423,0.8534,0.8517,nan
50,0.8786,0.854,0.8628,0.8618,nan
60,0.8794,0.8493,0.8559,0.8551,nan
70,0.8811,0.8567,0.8637,0.8605,nan
80,0.8825,0.8593,0.8628,0.8627,nan
90,0.8957,0.8764,0.8794,0.8821,nan
100,0.8954,0.8772,0.8832,0.8833,nan
110,0.905,0.8875,0.8923,0.8954,nan
120,0.9058,0.8924,0.8953,0.8958,nan
130,0.9114,0.8992,0.9025,0.9044,nan
140,0.9155,0.9056,0.9093,0.909,nan
150,0.9253,0.9201,0.9227,0.9213,nan
160,0.9333,0.9281,0.931,0.9304,nan
170,0.937,0.9379,0.9352,0.9362,nan
180,0.9477,0.947,0.9483,0.9471,nan
190,0.9527,0.9504,0.9524,0.9518,nan
200,0.9524,0.9513,0.9518,0.9519,nan
