epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.041685,0.057561,0
1,2040,0.862906,0.351857,0.471072,0
2,2040,0.274567,0.414498,0.528881,0
3,2040,0.261263,0.486928,0.596221,0
4,2040,0.273955,0.519936,0.646325,0
5,2040,0.259295,0.605854,0.721174,0
6,2040,0.180429,0.625778,0.729727,0
7,2040,0.188779,0.611587,0.717773,0
8,2040,0.186585,0.63794,0.730713,0
9,2040,0.291625,0.598947,0.696327,0
10,2040,0.313922,0.560919,0.639491,0
11,2040,0.270701,0.662425,0.759037,0
12,2040,0.194508,0.662874,0.749797,0
13,2040,0.203846,0.622318,0.726334,0
14,2040,0.235079,0.667975,0.761487,0
15,2040,0.255004,0.612585,0.697645,0
16,2040,0.265628,0.68008,0.756296,0
17,2040,0.215269,0.637011,0.728607,0
18,2040,0.206647,0.682279,0.752592,0
19,2040,0.251612,0.635627,0.715799,0
20,2040,0.329976,0.656557,0.71249,0
22,2040,0.225885,0.669445,0.754437,0
24,2040,0.190552,0.683956,0.745188,0
26,2040,0.234157,0.634737,0.70998,0
28,2040,0.291929,0.607366,0.668805,0
30,2040,0.338717,0.637736,0.709266,0
35,2040,0.291038,0.671364,0.714918,0
40,2040,0.257756,0.661779,0.707844,0
45,2040,0.278913,0.6824,0.736521,0
50,2040,0.262348,0.695903,0.7411,0
60,2040,0.208338,0.663847,0.720362,0
70,2040,0.260789,0.700216,0.757136,0
80,2040,0.171822,0.691575,0.745612,0
90,2040,0.206079,0.737395,0.774665,0
100,2040,0.2209,0.728324,0.760827,0
110,2040,0.188741,0.766173,0.795737,0
120,2040,0.153349,0.764028,0.78999,0
130,2040,0.171028,0.808664,0.822102,0
140,2040,0.162167,0.829532,0.837815,0
150,2040,0.140436,0.867229,0.870916,0
160,2040,0.110701,0.902426,0.899136,0
170,2040,0.105617,0.93429,0.933905,0
180,2040,0.067781,0.985074,0.984858,0
190,2040,0.015358,0.99846,0.99846,1
200,2040,0.00154,1.0,nan,1
