run_name,lr,seed,epoch,component,probe,train_acc,test_acc,k_main,threshold_mode,threshold_value
final_lr020_seed0,0.2,0,0,full,logistic_regression,0.47634,0.4417,251,singular_mass,0.8
final_lr020_seed0,0.2,0,0,main,logistic_regression,0.44258,0.4262,251,singular_mass,0.8
final_lr020_seed0,0.2,0,0,residual,logistic_regression,0.19918,0.1787,251,singular_mass,0.8
final_lr020_seed0,0.2,0,1,full,logistic_regression,0.4377,0.4155,10,singular_mass,0.8
final_lr020_seed0,0.2,0,1,main,logistic_regression,0.37428,0.3782,10,singular_mass,0.8
final_lr020_seed0,0.2,0,1,residual,logistic_regression,0.438,0.4162,10,singular_mass,0.8
final_lr020_seed0,0.2,0,2,full,logistic_regression,0.5813,0.5474,38,singular_mass,0.8
final_lr020_seed0,0.2,0,2,main,logistic_regression,0.52028,0.5194,38,singular_mass,0.8
final_lr020_seed0,0.2,0,2,residual,logistic_regression,0.32502,0.3094,38,singular_mass,0.8
final_lr020_seed0,0.2,0,3,full,logistic_regression,0.68706,0.655,80,singular_mass,0.8
final_lr020_seed0,0.2,0,3,main,logistic_regression,0.64286,0.6362,80,singular_mass,0.8
final_lr020_seed0,0.2,0,3,residual,logistic_regression,0.30002,0.2672,80,singular_mass,0.8
final_lr020_seed0,0.2,0,4,full,logistic_regression,0.75074,0.716,115,singular_mass,0.8
final_lr020_seed0,0.2,0,4,main,logistic_regression,0.71678,0.7024,115,singular_mass,0.8
final_lr020_seed0,0.2,0,4,residual,logistic_regression,0.28552,0.2629,115,singular_mass,0.8
final_lr020_seed0,0.2,0,5,full,logistic_regression,0.8128,0.7769,112,singular_mass,0.8
final_lr020_seed0,0.2,0,5,main,logistic_regression,0.77996,0.7641,112,singular_mass,0.8
final_lr020_seed0,0.2,0,5,residual,logistic_regression,0.28522,0.2634,112,singular_mass,0.8
final_lr020_seed0,0.2,0,6,full,logistic_regression,0.83748,0.7988,115,singular_mass,0.8
final_lr020_seed0,0.2,0,6,main,logistic_regression,0.80672,0.791,115,singular_mass,0.8
final_lr020_seed0,0.2,0,6,residual,logistic_regression,0.2888,0.2782,115,singular_mass,0.8
final_lr020_seed0,0.2,0,7,full,logistic_regression,0.83778,0.7946,113,singular_mass,0.8
final_lr020_seed0,0.2,0,7,main,logistic_regression,0.80464,0.7873,113,singular_mass,0.8
final_lr020_seed0,0.2,0,7,residual,logistic_regression,0.29296,0.2682,113,singular_mass,0.8
final_lr020_seed0,0.2,0,8,full,logistic_regression,0.86716,0.8224,107,singular_mass,0.8
final_lr020_seed0,0.2,0,8,main,logistic_regression,0.83688,0.816,107,singular_mass,0.8
final_lr020_seed0,0.2,0,8,residual,logistic_regression,0.30596,0.2881,107,singular_mass,0.8
final_lr020_seed0,0.2,0,9,full,logistic_regression,0.8581,0.8143,111,singular_mass,0.8
final_lr020_seed0,0.2,0,9,main,logistic_regression,0.8265,0.8066,111,singular_mass,0.8
final_lr020_seed0,0.2,0,9,residual,logistic_regression,0.31468,0.2963,111,singular_mass,0.8
final_lr020_seed0,0.2,0,10,full,logistic_regression,0.86102,0.8167,109,singular_mass,0.8
final_lr020_seed0,0.2,0,10,main,logistic_regression,0.82822,0.8109,109,singular_mass,0.8
final_lr020_seed0,0.2,0,10,residual,logistic_regression,0.31592,0.3079,109,singular_mass,0.8
final_lr020_seed0,0.2,0,11,full,logistic_regression,0.8837,0.8368,109,singular_mass,0.8
final_lr020_seed0,0.2,0,11,main,logistic_regression,0.8581,0.8367,109,singular_mass,0.8
final_lr020_seed0,0.2,0,11,residual,logistic_regression,0.30906,0.2892,109,singular_mass,0.8
final_lr020_seed0,0.2,0,12,full,logistic_regression,0.87972,0.832,116,singular_mass,0.8
final_lr020_seed0,0.2,0,12,main,logistic_regression,0.85298,0.8285,116,singular_mass,0.8
final_lr020_seed0,0.2,0,12,residual,logistic_regression,0.3075,0.301,116,singular_mass,0.8
final_lr020_seed0,0.2,0,13,full,logistic_regression,0.87796,0.8296,115,singular_mass,0.8
final_lr020_seed0,0.2,0,13,main,logistic_regression,0.8514,0.8283,115,singular_mass,0.8
final_lr020_seed0,0.2,0,13,residual,logistic_regression,0.3046,0.2828,115,singular_mass,0.8
final_lr020_seed0,0.2,0,14,full,logistic_regression,0.8855,0.8385,111,singular_mass,0.8
final_lr020_seed0,0.2,0,14,main,logistic_regression,0.8558,0.833,111,singular_mass,0.8
final_lr020_seed0,0.2,0,14,residual,logistic_regression,0.31496,0.2998,111,singular_mass,0.8
final_lr020_seed0,0.2,0,15,full,logistic_regression,0.87006,0.8262,114,singular_mass,0.8
final_lr020_seed0,0.2,0,15,main,logistic_regression,0.84184,0.8235,114,singular_mass,0.8
final_lr020_seed0,0.2,0,15,residual,logistic_regression,0.31162,0.2837,114,singular_mass,0.8
final_lr020_seed0,0.2,0,16,full,logistic_regression,0.88976,0.8378,115,singular_mass,0.8
final_lr020_seed0,0.2,0,16,main,logistic_regression,0.86092,0.8342,115,singular_mass,0.8
final_lr020_seed0,0.2,0,16,residual,logistic_regression,0.3203,0.2911,115,singular_mass,0.8
final_lr020_seed0,0.2,0,17,full,logistic_regression,0.88934,0.8379,116,singular_mass,0.8
final_lr020_seed0,0.2,0,17,main,logistic_regression,0.85956,0.8313,116,singular_mass,0.8
final_lr020_seed0,0.2,0,17,residual,logistic_regression,0.32624,0.3046,116,singular_mass,0.8
final_lr020_seed0,0.2,0,18,full,logistic_regression,0.901,0.8525,117,singular_mass,0.8
final_lr020_seed0,0.2,0,18,main,logistic_regression,0.87494,0.8518,117,singular_mass,0.8
final_lr020_seed0,0.2,0,18,residual,logistic_regression,0.3237,0.3062,117,singular_mass,0.8
final_lr020_seed0,0.2,0,19,full,logistic_regression,0.89312,0.8453,113,singular_mass,0.8
final_lr020_seed0,0.2,0,19,main,logistic_regression,0.86632,0.8447,113,singular_mass,0.8
final_lr020_seed0,0.2,0,19,residual,logistic_regression,0.32522,0.3111,113,singular_mass,0.8
final_lr020_seed0,0.2,0,20,full,logistic_regression,0.89692,0.846,114,singular_mass,0.8
final_lr020_seed0,0.2,0,20,main,logistic_regression,0.87232,0.8481,114,singular_mass,0.8
final_lr020_seed0,0.2,0,20,residual,logistic_regression,0.33188,0.3092,114,singular_mass,0.8
final_lr020_seed0,0.2,0,22,full,logistic_regression,0.90586,0.856,113,singular_mass,0.8
final_lr020_seed0,0.2,0,22,main,logistic_regression,0.87944,0.8507,113,singular_mass,0.8
final_lr020_seed0,0.2,0,22,residual,logistic_regression,0.32464,0.3043,113,singular_mass,0.8
final_lr020_seed0,0.2,0,24,full,logistic_regression,0.90476,0.8546,114,singular_mass,0.8
final_lr020_seed0,0.2,0,24,main,logistic_regression,0.87854,0.8535,114,singular_mass,0.8
final_lr020_seed0,0.2,0,24,residual,logistic_regression,0.3237,0.2998,114,singular_mass,0.8
final_lr020_seed0,0.2,0,26,full,logistic_regression,0.89036,0.8468,109,singular_mass,0.8
final_lr020_seed0,0.2,0,26,main,logistic_regression,0.86122,0.8416,109,singular_mass,0.8
final_lr020_seed0,0.2,0,26,residual,logistic_regression,0.33888,0.3188,109,singular_mass,0.8
final_lr020_seed0,0.2,0,28,full,logistic_regression,0.88142,0.8348,121,singular_mass,0.8
final_lr020_seed0,0.2,0,28,main,logistic_regression,0.8467,0.827,121,singular_mass,0.8
final_lr020_seed0,0.2,0,28,residual,logistic_regression,0.31006,0.2869,121,singular_mass,0.8
final_lr020_seed0,0.2,0,30,full,logistic_regression,0.90038,0.8555,108,singular_mass,0.8
final_lr020_seed0,0.2,0,30,main,logistic_regression,0.87274,0.852,108,singular_mass,0.8
final_lr020_seed0,0.2,0,30,residual,logistic_regression,0.33112,0.3119,108,singular_mass,0.8
final_lr020_seed0,0.2,0,35,full,logistic_regression,0.90926,0.8589,114,singular_mass,0.8
final_lr020_seed0,0.2,0,35,main,logistic_regression,0.88204,0.8532,114,singular_mass,0.8
final_lr020_seed0,0.2,0,35,residual,logistic_regression,0.3265,0.3105,114,singular_mass,0.8
final_lr020_seed0,0.2,0,40,full,logistic_regression,0.91354,0.8656,111,singular_mass,0.8
final_lr020_seed0,0.2,0,40,main,logistic_regression,0.88832,0.8651,111,singular_mass,0.8
final_lr020_seed0,0.2,0,40,residual,logistic_regression,0.3347,0.3167,111,singular_mass,0.8
final_lr020_seed0,0.2,0,45,full,logistic_regression,0.9169,0.8657,108,singular_mass,0.8
final_lr020_seed0,0.2,0,45,main,logistic_regression,0.89122,0.8657,108,singular_mass,0.8
final_lr020_seed0,0.2,0,45,residual,logistic_regression,0.34246,0.3236,108,singular_mass,0.8
final_lr020_seed0,0.2,0,50,full,logistic_regression,0.92366,0.8685,106,singular_mass,0.8
final_lr020_seed0,0.2,0,50,main,logistic_regression,0.8977,0.8722,106,singular_mass,0.8
final_lr020_seed0,0.2,0,50,residual,logistic_regression,0.36304,0.3454,106,singular_mass,0.8
final_lr020_seed0,0.2,0,60,full,logistic_regression,0.92374,0.8712,106,singular_mass,0.8
final_lr020_seed0,0.2,0,60,main,logistic_regression,0.9002,0.871,106,singular_mass,0.8
final_lr020_seed0,0.2,0,60,residual,logistic_regression,0.34766,0.328,106,singular_mass,0.8
final_lr020_seed0,0.2,0,70,full,logistic_regression,0.92842,0.8741,104,singular_mass,0.8
final_lr020_seed0,0.2,0,70,main,logistic_regression,0.90246,0.8768,104,singular_mass,0.8
final_lr020_seed0,0.2,0,70,residual,logistic_regression,0.3556,0.338,104,singular_mass,0.8
final_lr020_seed0,0.2,0,80,full,logistic_regression,0.93216,0.8753,99,singular_mass,0.8
final_lr020_seed0,0.2,0,80,main,logistic_regression,0.90616,0.876,99,singular_mass,0.8
final_lr020_seed0,0.2,0,80,residual,logistic_regression,0.36932,0.3413,99,singular_mass,0.8
final_lr020_seed0,0.2,0,90,full,logistic_regression,0.94586,0.8867,94,singular_mass,0.8
final_lr020_seed0,0.2,0,90,main,logistic_regression,0.92096,0.8919,94,singular_mass,0.8
final_lr020_seed0,0.2,0,90,residual,logistic_regression,0.3717,0.3435,94,singular_mass,0.8
final_lr020_seed0,0.2,0,100,full,logistic_regression,0.95156,0.8874,91,singular_mass,0.8
final_lr020_seed0,0.2,0,100,main,logistic_regression,0.92668,0.8923,91,singular_mass,0.8
final_lr020_seed0,0.2,0,100,residual,logistic_regression,0.39848,0.3726,91,singular_mass,0.8
final_lr020_seed0,0.2,0,110,full,logistic_regression,0.9573,0.8963,87,singular_mass,0.8
final_lr020_seed0,0.2,0,110,main,logistic_regression,0.93306,0.9015,87,singular_mass,0.8
