epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4361,0.3852,nan,nan,nan
1,0.4983,0.4558,nan,nan,nan
2,0.579,0.5384,nan,nan,nan
3,0.6735,0.6256,nan,nan,nan
4,0.7269,0.6839,nan,nan,nan
5,0.7817,0.7477,nan,nan,nan
6,0.8054,0.7658,nan,nan,nan
7,0.8122,0.7734,nan,nan,nan
8,0.8349,0.798,nan,nan,nan
9,0.8472,0.8136,nan,nan,nan
10,0.848,0.8192,nan,nan,nan
11,0.8553,0.8275,nan,nan,nan
12,0.862,0.8316,nan,nan,nan
13,0.8681,0.8371,nan,nan,nan
14,0.8699,0.8387,nan,nan,nan
15,0.8584,0.8345,nan,nan,nan
16,0.8754,0.8466,nan,nan,nan
17,0.8748,0.849,nan,nan,nan
18,0.8712,0.8417,nan,nan,nan
19,0.88,0.8563,nan,nan,nan
20,0.8778,0.8527,nan,nan,nan
22,0.8827,0.8579,nan,nan,nan
24,0.8875,0.8656,nan,nan,nan
26,0.8829,0.8587,nan,nan,nan
28,0.8859,0.8689,nan,nan,nan
30,0.8939,0.8734,nan,nan,nan
35,0.8831,0.8606,nan,nan,nan
40,0.8906,0.8693,nan,nan,nan
45,0.9002,0.8831,nan,nan,nan
50,0.895,0.8724,nan,nan,nan
60,0.9025,0.8862,nan,nan,nan
70,0.9131,0.8958,nan,nan,nan
80,0.9073,0.8878,nan,nan,nan
90,0.9095,0.8983,nan,nan,nan
100,0.9165,0.9001,nan,nan,nan
110,0.9172,0.9079,nan,nan,nan
120,0.9268,0.9187,nan,nan,nan
130,0.9232,0.9151,nan,nan,nan
135,0.9296,0.9252,nan,nan,nan
140,0.9301,0.9261,nan,nan,nan
145,0.9351,0.9292,nan,nan,nan
150,0.9334,0.9332,nan,nan,nan
155,0.938,0.9368,nan,nan,nan
160,0.9362,0.9355,nan,nan,nan
165,0.9437,0.9398,nan,nan,nan
170,0.9457,0.9441,nan,nan,nan
175,0.9513,0.951,nan,nan,nan
180,0.9523,0.9525,nan,nan,nan
185,0.9527,0.9524,nan,nan,nan
190,0.9533,0.9526,nan,nan,nan
195,0.9535,0.9538,nan,nan,nan
200,0.9536,0.9529,nan,nan,nan
