run,lr,seed,epoch,test_acc,test_nll,test_margin,head_acc_iter1,head_acc_iter3,head_acc_iter10
final_lr020_seed1,0.2,1,0,0.38382352941176473,1.8175367208507287,-0.5915262157598122,0.2774509803921569,0.3112745098039216,0.3235294117647059
final_lr020_seed1,0.2,1,1,0.396078431372549,1.8146281970546754,-0.5644470661712169,0.3034313725490196,0.3720588235294118,0.3715686274509804
final_lr020_seed1,0.2,1,2,0.528921568627451,1.4381590784492684,0.17341810091458848,0.39215686274509803,0.5127450980392156,0.4946078431372549
final_lr020_seed1,0.2,1,3,0.5965686274509804,1.3107303415857958,0.8309708415691973,0.5387254901960784,0.5504901960784314,0.5848039215686275
final_lr020_seed1,0.2,1,4,0.6725490196078432,1.1322070641298647,2.059559220645595,0.6200980392156863,0.663235294117647,0.6588235294117647
final_lr020_seed1,0.2,1,5,0.7200980392156863,0.9641111625484422,2.8155422749008587,0.7093137254901961,0.7147058823529412,0.7186274509803922
final_lr020_seed1,0.2,1,6,0.7436274509803922,0.8750402310519029,3.123471144400373,0.7220588235294118,0.7151960784313726,0.7509803921568627
final_lr020_seed1,0.2,1,7,0.7730392156862745,0.8008266142071403,3.7544984587459673,0.7676470588235295,0.7720588235294118,0.7588235294117647
final_lr020_seed1,0.2,1,8,0.7916666666666666,0.7194140097486843,4.394493411945959,0.7892156862745098,0.7872549019607843,0.7916666666666666
final_lr020_seed1,0.2,1,9,0.796078431372549,0.7213549642599539,4.265964611063478,0.788235294117647,0.7794117647058824,0.7784313725490196
final_lr020_seed1,0.2,1,10,0.7941176470588235,0.7181386911414023,4.707191574390552,0.7833333333333333,0.7955882352941176,0.7975490196078432
final_lr020_seed1,0.2,1,11,0.8049019607843138,0.7006309041612099,4.939149971614809,0.7936274509803921,0.8034313725490196,0.8073529411764706
final_lr020_seed1,0.2,1,12,0.8073529411764706,0.6625752811173184,4.649078857585088,0.8029411764705883,0.8102941176470588,0.8093137254901961
final_lr020_seed1,0.2,1,13,0.7970588235294118,0.663379976414848,4.244662168578753,0.7965686274509803,0.7901960784313725,0.8112745098039216
