epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.096283,0.903717,0
1,2,2040,0.722148,0.277852,0
2,3,2040,0.786661,0.213339,0
3,4,2040,0.73235,0.26765,0
4,5,2040,0.659527,0.340473,0
5,6,2040,0.820092,0.179908,0
6,7,2040,0.843864,0.156136,0
7,8,2040,0.878449,0.121551,0
8,9,2040,0.867116,0.132884,0
9,10,2040,0.838415,0.161585,0
10,11,2040,0.866555,0.133445,0
11,12,2040,0.800594,0.199406,0
12,13,2040,0.817382,0.182618,0
13,14,2040,0.890075,0.109925,0
14,15,2040,0.814897,0.185103,0
15,16,2040,0.803029,0.196971,0
16,17,2040,0.857823,0.142177,0
17,18,2040,0.863557,0.136443,0
18,19,2040,0.87101,0.12899,0
19,20,2040,0.847394,0.152606,0
20,22,2040,0.836291,0.163709,0
22,24,2040,0.829564,0.170436,0
24,26,2040,0.824114,0.175886,0
26,28,2040,0.857458,0.142542,0
28,30,2040,0.857202,0.142798,0
30,35,2040,0.837754,0.162246,0
35,40,2040,0.802349,0.197651,0
40,45,2040,0.846591,0.153409,0
45,50,2040,0.861876,0.138124,0
50,60,2040,0.830633,0.169367,0
60,70,2040,0.834447,0.165553,0
70,80,2040,0.826609,0.173391,0
80,90,2040,0.835763,0.164237,0
90,100,2040,0.849231,0.150769,0
100,110,2040,0.849969,0.150031,0
110,120,2040,0.867978,0.132022,0
120,130,2040,0.874534,0.125466,0
130,140,2040,0.8833,0.1167,0
140,150,2040,0.91927,0.08073,0
150,160,2040,0.945175,0.054825,0
160,170,2040,0.984502,0.015498,1
170,180,2040,0.996383,0.003617,1
180,190,2040,0.998926,0.001074,1
190,200,2040,0.99934,0.00066,1
