epoch_prev,epoch_curr,drs_value,drs_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.69874,0.30126,0,0,0
15,20,0.812909,0.187091,0,0,0
25,30,0.800798,0.199202,0,0,0
35,40,0.839097,0.160903,0,0,0
45,50,0.776498,0.223502,0,0,0
55,60,0.787047,0.212953,0,0,0
65,70,0.818458,0.181542,0,0,0
75,80,0.843626,0.156374,0,0,0
85,90,0.814494,0.185506,0,0,0
95,100,0.81107,0.18893,0,0,0
105,110,0.842095,0.157905,0,0,0
115,120,0.861737,0.138263,0,0,0
125,130,0.846857,0.153143,0,0,0
135,140,0.876242,0.123758,0,0,0
145,150,0.850282,0.149718,0,0,0
155,160,0.889679,0.110321,0,0,0
165,170,0.867514,0.132486,0,0,0
175,180,0.888674,0.111326,0,0,0
185,190,0.868671,0.131329,0,0,0
195,200,0.84125,0.15875,0,0,0
205,210,0.869428,0.130572,0,0,0
215,220,0.868094,0.131906,0,0,0
225,230,0.875406,0.124594,0,0,0
235,240,0.860327,0.139673,0,0,0
245,250,0.888074,0.111926,0,0,0
255,260,0.891018,0.108982,0,0,0
265,270,0.897566,0.102434,0,0,0
275,280,0.916204,0.083796,0,0,0
285,290,0.910786,0.089214,0,0,0
295,300,0.873032,0.126968,0,0,0
