epoch_prev,epoch_curr,cka_value,cka_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.774656,0.225344,0,0,0
10,15,0.779313,0.220687,0,0,0
15,20,0.833046,0.166954,0,0,0
20,25,0.821809,0.178191,0,0,0
25,30,0.723816,0.276184,0,0,0
30,35,0.831978,0.168022,0,0,0
35,40,0.830052,0.169948,0,0,0
40,45,0.821484,0.178516,0,0,0
45,50,0.775662,0.224338,0,0,0
50,55,0.803196,0.196804,0,0,0
55,60,0.749429,0.250571,0,0,0
60,65,0.799251,0.200749,0,0,0
65,70,0.812527,0.187473,0,0,0
70,75,0.781139,0.218861,0,0,0
75,80,0.783723,0.216277,0,0,0
80,85,0.763182,0.236818,0,0,0
85,90,0.840994,0.159006,0,0,0
90,95,0.766098,0.233902,0,0,0
95,100,0.783848,0.216152,0,0,0
100,105,0.856371,0.143629,0,0,0
105,110,0.965704,0.034296,0,0,0
110,115,0.963653,0.036347,0,0,0
115,120,0.953008,0.046992,0,0,0
120,125,0.935381,0.064619,0,0,0
125,130,0.936124,0.063876,0,0,0
130,135,0.921361,0.078639,0,0,0
135,140,0.906563,0.093437,0,0,0
140,145,0.912499,0.087501,0,0,0
145,150,0.916831,0.083169,0,0,0
150,155,0.915234,0.084766,0,0,0
155,160,0.894572,0.105428,0,0,0
160,165,0.894616,0.105384,0,0,0
165,170,0.889308,0.110692,0,0,0
170,175,0.898639,0.101361,0,0,0
175,180,0.892531,0.107469,0,0,0
180,185,0.891112,0.108888,0,0,0
185,190,0.891385,0.108615,0,0,0
190,195,0.889231,0.110769,0,0,0
195,200,0.87567,0.12433,0,0,0
200,205,0.953213,0.046787,0,0,0
205,210,0.99661,0.00339,1,1,0
210,215,0.997086,0.002914,1,2,0
215,220,0.99721,0.00279,1,3,0
220,225,0.998453,0.001547,1,4,0
225,230,0.998715,0.001285,1,5,1
230,235,0.998604,0.001396,1,6,0
235,240,0.998939,0.001061,1,7,0
240,245,0.998968,0.001032,1,8,0
245,250,0.99888,0.00112,1,9,0
250,255,0.998683,0.001317,1,10,0
255,260,0.999162,0.000838,1,11,0
260,265,0.999263,0.000737,1,12,0
265,270,0.99908,0.00092,1,13,0
270,275,0.999217,0.000783,1,14,0
275,280,0.998863,0.001137,1,15,0
280,285,0.999243,0.000757,1,16,0
285,290,0.999147,0.000853,1,17,0
290,295,0.999385,0.000615,1,18,0
295,300,0.999033,0.000967,1,19,0
