lr,epoch,cka_biased_tofinal_mean,cka_biased_tofinal_std,cka_debiased_tofinal_mean,cka_debiased_tofinal_std,svcca_tofinal_mean,svcca_tofinal_std,cka_biased_consec_mean,cka_biased_consec_std,cka_debiased_consec_mean,cka_debiased_consec_std,test_acc_mean,test_acc_std,test_nll_mean,test_nll_std,test_margin_mean,test_margin_std
0.05,0,0.057931316703344116,0.011180150433360436,0.05642702441305406,0.011227725450573154,0.36135406089701355,0.030848176526862208,,,,,0.3854901960784313,0.004447026835310498,1.8027403549717633,0.014860269885634398,-0.5822196256464671,0.027310954314991656
0.05,1,0.39761697409039687,0.13618690082908547,0.3978341812186478,0.13495202160034128,0.5044714385661442,0.06647700590908286,0.12455302465990052,0.04867005992518385,0.1242388216541876,0.04812159537580755,0.5962745098039216,0.028601166418384425,1.2585018234707825,0.05515690270172888,0.8659268043849334,0.28697455486080337
0.05,2,0.5077737611573305,0.022155821298008308,0.5074858212846702,0.020969527340966063,0.5829307767122239,0.020217020560041668,0.6576081205324737,0.13168918074585337,0.6568800466642536,0.13177033805005425,0.6944117647058823,0.00790873304891887,1.0272297547802682,0.01782033739175232,2.4215336238228984,0.3392595326194257
0.05,3,0.5750332539761626,0.03326711489443424,0.5743209004111108,0.03306951324501935,0.6243007685741084,0.019497916607653844,0.7841518505613386,0.03602546458467153,0.7842585813409662,0.035329854694913586,0.7566666666666666,0.014192848457161488,0.8824434250772855,0.04375638475890198,3.7422494249482083,0.3737630956525369
0.05,4,0.5764589402401217,0.0768991716406752,0.5760753929410434,0.07608722652453145,0.641543435458703,0.01732137558120564,0.7968139757618238,0.04681725447730009,0.7971826540802146,0.046530088994909576,0.7856862745098039,0.008833055859496924,0.7886953199189151,0.050506355198727246,4.602714548059131,0.2545500976703635
0.05,5,0.6436442930089356,0.019264427531237062,0.6427052785018084,0.019232409736020976,0.6560883996871529,0.010550740323698536,0.7925814720586551,0.09967870557245359,0.792906815637582,0.09872264932625953,0.8083333333333333,0.008658589084635158,0.7037937317541525,0.014548483609772922,5.135728007405974,0.36199603032684663
0.05,6,0.6447941770192127,0.03271355914786704,0.6439298671209756,0.032721859755438946,0.6655559613256534,0.012809554787131609,0.8324919382320541,0.035480004305315276,0.8320705477608502,0.035576140668036625,0.8321568627450981,0.0094964025240959,0.6272139540637803,0.03985492829360424,5.788736182959348,0.32653633292415113
0.05,7,0.6729945971733912,0.022374256412471906,0.6722119069884573,0.022375702714586387,0.6737138928491839,0.008702034045443832,0.8657606867282022,0.035960917583383455,0.8654318081834175,0.03605640412132682,0.8390196078431373,0.009490074541435361,0.5839238554829262,0.022079823589371012,6.240172295845137,0.3086767170183296
0.05,8,0.6816827694716399,0.02266120301212292,0.6809216924056346,0.022713154735646342,0.6803838490610573,0.010446913817360404,0.8867605104576457,0.017035620769738927,0.8864845193709705,0.017101382164420344,0.8511764705882353,0.008895404426748525,0.5724553070583249,0.03215833724884085,6.5709524673126625,0.3834384795184506
0.05,9,0.6971228317385074,0.00617377983380098,0.6964018561655133,0.006152549043859505,0.68363041754133,0.007096036646092829,0.8785706401771659,0.02175381755796844,0.8782970365797829,0.021794644261324495,0.8576470588235294,0.005552430878291826,0.540994017580793,0.024887672967343025,6.859023286244877,0.403476643054794
