epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.062864,0.087061,0
1,2040,0.82344,0.306383,0.396832,0
2,2040,0.424458,0.45854,0.576368,0
3,2040,0.22801,0.521742,0.635919,0
4,2040,0.206399,0.589427,0.697232,0
5,2040,0.169607,0.613191,0.714508,0
6,2040,0.198527,0.673948,0.766198,0
7,2040,0.168724,0.638933,0.738145,0
8,2040,0.205989,0.666295,0.762791,0
9,2040,0.185152,0.655822,0.740318,0
10,2040,0.166201,0.676237,0.752274,0
11,2040,0.213691,0.6873,0.764603,0
12,2040,0.164492,0.695653,0.774117,0
13,2040,0.154636,0.698432,0.768148,0
14,2040,0.209933,0.64962,0.725013,0
15,2040,0.241492,0.689182,0.75562,0
16,2040,0.189646,0.708107,0.772513,0
17,2040,0.182921,0.703906,0.760935,0
18,2040,0.237725,0.693175,0.747229,0
19,2040,0.263573,0.69164,0.739191,0
20,2040,0.204618,0.741882,0.795242,0
22,2040,0.167549,0.730387,0.783665,0
24,2040,0.165098,0.738362,0.785054,0
26,2040,0.171907,0.721876,0.765456,0
28,2040,0.170273,0.730333,0.766421,0
30,2040,0.191551,0.741579,0.78168,0
35,2040,0.179616,0.73835,0.778966,0
40,2040,0.174899,0.737067,0.774559,0
45,2040,0.212329,0.743796,0.771786,0
50,2040,0.200861,0.73462,0.760138,0
60,2040,0.177583,0.762177,0.783682,0
70,2040,0.186115,0.779365,0.797332,0
80,2040,0.152481,0.800076,0.814925,0
90,2040,0.170448,0.795813,0.801665,0
100,2040,0.162679,0.815255,0.815246,0
110,2040,0.179829,0.809512,0.813908,0
120,2040,0.166257,0.844954,0.842692,0
130,2040,0.154027,0.855523,0.853847,0
140,2040,0.136399,0.875675,0.868796,0
150,2040,0.155844,0.89463,0.891954,0
160,2040,0.117664,0.943115,0.94331,0
170,2040,0.056986,0.98299,0.983483,0
180,2040,0.015898,0.996828,0.997024,1
190,2040,0.00278,0.999142,0.999142,1
200,2040,0.000858,1.0,nan,1
