epoch,probe_name,train_acc,test_acc,n_train,n_test,fit_seconds,status,error_message
0,logistic_regression,0.47434,0.4409,50000,10000,11.966,ok,
0,linear_svm,0.5424,0.3901,10000,10000,15.644,ok,
0,rbf_svm,0.5617,0.4182,10000,10000,6.807,ok,
0,random_forest,1.0,0.3853,50000,10000,2.313,ok,
1,logistic_regression,0.57732,0.5495,50000,10000,7.287,ok,
1,linear_svm,0.6328,0.5098,10000,10000,25.277,ok,
1,rbf_svm,0.5612,0.5062,10000,10000,4.263,ok,
1,random_forest,1.0,0.5227,50000,10000,2.21,ok,
2,logistic_regression,0.68314,0.6494,50000,10000,5.317,ok,
2,linear_svm,0.7315,0.6018,10000,10000,12.991,ok,
2,rbf_svm,0.6829,0.6178,10000,10000,3.255,ok,
2,random_forest,1.0,0.6175,50000,10000,2.362,ok,
3,logistic_regression,0.74796,0.7107,50000,10000,5.068,ok,
3,linear_svm,0.8051,0.666,10000,10000,14.2,ok,
3,rbf_svm,0.7514,0.6845,10000,10000,2.699,ok,
3,random_forest,1.0,0.6815,50000,10000,2.322,ok,
4,logistic_regression,0.80234,0.7632,50000,10000,4.649,ok,
4,linear_svm,0.8661,0.7201,10000,10000,8.261,ok,
4,rbf_svm,0.799,0.7478,10000,10000,1.957,ok,
4,random_forest,1.0,0.7463,50000,10000,2.438,ok,
5,logistic_regression,0.84272,0.799,50000,10000,4.871,ok,
5,linear_svm,0.9006,0.7578,10000,10000,7.715,ok,
5,rbf_svm,0.8307,0.7871,10000,10000,1.713,ok,
5,random_forest,1.0,0.7889,50000,10000,2.649,ok,
6,logistic_regression,0.8718,0.8278,50000,10000,4.598,ok,
6,linear_svm,0.9253,0.788,10000,10000,6.55,ok,
6,rbf_svm,0.8566,0.8185,10000,10000,1.44,ok,
6,random_forest,1.0,0.8187,50000,10000,2.629,ok,
7,logistic_regression,0.8775,0.8325,50000,10000,6.722,ok,
7,linear_svm,0.9305,0.8025,10000,10000,6.777,ok,
7,rbf_svm,0.8569,0.819,10000,10000,1.424,ok,
