epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.17656,0.82344,0
1,2,2040,0.575542,0.424458,0
2,3,2040,0.77199,0.22801,0
3,4,2040,0.793601,0.206399,0
4,5,2040,0.830393,0.169607,0
5,6,2040,0.801473,0.198527,0
6,7,2040,0.831276,0.168724,0
7,8,2040,0.794011,0.205989,0
8,9,2040,0.814848,0.185152,0
9,10,2040,0.833799,0.166201,0
10,11,2040,0.786309,0.213691,0
11,12,2040,0.835508,0.164492,0
12,13,2040,0.845364,0.154636,0
13,14,2040,0.790067,0.209933,0
14,15,2040,0.758508,0.241492,0
15,16,2040,0.810354,0.189646,0
16,17,2040,0.817079,0.182921,0
17,18,2040,0.762275,0.237725,0
18,19,2040,0.736427,0.263573,0
19,20,2040,0.795382,0.204618,0
20,22,2040,0.832451,0.167549,0
22,24,2040,0.834902,0.165098,0
24,26,2040,0.828093,0.171907,0
26,28,2040,0.829727,0.170273,0
28,30,2040,0.808449,0.191551,0
30,35,2040,0.820384,0.179616,0
35,40,2040,0.825101,0.174899,0
40,45,2040,0.787671,0.212329,0
45,50,2040,0.799139,0.200861,0
50,60,2040,0.822417,0.177583,0
60,70,2040,0.813885,0.186115,0
70,80,2040,0.847519,0.152481,0
80,90,2040,0.829552,0.170448,0
90,100,2040,0.837321,0.162679,0
100,110,2040,0.820171,0.179829,0
110,120,2040,0.833743,0.166257,0
120,130,2040,0.845973,0.154027,0
130,140,2040,0.863601,0.136399,0
140,150,2040,0.844156,0.155844,0
150,160,2040,0.882336,0.117664,0
160,170,2040,0.943014,0.056986,0
170,180,2040,0.984102,0.015898,1
180,190,2040,0.99722,0.00278,1
190,200,2040,0.999142,0.000858,1
