epoch,lr,train_loss,train_acc,network_test_acc,local_cka_change,cka_to_final,mean_future_cka,below_tau,nc1,log10_nc1,nc2_etf_deviation,nc3_weight_mean_alignment,nc4_ncm_disagreement,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included,logistic_gap_to_final,logistic_relative_to_final_network,linear_svm_gap_to_final,linear_svm_relative_to_final_network,rbf_svm_gap_to_final,rbf_svm_relative_to_final_network,rf_gap_to_final,rf_relative_to_final_network,lightgbm_gap_to_final,lightgbm_relative_to_final_network
0,0.1,,,0.1,,0.062864,0.087061,0,38.57398884,1.586295,1.97024619,1.41764685,0.94914,0.4409,0.3901,0.4182,0.3853,,,0.08230413,0.85375545,1647.19186958,0.0,1647191869580539.5,500,50,1,0.5136000000000001,0.46215932914046126,0.5644,0.40890985324947593,0.5361,0.43836477987421385,0.5693,0.40387840670859537,,
1,0.1,1.8887208576202392,0.31892,0.4099,0.82344,0.306383,0.396832,0,32.09117794,1.506386,1.71396088,0.71511186,0.41922,0.5495,0.5098,0.5062,0.5227,,0.19032589,0.11463588,0.82786306,15.39222131,0.0,15392221313881.385,500,50,1,0.405,0.5759958071278826,0.4447,0.5343815513626835,0.44810000000000005,0.530607966457023,0.43189999999999995,0.5479035639412999,,
2,0.099993831624083,1.3969007209777833,0.48922,0.5511,0.424458,0.45854,0.576368,0,5.15698081,0.712396,1.31815477,0.60207321,0.2106,0.6494,0.6018,0.6178,0.6175,,0.10378196,0.10665362,0.87812072,15.36441758,0.0,15364417580587.96,500,50,1,0.30510000000000004,0.6807127882599581,0.3527,0.6308176100628932,0.3365,0.6475890985324948,0.33709999999999996,0.6472746331236898,,
3,0.0999753280182865,1.1203683071136474,0.59806,0.5935,0.22801,0.521742,0.635919,0,2.43023538,0.385648,1.24030453,0.60507779,0.27326,0.7107,0.666,0.6845,0.6815,,0.04482164,0.11874349,0.89212538,22.84431994,0.0,22844319935828.58,500,50,1,0.24380000000000002,0.7449685534591195,0.2885,0.6981132075471699,0.26980000000000004,0.7175052410901468,0.2731,0.7143605870020965,,
4,0.0999444937480985,0.924424781074524,0.67072,0.6954,0.206399,0.589427,0.697232,0,1.47303706,0.168214,1.04055631,0.61159166,0.17734,0.7632,0.7201,0.7478,0.7463,,0.06918692,0.183395,0.86753871,24.0066061,0.0,24006606096488.91,500,50,1,0.19130000000000003,0.8,0.23440000000000005,0.7548218029350104,0.20650000000000002,0.7838574423480085,0.20830000000000004,0.7822851153039833,,
5,0.0999013364214135,0.7646277193450928,0.73196,0.7194,0.169607,0.613191,0.714508,0,1.07003847,0.029399,0.90937452,0.58653415,0.21158,0.799,0.7578,0.7871,0.7889,,0.05464294,0.16597511,0.88548029,25.15883438,0.0,25158834384392.41,500,50,1,0.15549999999999997,0.8375262054507339,0.19669999999999999,0.7943396226415095,0.16720000000000002,0.8250524109014675,0.16569999999999996,0.8269392033542978,,
6,0.0998458666866564,0.6622462037086487,0.77102,0.7778,0.198527,0.673948,0.766198,0,0.86343663,-0.06377,0.84335569,0.50927829,0.0959,0.8278,0.788,0.8185,0.8187,,0.08452521,0.13266114,0.9138792,19.33972275,0.0,19339722753824.395,500,50,1,0.12670000000000003,0.8677148846960168,0.16649999999999998,0.8259958071278827,0.13580000000000003,0.8579664570230608,0.13590000000000002,0.8581761006289308,,
7,0.099778098230154,0.585999212551117,0.79986,0.7009,0.168724,0.638933,0.738145,0,0.77647306,-0.109874,0.96996003,0.56650711,0.23388,0.8325,0.8025,0.819,0.8188,,0.06337689,0.1868084,0.87870162,30.00203222,0.0,30002032217989.285,500,50,1,0.122,0.8726415094339623,0.15200000000000002,0.8411949685534591,0.1353000000000001,0.8584905660377359,0.13580000000000003,0.8582809224318658,,
8,0.099698047772759,0.5431083188056945,0.81342,0.7653,0.205989,0.666295,0.762791,0,0.73927216,-0.131196,0.87458988,0.48112488,0.11844,0.8392,0.8067,0.8263,0.8254,,0.11553339,0.10860266,0.91690687,19.07766889,0.0,19077668885414.11,500,50,1,0.11530000000000007,0.879664570230608,0.14780000000000004,0.8455974842767295,0.128,0.8661425576519917,0.12919999999999998,0.8651991614255766,,
9,0.0996057350657239,0.5202421670722961,0.82088,0.7544,0.185152,0.655822,0.740318,0,0.74311541,-0.128944,0.92525844,0.50459196,0.15774,0.8473,0.8122,0.8316,0.8325,,0.07318763,0.13316466,0.90718283,22.5731514,0.0,22573151404468.96,500,50,1,0.10719999999999996,0.8881551362683439,0.14229999999999998,0.8513626834381552,0.12270000000000003,0.8716981132075472,0.12209999999999999,0.8726415094339623,,
10,0.0995011828858278,0.4917999136638641,0.83134,0.7894,0.166201,0.676237,0.752274,0,0.64926612,-0.187577,0.83926333,0.45993178,0.11672,0.8597,0.833,0.8457,0.8462,,0.05465983,0.14417307,0.90124706,25.61751107,0.0,25617511067281.914,500,50,1,0.0948,0.9011530398322852,0.12150000000000005,0.8731656184486373,0.10860000000000003,0.8864779874213837,0.10840000000000005,0.8870020964360587,,
