epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4409,0.3901,0.4182,0.3853,nan
1,0.5495,0.5098,0.5062,0.5227,nan
2,0.6494,0.6018,0.6178,0.6175,nan
3,0.7107,0.666,0.6845,0.6815,nan
4,0.7632,0.7201,0.7478,0.7463,nan
5,0.799,0.7578,0.7871,0.7889,nan
6,0.8278,0.788,0.8185,0.8187,nan
7,0.8325,0.8025,0.819,0.8188,nan
8,0.8392,0.8067,0.8263,0.8254,nan
9,0.8473,0.8122,0.8316,0.8325,nan
10,0.8597,0.833,0.8457,0.8462,nan
11,0.8644,0.8323,0.8488,0.8485,nan
12,0.8674,0.8409,0.856,0.8582,nan
13,0.8662,0.8401,0.8547,0.8543,nan
14,0.8645,0.8368,0.8417,0.8419,nan
15,0.8706,0.8387,0.8497,0.8508,nan
16,0.8641,0.8407,0.8478,0.8491,nan
17,0.8807,0.859,0.8706,0.8724,nan
18,0.8736,0.8506,0.854,0.8554,nan
19,0.8736,0.8468,0.857,0.8575,nan
20,0.8862,0.8612,0.8765,0.8784,nan
22,0.8863,0.8699,0.8763,0.8791,nan
24,0.8893,0.8704,0.8737,0.8788,nan
26,0.8876,0.8685,0.8721,0.8739,nan
28,0.8963,0.8751,0.887,0.8867,nan
30,0.889,0.8686,0.8779,0.8767,nan
35,0.8891,0.8674,0.8714,0.8732,nan
40,0.8982,0.8763,0.8825,0.8825,nan
45,0.8986,0.8794,0.8863,0.8866,nan
50,0.9015,0.88,0.885,0.8856,nan
60,0.9042,0.8893,0.8931,0.893,nan
70,0.9045,0.8903,0.8932,0.8929,nan
80,0.9082,0.8947,0.9,0.9001,nan
90,0.9117,0.8984,0.9015,0.9026,nan
100,0.9178,0.9066,0.9128,0.9125,nan
110,0.9151,0.9049,0.9089,0.9081,nan
120,0.926,0.9205,0.9219,0.9222,nan
130,0.9296,0.9251,0.9239,0.9247,nan
140,0.9263,0.9211,0.9234,0.9242,nan
150,0.9327,0.9318,0.9307,0.9322,nan
160,0.9403,0.9413,0.9432,0.9412,nan
170,0.9486,0.9475,0.9476,0.9488,nan
180,0.9529,0.9529,0.9534,0.9529,nan
190,0.954,0.9543,0.954,0.9535,nan
200,0.9545,0.9545,0.9543,0.9546,nan
