epoch,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included
0,nan,0.08230413,0.85375545,1647.19186958,0.0,1647191869580539.5,500,50,1
1,0.19032589,0.11463588,0.82786306,15.39222131,0.0,15392221313881.385,500,50,1
2,0.10378196,0.10665362,0.87812072,15.36441758,0.0,15364417580587.96,500,50,1
3,0.04482164,0.11874349,0.89212538,22.84431994,0.0,22844319935828.58,500,50,1
4,0.06918692,0.183395,0.86753871,24.0066061,0.0,24006606096488.91,500,50,1
5,0.05464294,0.16597511,0.88548029,25.15883438,0.0,25158834384392.414,500,50,1
6,0.08452521,0.13266114,0.9138792,19.33972275,0.0,19339722753824.395,500,50,1
7,0.06337689,0.1868084,0.87870162,30.00203222,0.0,30002032217989.285,500,50,1
8,0.11553339,0.10860266,0.91690687,19.07766889,0.0,19077668885414.11,500,50,1
9,0.07318763,0.13316466,0.90718283,22.5731514,0.0,22573151404468.96,500,50,1
10,0.05465983,0.14417307,0.90124706,25.61751107,0.0,25617511067281.914,500,50,1
11,0.07781599,0.15059266,0.9002063,21.00360863,0.0,21003608632310.105,500,50,1
12,0.06207057,0.1733531,0.89105629,25.32869332,0.0,25328693317417.504,500,50,1
13,0.05521943,0.1406489,0.89821722,21.17145561,0.0,21171455612464.03,500,50,1
14,0.11417331,0.17844289,0.86359066,30.17670759,0.0,30176707594996.37,500,50,1
15,0.15446576,0.11947445,0.90505846,24.67402301,0.0,24674023007615.11,500,50,1
16,0.05780851,0.09928541,0.91795213,25.50373239,0.0,25503732394794.06,500,50,1
17,0.07161035,0.13723977,0.9043305,27.53838179,0.0,27538381787448.297,500,50,1
18,0.10174753,0.13180641,0.89671839,26.18553862,0.0,26185538623792.203,500,50,1
19,0.1036481,0.10349029,0.91270043,23.2624997,0.0,23262499700744.95,500,50,1
20,0.06753999,0.10358127,0.92709273,24.94441085,0.0,24944410851824.426,500,50,1
22,0.06239197,0.12629381,0.90778499,22.5612899,0.0,22561289904095.234,500,50,1
24,0.06622976,0.1019241,0.91884059,26.09360634,0.0,26093606341652.44,500,50,1
26,0.06798827,0.11114016,0.90978928,27.7069946,0.0,27706994597564.926,500,50,1
28,0.05791455,0.12021626,0.90317438,27.55495773,0.0,27554957728385.734,500,50,1
30,0.08138859,0.11637932,0.9137306,26.78187148,0.0,26781871475479.555,500,50,1
35,0.05025825,0.11884438,0.91175609,26.82762803,0.0,26827628033908.676,500,50,1
40,0.0604909,0.15887363,0.88538068,28.67283536,0.0,28672835360159.836,500,50,1
45,0.09960494,0.09024373,0.91961227,30.31543444,0.0,30315434440434.684,500,50,1
50,0.09097235,0.13199526,0.89440743,28.00458414,0.0,28004584138169.83,500,50,1
60,0.06619623,0.11127863,0.90626335,30.79488379,0.0,30794883788474.125,500,50,1
70,0.07612427,0.09625373,0.918538,28.40758738,0.0,28407587380096.273,500,50,1
80,0.04790925,0.09127284,0.92536793,32.26867457,0.0,32268674571002.72,500,50,1
90,0.06501329,0.10808249,0.91054212,35.04937691,0.0,35049376905293.42,500,50,1
100,0.05649083,0.08774229,0.92043272,34.33451518,0.0,34334515181241.67,500,50,1
110,0.06907331,0.08272549,0.92938589,36.29867767,0.0,36298677672901.08,500,50,1
120,0.04751832,0.0573844,0.94530134,36.64513738,0.0,36645137377552.87,500,50,1
130,0.03654171,0.04125805,0.9589542,38.10662513,0.0,38106625125979.516,500,50,1
140,0.03146493,0.03331552,0.96513812,38.45765371,0.0,38457653708108.85,500,50,1
150,0.03747115,0.02388524,0.97477362,35.75367493,0.0,35753674925560.8,500,50,1
160,0.02824382,0.00911899,0.9908426,35.79541863,0.0,35795418634135.67,500,50,1
170,0.00965171,0.00362291,0.99675813,35.20146175,0.0,35201461751024.36,500,50,1
180,0.00294522,0.00099042,0.99926363,34.07587583,0.0,34075875830605.1,500,50,1
190,0.00048232,0.00063327,0.99936673,33.79365668,0.0,33793656676963.523,500,50,1
200,0.00063327,0.0,nan,33.63374297,0.0,33633742972265.35,500,50,1
