epoch,probe_name,train_acc,test_acc,n_train,n_test,fit_seconds,status,error_message
22,rbf_svm,0.9058,0.8602,10000,10000,1.009,ok,
22,random_forest,1.0,0.8606,50000,10000,2.667,ok,
24,logistic_regression,0.9388,0.888,50000,10000,3.799,ok,
24,linear_svm,0.9785,0.8647,10000,10000,4.022,ok,
24,rbf_svm,0.9164,0.8778,10000,10000,0.884,ok,
24,random_forest,1.0,0.8785,50000,10000,2.607,ok,
26,logistic_regression,0.9398,0.8926,50000,10000,3.656,ok,
26,linear_svm,0.9763,0.8745,10000,10000,4.054,ok,
26,rbf_svm,0.9125,0.8738,10000,10000,0.913,ok,
26,random_forest,1.0,0.8753,50000,10000,2.767,ok,
28,logistic_regression,0.94196,0.8926,50000,10000,4.191,ok,
28,linear_svm,0.977,0.8701,10000,10000,3.866,ok,
28,rbf_svm,0.9206,0.8826,10000,10000,0.83,ok,
28,random_forest,1.0,0.8831,50000,10000,2.739,ok,
30,logistic_regression,0.94174,0.8902,50000,10000,4.079,ok,
30,linear_svm,0.9768,0.8711,10000,10000,4.346,ok,
30,rbf_svm,0.9182,0.879,10000,10000,0.887,ok,
30,random_forest,1.0,0.8783,50000,10000,2.771,ok,
35,logistic_regression,0.9444,0.8933,50000,10000,3.387,ok,
35,linear_svm,0.9797,0.8751,10000,10000,3.95,ok,
35,rbf_svm,0.9213,0.8783,10000,10000,0.825,ok,
35,random_forest,1.0,0.8823,50000,10000,2.567,ok,
40,logistic_regression,0.94308,0.8887,50000,10000,3.387,ok,
40,linear_svm,0.979,0.8733,10000,10000,3.908,ok,
40,rbf_svm,0.92,0.8775,10000,10000,0.83,ok,
40,random_forest,1.0,0.8782,50000,10000,2.521,ok,
45,logistic_regression,0.94842,0.8975,50000,10000,3.828,ok,
45,linear_svm,0.9834,0.8798,10000,10000,3.715,ok,
45,rbf_svm,0.9268,0.8885,10000,10000,0.757,ok,
45,random_forest,1.0,0.8898,50000,10000,2.584,ok,
50,logistic_regression,0.94778,0.8971,50000,10000,3.919,ok,
50,linear_svm,0.981,0.8791,10000,10000,3.709,ok,
50,rbf_svm,0.9264,0.8798,10000,10000,0.772,ok,
50,random_forest,1.0,0.8821,50000,10000,2.617,ok,
60,logistic_regression,0.94432,0.8896,50000,10000,4.349,ok,
