epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.196852,0.803148,0
1,2,2040,0.67814,0.32186,0
2,3,2040,0.81972,0.18028,0
3,4,2040,0.836409,0.163591,0
4,5,2040,0.837717,0.162283,0
5,6,2040,0.836714,0.163286,0
6,7,2040,0.852214,0.147786,0
7,8,2040,0.82377,0.17623,0
8,9,2040,0.789524,0.210476,0
9,10,2040,0.731018,0.268982,0
10,11,2040,0.820514,0.179486,0
11,12,2040,0.847093,0.152907,0
12,13,2040,0.839584,0.160416,0
13,14,2040,0.812067,0.187933,0
14,15,2040,0.831502,0.168498,0
15,16,2040,0.764957,0.235043,0
16,17,2040,0.784837,0.215163,0
17,18,2040,0.7618,0.2382,0
18,19,2040,0.823389,0.176611,0
19,20,2040,0.775158,0.224842,0
20,22,2040,0.758496,0.241504,0
22,24,2040,0.782992,0.217008,0
24,26,2040,0.826544,0.173456,0
26,28,2040,0.809208,0.190792,0
28,30,2040,0.838127,0.161873,0
30,35,2040,0.820194,0.179806,0
35,40,2040,0.831418,0.168582,0
40,45,2040,0.800304,0.199696,0
45,50,2040,0.834236,0.165764,0
50,60,2040,0.779172,0.220828,0
60,70,2040,0.783653,0.216347,0
70,80,2040,0.786869,0.213131,0
80,90,2040,0.842012,0.157988,0
90,100,2040,0.825466,0.174534,0
100,110,2040,0.849757,0.150243,0
110,120,2040,0.863027,0.136973,0
120,130,2040,0.846987,0.153013,0
130,140,2040,0.84341,0.15659,0
140,150,2040,0.838104,0.161896,0
150,160,2040,0.894746,0.105254,0
160,170,2040,0.938455,0.061545,0
170,180,2040,0.978816,0.021184,0
180,190,2040,0.996576,0.003424,1
190,200,2040,0.999329,0.000671,1
