epoch,nc1_papyan,log10_nc1_papyan,nc2_etf_deviation,nc3_self_duality_frobenius,nc4_ncc_disagreement,nc1,log10_nc1,nc3_weight_mean_alignment,nc4_ncm_disagreement
0,46.088308,1.663591,1.95053467,1.42801768,0.9362,46.088308,1.663591,1.42801768,0.9362
1,36.10748237,1.557597,1.60120525,0.67947936,0.2634,36.10748237,1.557597,0.67947936,0.2634
2,4.02677303,0.604957,1.45937556,0.59975786,0.27446,4.02677303,0.604957,0.59975786,0.27446
3,2.14162612,0.330744,1.37866794,0.60465136,0.20784,2.14162612,0.330744,0.60465136,0.20784
4,1.26466912,0.101977,1.03074028,0.5856553,0.12592,1.26466912,0.101977,0.5856553,0.12592
5,1.04696883,0.019934,1.04229375,0.58430503,0.17544,1.04696883,0.019934,0.58430503,0.17544
6,0.77236271,-0.112179,0.91620347,0.53605478,0.10462,0.77236271,-0.112179,0.53605478,0.10462
7,0.77661152,-0.109796,0.96965359,0.52328028,0.15426,0.77661152,-0.109796,0.52328028,0.15426
8,0.6993156,-0.155327,0.84944504,0.51873322,0.1523,0.6993156,-0.155327,0.51873322,0.1523
9,0.68229232,-0.16603,0.92406409,0.51487014,0.19056,0.68229232,-0.16603,0.51487014,0.19056
10,0.6546348,-0.184001,0.70291673,0.45801646,0.13062,0.6546348,-0.184001,0.45801646,0.13062
11,0.58530294,-0.232619,0.8345585,0.46525645,0.13034,0.58530294,-0.232619,0.46525645,0.13034
12,0.61146626,-0.213628,0.80782323,0.46258864,0.10964,0.61146626,-0.213628,0.46258864,0.10964
13,0.58013354,-0.236472,0.81169817,0.45575036,0.10602,0.58013354,-0.236472,0.45575036,0.10602
14,0.56481792,-0.248092,0.77695614,0.50712398,0.1403,0.56481792,-0.248092,0.50712398,0.1403
15,0.50263954,-0.298743,0.89609908,0.47458768,0.13602,0.50263954,-0.298743,0.47458768,0.13602
16,0.51460405,-0.288527,0.66408592,0.43135294,0.10884,0.51460405,-0.288527,0.43135294,0.10884
17,0.5031643,-0.29829,0.68552374,0.41812333,0.11654,0.5031643,-0.29829,0.41812333,0.11654
18,0.51666837,-0.286788,0.78133044,0.41432985,0.12462,0.51666837,-0.286788,0.41432985,0.12462
19,0.4671741,-0.330521,0.70504021,0.4070054,0.08106,0.4671741,-0.330521,0.4070054,0.08106
20,0.53022485,-0.27554,0.7923316,0.44601532,0.1846,0.53022485,-0.27554,0.44601532,0.1846
22,0.53261983,-0.273583,0.64278178,0.38840465,0.0856,0.53261983,-0.273583,0.38840465,0.0856
24,0.47276151,-0.325358,0.72910979,0.40187771,0.09152,0.47276151,-0.325358,0.40187771,0.09152
26,0.47133378,-0.326671,0.69755529,0.42440023,0.09474,0.47133378,-0.326671,0.42440023,0.09474
28,0.46321119,-0.334221,0.75820826,0.37876606,0.0735,0.46321119,-0.334221,0.37876606,0.0735
30,0.46477918,-0.332753,0.63706716,0.34869254,0.08932,0.46477918,-0.332753,0.34869254,0.08932
35,0.44939638,-0.34737,0.71320698,0.38551218,0.09872,0.44939638,-0.34737,0.38551218,0.09872
40,0.44205783,-0.354521,0.77085652,0.37267602,0.09226,0.44205783,-0.354521,0.37267602,0.09226
45,0.40172666,-0.396069,0.74095773,0.34106974,0.05162,0.40172666,-0.396069,0.34106974,0.05162
50,0.42606588,-0.370523,0.67312278,0.36028405,0.08636,0.42606588,-0.370523,0.36028405,0.08636
60,0.49946258,-0.301497,0.79849542,0.35179257,0.07488,0.49946258,-0.301497,0.35179257,0.07488
70,0.39145946,-0.407313,0.57283425,0.31262095,0.059,0.39145946,-0.407313,0.31262095,0.059
80,0.36270064,-0.440452,0.57634558,0.31703409,0.06252,0.36270064,-0.440452,0.31703409,0.06252
90,0.31280796,-0.504722,0.52415328,0.3107632,0.04084,0.31280796,-0.504722,0.3107632,0.04084
100,0.26785296,-0.572104,0.48027199,0.26430163,0.0346,0.26785296,-0.572104,0.26430163,0.0346
110,0.25220959,-0.598238,0.45501736,0.23443145,0.02368,0.25220959,-0.598238,0.23443145,0.02368
120,0.22538109,-0.647083,0.39632011,0.21960648,0.01736,0.22538109,-0.647083,0.21960648,0.01736
130,0.1947668,-0.710485,0.31402239,0.20542201,0.01924,0.1947668,-0.710485,0.20542201,0.01924
140,0.17343878,-0.760854,0.3431697,0.19732406,0.0112,0.17343878,-0.760854,0.19732406,0.0112
150,0.12985179,-0.886552,0.25280741,0.18374792,0.00598,0.12985179,-0.886552,0.18374792,0.00598
160,0.08932436,-1.04903,0.25399952,0.17742672,0.002,0.08932436,-1.04903,0.17742672,0.002
170,0.04281755,-1.368378,0.20458093,0.16063235,4e-05,0.04281755,-1.368378,0.16063235,4e-05
180,0.02541247,-1.594953,0.20773974,0.16626536,0.0,0.02541247,-1.594953,0.16626536,0.0
190,0.02121248,-1.673408,0.20942411,0.16929125,0.0,0.02121248,-1.673408,0.16929125,0.0
200,0.02071429,-1.68373,0.21169799,0.17198792,0.0,0.02071429,-1.68373,0.17198792,0.0
