epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4418,0.3873,0.421,0.3947,nan
1,0.4492,0.4091,0.4117,0.4391,nan
2,0.5621,0.5224,0.5365,0.5409,nan
3,0.6396,0.6024,0.6162,0.6098,nan
4,0.7112,0.6667,0.6865,0.6808,nan
5,0.7473,0.7109,0.7343,0.7313,nan
6,0.7864,0.7434,0.7665,0.7604,nan
7,0.8086,0.7717,0.793,0.7884,nan
8,0.8165,0.7821,0.8027,0.8003,nan
9,0.8239,0.7896,0.8125,0.8071,nan
10,0.8232,0.7839,0.8042,0.8011,nan
11,0.8343,0.7919,0.8151,0.8132,nan
12,0.8411,0.8053,0.8216,0.8202,nan
13,0.834,0.7969,0.8113,0.8073,nan
14,0.843,0.8091,0.8224,0.82,nan
15,0.8477,0.8143,0.8297,0.8306,nan
16,0.8432,0.8109,0.8276,0.8277,nan
17,0.8458,0.8147,0.828,0.8283,nan
18,0.8477,0.813,0.8314,0.8285,nan
19,0.8497,0.8139,0.8295,0.8312,nan
20,0.8437,0.806,0.8274,0.8237,nan
22,0.8552,0.8212,0.8374,0.8343,nan
24,0.8541,0.8219,0.8371,0.8349,nan
26,0.8528,0.8183,0.8305,0.8305,nan
28,0.8526,0.8165,0.8296,0.828,nan
30,0.8532,0.82,0.829,0.8289,nan
35,0.8647,0.8335,0.8453,0.8428,nan
40,0.8658,0.8345,0.8472,0.8449,nan
45,0.8659,0.8389,0.8521,0.8508,nan
50,0.8659,0.8371,0.8412,0.8413,nan
60,0.8759,0.8519,0.8599,0.8621,nan
70,0.8774,0.8538,0.8627,0.8627,nan
80,0.8883,0.86,0.8725,0.8731,nan
90,0.8811,0.8621,0.8633,0.8644,nan
100,0.8963,0.8769,0.8811,0.8809,nan
110,0.9021,0.8854,0.8875,0.8903,nan
120,0.9078,0.8872,0.8916,0.8947,nan
130,0.9088,0.8984,0.898,0.9006,nan
140,0.9179,0.9093,0.9141,0.9118,nan
150,0.9275,0.9203,0.9215,0.9215,nan
160,0.9275,0.9249,0.9264,0.9276,nan
170,0.9339,0.9329,0.9343,0.9341,nan
180,0.9461,0.9452,0.9445,0.9467,nan
190,0.9502,0.9509,0.9499,0.949,nan
200,0.9503,0.9503,0.9503,0.949,nan
