epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.064484,0.095601,0
1,2040,0.801574,0.30008,0.41524,0
2,2040,0.380437,0.3847,0.511039,0
3,2040,0.260646,0.443556,0.572043,0
4,2040,0.258708,0.484621,0.599892,0
5,2040,0.256278,0.553133,0.68986,0
6,2040,0.21554,0.569673,0.710881,0
7,2040,0.213699,0.611771,0.723461,0
8,2040,0.211693,0.622103,0.744785,0
9,2040,0.210505,0.634925,0.731634,0
10,2040,0.244461,0.633598,0.739246,0
11,2040,0.227732,0.645299,0.736294,0
12,2040,0.208897,0.649431,0.73918,0
13,2040,0.255648,0.635603,0.737061,0
14,2040,0.250137,0.648686,0.723634,0
15,2040,0.231786,0.62791,0.732146,0
16,2040,0.184781,0.637194,0.729397,0
17,2040,0.274461,0.64156,0.714739,0
18,2040,0.3063,0.626011,0.716256,0
19,2040,0.21277,0.657329,0.74076,0
20,2040,0.178183,0.64191,0.725792,0
22,2040,0.250422,0.650012,0.705156,0
24,2040,0.253939,0.675632,0.742045,0
26,2040,0.199064,0.664001,0.732295,0
28,2040,0.240977,0.680221,0.730103,0
30,2040,0.265502,0.623591,0.67959,0
35,2040,0.30505,0.662471,0.738081,0
40,2040,0.265228,0.65673,0.713378,0
45,2040,0.277987,0.662175,0.714268,0
50,2040,0.325589,0.641365,0.693316,0
60,2040,0.254011,0.664694,0.722712,0
70,2040,0.271545,0.706957,0.746623,0
80,2040,0.280264,0.691726,0.735747,0
90,2040,0.240665,0.689767,0.731383,0
100,2040,0.232569,0.748076,0.77822,0
110,2040,0.180196,0.760894,0.785422,0
120,2040,0.211069,0.770455,0.784306,0
130,2040,0.163419,0.80477,0.812979,0
140,2040,0.162191,0.831593,0.834651,0
150,2040,0.154462,0.865076,0.860497,0
160,2040,0.141718,0.890459,0.888031,0
170,2040,0.117134,0.933773,0.932886,0
180,2040,0.06916,0.985782,0.985825,0
190,2040,0.014132,0.998098,0.998098,1
200,2040,0.001902,1.0,nan,1
