epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.198426,0.801574,0
1,2,2040,0.619563,0.380437,0
2,3,2040,0.739354,0.260646,0
3,4,2040,0.741292,0.258708,0
4,5,2040,0.743722,0.256278,0
5,6,2040,0.78446,0.21554,0
6,7,2040,0.786301,0.213699,0
7,8,2040,0.788307,0.211693,0
8,9,2040,0.789495,0.210505,0
9,10,2040,0.755539,0.244461,0
10,11,2040,0.772268,0.227732,0
11,12,2040,0.791103,0.208897,0
12,13,2040,0.744352,0.255648,0
13,14,2040,0.749863,0.250137,0
14,15,2040,0.768214,0.231786,0
15,16,2040,0.815219,0.184781,0
16,17,2040,0.725539,0.274461,0
17,18,2040,0.6937,0.3063,0
18,19,2040,0.78723,0.21277,0
19,20,2040,0.821817,0.178183,0
20,22,2040,0.749578,0.250422,0
22,24,2040,0.746061,0.253939,0
24,26,2040,0.800936,0.199064,0
26,28,2040,0.759023,0.240977,0
28,30,2040,0.734498,0.265502,0
30,35,2040,0.69495,0.30505,0
35,40,2040,0.734772,0.265228,0
40,45,2040,0.722013,0.277987,0
45,50,2040,0.674411,0.325589,0
50,60,2040,0.745989,0.254011,0
60,70,2040,0.728455,0.271545,0
70,80,2040,0.719736,0.280264,0
80,90,2040,0.759335,0.240665,0
90,100,2040,0.767431,0.232569,0
100,110,2040,0.819804,0.180196,0
110,120,2040,0.788931,0.211069,0
120,130,2040,0.836581,0.163419,0
130,140,2040,0.837809,0.162191,0
140,150,2040,0.845538,0.154462,0
150,160,2040,0.858282,0.141718,0
160,170,2040,0.882866,0.117134,0
170,180,2040,0.93084,0.06916,0
180,190,2040,0.985868,0.014132,1
190,200,2040,0.998098,0.001902,1
