run_name,lr,seed,epoch,threshold_mode,threshold_value,k_main,d_total,k_fraction,singular_sum_total,singular_energy_total,main_singular_mass,main_energy_mass,residual_singular_mass,residual_energy_mass,effective_rank_singular,effective_rank_energy
final_lr020_seed1,0.2,1,0,singular_mass,0.8,245,512,0.478515625,14258.7490234375,4655789.5,0.8007224798202515,0.9927611351013184,0.19927752017974854,0.007238864898681641,224.4280453828372,3.2317585846571055
final_lr020_seed1,0.2,1,1,singular_mass,0.8,33,512,0.064453125,1799.7818603515625,216375.96875,0.8027204871177673,0.9958342909812927,0.19727951288223267,0.004165709018707275,44.34596622490209,4.797816942158024
final_lr020_seed1,0.2,1,2,singular_mass,0.8,85,512,0.166015625,2830.361083984375,252834.71875,0.8009232878684998,0.9950152635574341,0.19907671213150024,0.004984736442565918,94.90713467971378,9.242437651610325
final_lr020_seed1,0.2,1,3,singular_mass,0.8,140,512,0.2734375,3748.85498046875,297322.375,0.8005733489990234,0.9938181638717651,0.19942665100097656,0.006181836128234863,143.11354063403837,11.808401546330337
final_lr020_seed1,0.2,1,4,singular_mass,0.8,153,512,0.298828125,4356.24951171875,356371.65625,0.8007775545120239,0.9932175874710083,0.19922244548797607,0.006782412528991699,156.2998705401614,13.576317464819002
final_lr020_seed1,0.2,1,5,singular_mass,0.8,146,512,0.28515625,4538.57421875,404075.46875,0.8001697063446045,0.993518590927124,0.1998302936553955,0.0064814090728759766,150.62616300206176,13.071784181322661
final_lr020_seed1,0.2,1,6,singular_mass,0.8,137,512,0.267578125,4619.85498046875,508913.4375,0.8009247779846191,0.9947112202644348,0.19907522201538086,0.0052887797355651855,133.40494810114473,10.509828804329484
final_lr020_seed1,0.2,1,7,singular_mass,0.8,133,512,0.259765625,5127.2880859375,625528.125,0.8010340332984924,0.9947144389152527,0.19896596670150757,0.0052855610847473145,129.81840001704575,11.475670406620907
final_lr020_seed1,0.2,1,8,singular_mass,0.8,128,512,0.25,5275.98046875,676149.875,0.8000708818435669,0.9947924017906189,0.1999291181564331,0.0052075982093811035,126.30394128231804,11.478529896442415
final_lr020_seed1,0.2,1,9,singular_mass,0.8,134,512,0.26171875,4939.234375,565787.6875,0.8006202578544617,0.9945487380027771,0.19937974214553833,0.0054512619972229,131.64254233372316,11.858957581750301
final_lr020_seed1,0.2,1,10,singular_mass,0.8,137,512,0.267578125,5119.02392578125,563721.125,0.8004633188247681,0.9940968155860901,0.19953668117523193,0.005903184413909912,137.61126013348505,12.953874465015323
final_lr020_seed1,0.2,1,11,singular_mass,0.8,137,512,0.267578125,4927.384765625,565429.5,0.8008612990379333,0.994548499584198,0.19913870096206665,0.005451500415802002,131.2367826657321,12.040115787081412
final_lr020_seed1,0.2,1,12,singular_mass,0.8,129,512,0.251953125,5130.26171875,648797.625,0.8010483980178833,0.9949185848236084,0.1989516019821167,0.0050814151763916016,124.37999676029446,11.587032216830865
final_lr020_seed1,0.2,1,13,singular_mass,0.8,130,512,0.25390625,5435.830078125,711643.3125,0.8002925515174866,0.9947472810745239,0.19970744848251343,0.005252718925476074,126.87630107511521,11.700487286431233
final_lr020_seed1,0.2,1,14,singular_mass,0.8,127,512,0.248046875,5916.2158203125,862962.75,0.8006672859191895,0.9949247241020203,0.19933271408081055,0.005075275897979736,122.68831111989923,11.998441127475681
final_lr020_seed1,0.2,1,15,singular_mass,0.8,130,512,0.25390625,5462.873046875,776543.9375,0.800044059753418,0.995148777961731,0.19995594024658203,0.004851222038269043,123.45214557254087,10.184884727552783
final_lr020_seed1,0.2,1,16,singular_mass,0.8,130,512,0.25390625,5356.43212890625,720965.8125,0.8003777861595154,0.9949895143508911,0.19962221384048462,0.005010485649108887,124.87293919082944,10.684289741345872
final_lr020_seed1,0.2,1,17,singular_mass,0.8,129,512,0.251953125,5494.1171875,753909.75,0.8005789518356323,0.994973361492157,0.19942104816436768,0.005026638507843018,123.44255069447021,11.397694765141052
final_lr020_seed1,0.2,1,18,singular_mass,0.8,131,512,0.255859375,5118.3623046875,699752.875,0.8007617592811584,0.9953058362007141,0.19923824071884155,0.004694163799285889,121.64922991682825,9.88894394948418
final_lr020_seed1,0.2,1,19,singular_mass,0.8,130,512,0.25390625,5286.6240234375,670407.9375,0.8009876608848572,0.9948040246963501,0.19901233911514282,0.005195975303649902,125.15573593827743,12.347395361537734
final_lr020_seed1,0.2,1,20,singular_mass,0.8,132,512,0.2578125,5243.98291015625,658514.375,0.8007252216339111,0.9947265982627869,0.19927477836608887,0.005273401737213135,127.72332362183357,11.738999773774646
final_lr020_seed1,0.2,1,22,singular_mass,0.8,130,512,0.25390625,5291.7802734375,649743.25,0.800615668296814,0.9945964217185974,0.19938433170318604,0.005403578281402588,126.99160466951106,13.011806947608852
final_lr020_seed1,0.2,1,24,singular_mass,0.8,131,512,0.255859375,5458.16552734375,716999.5625,0.800547182559967,0.9947990775108337,0.19945281744003296,0.00520092248916626,126.69529530380954,11.823890447799947
final_lr020_seed1,0.2,1,26,singular_mass,0.8,125,512,0.244140625,5098.86962890625,636971.8125,0.8003243207931519,0.9948989152908325,0.19967567920684814,0.0051010847091674805,122.97513184953547,12.026628715798031
final_lr020_seed1,0.2,1,28,singular_mass,0.8,131,512,0.255859375,5183.83349609375,608314.25,0.8003581166267395,0.9944632649421692,0.1996418833732605,0.0055367350578308105,129.4512209763519,13.269046075443677
final_lr020_seed1,0.2,1,30,singular_mass,0.8,122,512,0.23828125,5757.22119140625,824531.875,0.8001847863197327,0.9949571490287781,0.19981521368026733,0.005042850971221924,120.49408977206566,12.065599085365866
final_lr020_seed1,0.2,1,35,singular_mass,0.8,122,512,0.23828125,5746.98095703125,885304.6875,0.8010541796684265,0.9953737258911133,0.1989458203315735,0.004626274108886719,117.41208606682164,10.444629601571332
