epoch_a,epoch_b,n_samples,cka_value
0,0,2040,1.0
0,1,2040,0.198426
0,2,2040,0.17248
0,3,2040,0.182557
0,4,2040,0.135494
0,5,2040,0.108769
0,6,2040,0.13278
0,7,2040,0.087402
0,8,2040,0.104458
0,9,2040,0.108189
0,10,2040,0.119035
0,11,2040,0.092407
0,12,2040,0.128284
0,13,2040,0.081178
0,14,2040,0.088306
0,15,2040,0.121088
0,16,2040,0.078768
0,17,2040,0.121148
0,18,2040,0.072873
0,19,2040,0.093965
0,20,2040,0.073962
0,22,2040,0.078739
0,24,2040,0.085371
0,26,2040,0.094569
0,28,2040,0.085855
0,30,2040,0.088198
0,35,2040,0.102703
0,40,2040,0.083178
0,45,2040,0.062705
0,50,2040,0.092602
0,60,2040,0.088355
0,70,2040,0.091139
0,80,2040,0.089931
0,90,2040,0.072736
0,100,2040,0.082588
0,110,2040,0.070675
0,120,2040,0.071498
0,130,2040,0.07779
0,140,2040,0.08281
0,150,2040,0.065662
0,160,2040,0.068059
0,170,2040,0.071149
0,180,2040,0.067463
0,190,2040,0.066631
0,200,2040,0.064484
1,1,2040,1.0
1,2,2040,0.619563
1,3,2040,0.660241
1,4,2040,0.606851
1,5,2040,0.574232
1,6,2040,0.454717
1,7,2040,0.359003
1,8,2040,0.456144
1,9,2040,0.469204
1,10,2040,0.470137
1,11,2040,0.415778
1,12,2040,0.42475
1,13,2040,0.455384
1,14,2040,0.442349
1,15,2040,0.376408
1,16,2040,0.403995
1,17,2040,0.471383
1,18,2040,0.374769
1,19,2040,0.408562
1,20,2040,0.406598
1,22,2040,0.411641
1,24,2040,0.491982
1,26,2040,0.397896
1,28,2040,0.411473
1,30,2040,0.292073
1,35,2040,0.457672
1,40,2040,0.414188
1,45,2040,0.409406
1,50,2040,0.342532
1,60,2040,0.328175
1,70,2040,0.434919
1,80,2040,0.367117
1,90,2040,0.431389
1,100,2040,0.426024
1,110,2040,0.393192
1,120,2040,0.367859
1,130,2040,0.400274
1,140,2040,0.347788
1,150,2040,0.323928
1,160,2040,0.328817
1,170,2040,0.330337
1,180,2040,0.295034
1,190,2040,0.301448
1,200,2040,0.30008
2,2,2040,1.0
2,3,2040,0.739354
2,4,2040,0.685436
2,5,2040,0.63861
2,6,2040,0.586874
2,7,2040,0.493561
2,8,2040,0.587074
2,9,2040,0.556992
2,10,2040,0.573728
2,11,2040,0.510643
2,12,2040,0.565822
2,13,2040,0.540993
2,14,2040,0.537991
2,15,2040,0.524759
2,16,2040,0.513018
2,17,2040,0.533305
2,18,2040,0.475433
2,19,2040,0.485849
2,20,2040,0.524269
2,22,2040,0.470518
2,24,2040,0.57918
2,26,2040,0.538803
2,28,2040,0.509765
2,30,2040,0.454906
2,35,2040,0.529404
2,40,2040,0.514015
2,45,2040,0.478898
2,50,2040,0.497187
2,60,2040,0.488368
2,70,2040,0.497882
2,80,2040,0.538379
2,90,2040,0.525822
2,100,2040,0.506415
2,110,2040,0.489148
2,120,2040,0.464733
2,130,2040,0.483406
2,140,2040,0.435021
2,150,2040,0.425073
2,160,2040,0.408381
2,170,2040,0.40352
2,180,2040,0.379431
2,190,2040,0.386983
2,200,2040,0.3847
3,3,2040,1.0
3,4,2040,0.741292
3,5,2040,0.756458
3,6,2040,0.651241
3,7,2040,0.591693
3,8,2040,0.66032
3,9,2040,0.606293
3,10,2040,0.648633
3,11,2040,0.593313
3,12,2040,0.615916
3,13,2040,0.631118
3,14,2040,0.586493
3,15,2040,0.581578
3,16,2040,0.589414
3,17,2040,0.633877
3,18,2040,0.557276
3,19,2040,0.585359
3,20,2040,0.599901
3,22,2040,0.549625
3,24,2040,0.672012
3,26,2040,0.576629
3,28,2040,0.57114
3,30,2040,0.496115
3,35,2040,0.592848
3,40,2040,0.61739
3,45,2040,0.571136
3,50,2040,0.554611
3,60,2040,0.521237
3,70,2040,0.558733
3,80,2040,0.546665
3,90,2040,0.575636
3,100,2040,0.581662
3,110,2040,0.530541
3,120,2040,0.543386
3,130,2040,0.554454
3,140,2040,0.48802
3,150,2040,0.475482
3,160,2040,0.462696
3,170,2040,0.463265
3,180,2040,0.432715
3,190,2040,0.44404
3,200,2040,0.443556
4,4,2040,1.0
4,5,2040,0.743722
4,6,2040,0.652647
4,7,2040,0.63019
4,8,2040,0.663758
4,9,2040,0.637114
4,10,2040,0.658719
4,11,2040,0.608783
4,12,2040,0.643917
4,13,2040,0.665861
4,14,2040,0.661719
4,15,2040,0.568283
4,16,2040,0.604448
4,17,2040,0.618652
4,18,2040,0.599941
4,19,2040,0.611797
4,20,2040,0.602288
4,22,2040,0.621546
4,24,2040,0.683457
4,26,2040,0.633947
4,28,2040,0.630191
4,30,2040,0.568395
4,35,2040,0.617342
4,40,2040,0.608773
4,45,2040,0.59641
4,50,2040,0.548177
4,60,2040,0.530749
4,70,2040,0.585578
4,80,2040,0.589355
4,90,2040,0.655732
4,100,2040,0.624753
4,110,2040,0.604089
4,120,2040,0.558578
4,130,2040,0.608597
4,140,2040,0.548103
4,150,2040,0.537239
4,160,2040,0.524684
4,170,2040,0.502526
4,180,2040,0.47676
4,190,2040,0.484225
4,200,2040,0.484621
5,5,2040,1.0
5,6,2040,0.78446
5,7,2040,0.700487
5,8,2040,0.797038
5,9,2040,0.781169
5,10,2040,0.743511
5,11,2040,0.767666
5,12,2040,0.736894
5,13,2040,0.741912
5,14,2040,0.75805
5,15,2040,0.745548
5,16,2040,0.752859
5,17,2040,0.747613
5,18,2040,0.658631
5,19,2040,0.719022
5,20,2040,0.718454
5,22,2040,0.636788
5,24,2040,0.754081
5,26,2040,0.686818
5,28,2040,0.708024
5,30,2040,0.63639
5,35,2040,0.728079
