epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.065984,0.09134,0
1,2040,0.863916,0.4626,0.589487,0
2,2040,0.295016,0.468453,0.579271,0
3,2040,0.269829,0.57972,0.708043,0
4,2040,0.160714,0.614735,0.733407,0
5,2040,0.142601,0.640985,0.752214,0
6,2040,0.162137,0.668875,0.770842,0
7,2040,0.123355,0.655662,0.768055,0
8,2040,0.097981,0.705413,0.793148,0
9,2040,0.104415,0.706479,0.788902,0
10,2040,0.11715,0.682031,0.771838,0
11,2040,0.090368,0.681112,0.76834,0
12,2040,0.154269,0.734062,0.796945,0
13,2040,0.170594,0.684805,0.764812,0
14,2040,0.123791,0.723203,0.791806,0
15,2040,0.130251,0.750215,0.806836,0
16,2040,0.122687,0.759293,0.80522,0
17,2040,0.137777,0.732012,0.786563,0
18,2040,0.153769,0.76652,0.807368,0
19,2040,0.156759,0.726398,0.768177,0
20,2040,0.217345,0.752939,0.783438,0
22,2040,0.172942,0.762726,0.802626,0
24,2040,0.131511,0.763234,0.793525,0
26,2040,0.143125,0.780986,0.804868,0
28,2040,0.158802,0.79053,0.815481,0
30,2040,0.188566,0.752452,0.774409,0
35,2040,0.221147,0.789117,0.809808,0
40,2040,0.152292,0.810873,0.825941,0
45,2040,0.147912,0.803222,0.815908,0
50,2040,0.154834,0.801894,0.814391,0
60,2040,0.156244,0.816302,0.824576,0
70,2040,0.141655,0.827381,0.831346,0
80,2040,0.179417,0.832769,0.833824,0
90,2040,0.173027,0.841107,0.842201,0
100,2040,0.143717,0.866356,0.864981,0
110,2040,0.128694,0.875062,0.871234,0
120,2040,0.126929,0.898059,0.892526,0
130,2040,0.126378,0.893217,0.888189,0
140,2040,0.116747,0.928156,0.926957,0
150,2040,0.079797,0.953859,0.954107,0
160,2040,0.049465,0.983811,0.98392,0
170,2040,0.015863,0.996373,0.996278,1
180,2040,0.004006,0.998623,0.998336,1
190,2040,0.001951,0.999448,0.999448,1
200,2040,0.000552,1.0,nan,1
