epoch,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included
0,nan,0.14035025,0.81720283,1954.44868892,0.0,1954448688916641.2,500,50,1
1,0.19343816,0.08057088,0.91550212,73.43281582,0.0,73432815817937.66,500,50,1
2,0.07653427,0.15843051,0.86623476,64.88976959,0.0,64889769593854.97,500,50,1
3,0.1011763,0.16093889,0.88411885,58.86797094,0.0,58867970943959.95,500,50,1
4,0.05381665,0.16176705,0.88722946,70.38070716,0.0,70380707159727.67,500,50,1
5,0.03921974,0.14985618,0.89496504,74.96960652,0.0,74969606521428.45,500,50,1
6,0.05742862,0.11705689,0.91891807,73.54557437,0.0,73545574371072.05,500,50,1
7,0.03790937,0.16453164,0.89017391,77.68341301,0.0,77683413014579.02,500,50,1
8,0.03070162,0.15131563,0.90011282,58.93938014,0.0,58939380135179.2,500,50,1
9,0.03685662,0.13303998,0.90893089,57.36890274,0.0,57368902736738.45,500,50,1
10,0.03817228,0.17237148,0.87509532,61.26836341,0.0,61268363407368.05,500,50,1
11,0.02860352,0.17658896,0.86965574,60.05526455,0.0,60055264546165.28,500,50,1
12,0.08044046,0.10529032,0.92293691,48.13440073,0.0,48134400733987.305,500,50,1
13,0.09944542,0.1958009,0.8506755,42.29790673,0.0,42297906729557.18,500,50,1
14,0.05062453,0.11291191,0.91701921,41.73612281,0.0,41736122805399.12,500,50,1
15,0.0481123,0.0905616,0.93259129,41.55538538,0.0,41555385378401.59,500,50,1
16,0.04037945,0.09021128,0.931183,39.29917529,0.0,39299175293796.56,500,50,1
17,0.04536784,0.09981201,0.92448863,36.84370969,0.0,36843709686251.695,500,50,1
18,0.04579034,0.07633073,0.939355,36.10682539,0.0,36106825389498.88,500,50,1
19,0.05080988,0.12737608,0.8965018,34.10286242,0.0,34102862417571.94,500,50,1
20,0.09338516,0.08061205,0.92851656,34.57426277,0.0,34574262768806.707,500,50,1
22,0.05847894,0.07503088,0.93747857,34.24573361,0.0,34245733610719.086,500,50,1
24,0.04959736,0.07340969,0.93336154,33.71912276,0.0,33719122762487.914,500,50,1
26,0.04525165,0.08531903,0.925265,34.73406097,0.0,34734060970088.28,500,50,1
28,0.05605996,0.08014052,0.93424997,34.68591577,0.0,34685915773607.145,500,50,1
30,0.0793192,0.08561756,0.92099733,36.82005359,0.0,36820053592385.164,500,50,1
35,0.10667479,0.09242731,0.92213859,38.76050966,0.0,38760509656535.914,500,50,1
40,0.04789064,0.06153612,0.94803353,35.97804285,0.0,35978042854766.95,500,50,1
45,0.0497115,0.06951539,0.93813768,36.89820178,0.0,36898201775949.164,500,50,1
50,0.0458648,0.06118272,0.9456836,34.04736384,0.0,34047363839925.59,500,50,1
60,0.04254649,0.06447381,0.94303907,38.32308716,0.0,38323087157446.336,500,50,1
70,0.03427165,0.05487762,0.94927033,38.19618409,0.0,38196184085326.25,500,50,1
80,0.05631455,0.05129794,0.95118581,39.30354216,0.0,39303542162229.2,500,50,1
90,0.05035037,0.04367141,0.95868776,38.20754396,0.0,38207543961670.6,500,50,1
100,0.03341026,0.03104227,0.96912798,38.22730385,0.0,38227303845277.54,500,50,1
110,0.02950355,0.02770445,0.97212263,38.06996175,0.0,38069961747054.62,500,50,1
120,0.02343299,0.02167885,0.97738183,37.44811534,0.0,37448115336772.43,500,50,1
130,0.0213969,0.02173364,0.97705256,37.74514179,0.0,37745141788355.27,500,50,1
140,0.01986575,0.01214345,0.98713369,37.2721516,0.0,37272151604492.125,500,50,1
150,0.01383242,0.00593716,0.99400565,35.93298045,0.0,35932980449345.97,500,50,1
160,0.00601255,0.00239205,0.99760282,33.90359162,0.0,33903591620680.15,500,50,1
170,0.00231838,0.00068446,0.99930847,33.89085651,0.0,33890856507531.227,500,50,1
180,0.00072254,0.00046671,0.99928743,33.44210808,0.0,33442108083325.344,500,50,1
190,0.00095843,0.00047931,0.99952069,33.51761472,0.0,33517614716642.42,500,50,1
200,0.00047931,0.0,nan,33.50001515,0.0,33500015153125.297,500,50,1
