epoch_prev,epoch_curr,drs_value,drs_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.741712,0.258288,0,0,0
15,20,0.768478,0.231522,0,0,0
25,30,0.812267,0.187733,0,0,0
35,40,0.817039,0.182961,0,0,0
45,50,0.765975,0.234025,0,0,0
55,60,0.775486,0.224514,0,0,0
65,70,0.827994,0.172006,0,0,0
75,80,0.852488,0.147512,0,0,0
85,90,0.848036,0.151964,0,0,0
95,100,0.864071,0.135929,0,0,0
105,110,0.828074,0.171926,0,0,0
115,120,0.822044,0.177956,0,0,0
125,130,0.842124,0.157876,0,0,0
135,140,0.848398,0.151602,0,0,0
145,150,0.858103,0.141897,0,0,0
155,160,0.862504,0.137496,0,0,0
165,170,0.84753,0.15247,0,0,0
175,180,0.847306,0.152694,0,0,0
185,190,0.87197,0.12803,0,0,0
195,200,0.858029,0.141971,0,0,0
205,210,0.784718,0.215282,0,0,0
215,220,0.8675,0.1325,0,0,0
225,230,0.877015,0.122985,0,0,0
235,240,0.895497,0.104503,0,0,0
245,250,0.883514,0.116486,0,0,0
255,260,0.889393,0.110607,0,0,0
265,270,0.912188,0.087812,0,0,0
275,280,0.923535,0.076465,0,0,0
285,290,0.905897,0.094103,0,0,0
295,300,0.910412,0.089588,0,0,0
