epoch_prev,epoch_curr,cka_value,cka_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.79671,0.20329,0,0,0
10,15,0.826452,0.173548,0,0,0
15,20,0.789423,0.210577,0,0,0
20,25,0.775374,0.224626,0,0,0
25,30,0.831997,0.168003,0,0,0
30,35,0.830789,0.169211,0,0,0
35,40,0.808229,0.191771,0,0,0
40,45,0.8162,0.1838,0,0,0
45,50,0.73006,0.26994,0,0,0
50,55,0.742622,0.257378,0,0,0
55,60,0.793527,0.206473,0,0,0
60,65,0.814057,0.185943,0,0,0
65,70,0.801089,0.198911,0,0,0
70,75,0.774951,0.225049,0,0,0
75,80,0.832771,0.167229,0,0,0
80,85,0.80119,0.19881,0,0,0
85,90,0.811081,0.188919,0,0,0
90,95,0.816456,0.183544,0,0,0
95,100,0.798612,0.201388,0,0,0
100,105,0.809011,0.190989,0,0,0
105,110,0.832221,0.167779,0,0,0
110,115,0.826081,0.173919,0,0,0
115,120,0.827694,0.172306,0,0,0
120,125,0.816929,0.183071,0,0,0
125,130,0.804277,0.195723,0,0,0
130,135,0.79247,0.20753,0,0,0
135,140,0.788049,0.211951,0,0,0
140,145,0.821955,0.178045,0,0,0
145,150,0.811807,0.188193,0,0,0
150,155,0.837317,0.162683,0,0,0
155,160,0.856816,0.143184,0,0,0
160,165,0.842034,0.157966,0,0,0
165,170,0.843289,0.156711,0,0,0
170,175,0.839115,0.160885,0,0,0
175,180,0.82855,0.17145,0,0,0
180,185,0.848674,0.151326,0,0,0
185,190,0.836898,0.163102,0,0,0
190,195,0.838178,0.161822,0,0,0
195,200,0.859702,0.140298,0,0,0
200,205,0.866068,0.133932,0,0,0
205,210,0.875069,0.124931,0,0,0
210,215,0.868365,0.131635,0,0,0
215,220,0.862441,0.137559,0,0,0
220,225,0.890863,0.109137,0,0,0
225,230,0.891941,0.108059,0,0,0
230,235,0.898152,0.101848,0,0,0
235,240,0.904841,0.095159,0,0,0
240,245,0.927995,0.072005,0,0,0
245,250,0.945893,0.054107,0,0,0
250,255,0.963666,0.036334,0,0,0
255,260,0.975184,0.024816,0,0,0
260,265,0.987652,0.012348,1,1,0
265,270,0.994753,0.005247,1,2,0
270,275,0.996789,0.003211,1,3,0
275,280,0.998059,0.001941,1,4,0
280,285,0.998562,0.001438,1,5,1
285,290,0.999185,0.000815,1,6,0
290,295,0.999488,0.000512,1,7,0
295,300,0.99937,0.00063,1,8,0
