epoch_prev,epoch_curr,cka_value,cka_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.808692,0.191308,0,0,0
10,15,0.818078,0.181922,0,0,0
15,20,0.780506,0.219494,0,0,0
20,25,0.73862,0.26138,0,0,0
25,30,0.813647,0.186353,0,0,0
30,35,0.779655,0.220345,0,0,0
35,40,0.798351,0.201649,0,0,0
40,45,0.800673,0.199327,0,0,0
45,50,0.827732,0.172268,0,0,0
50,55,0.855511,0.144489,0,0,0
55,60,0.824204,0.175796,0,0,0
60,65,0.811076,0.188924,0,0,0
65,70,0.800327,0.199673,0,0,0
70,75,0.787673,0.212327,0,0,0
75,80,0.791344,0.208656,0,0,0
80,85,0.827058,0.172942,0,0,0
85,90,0.83822,0.16178,0,0,0
90,95,0.813606,0.186394,0,0,0
95,100,0.815677,0.184323,0,0,0
100,105,0.81116,0.18884,0,0,0
105,110,0.815906,0.184094,0,0,0
110,115,0.842027,0.157973,0,0,0
115,120,0.841676,0.158324,0,0,0
120,125,0.830762,0.169238,0,0,0
125,130,0.82905,0.17095,0,0,0
130,135,0.832095,0.167905,0,0,0
135,140,0.860123,0.139877,0,0,0
140,145,0.870954,0.129046,0,0,0
145,150,0.856165,0.143835,0,0,0
150,155,0.84574,0.15426,0,0,0
155,160,0.843919,0.156081,0,0,0
160,165,0.844475,0.155525,0,0,0
165,170,0.826069,0.173931,0,0,0
170,175,0.8384,0.1616,0,0,0
175,180,0.856034,0.143966,0,0,0
180,185,0.835688,0.164312,0,0,0
185,190,0.848746,0.151254,0,0,0
190,195,0.851589,0.148411,0,0,0
195,200,0.853344,0.146656,0,0,0
200,205,0.860951,0.139049,0,0,0
205,210,0.847072,0.152928,0,0,0
210,215,0.880903,0.119097,0,0,0
215,220,0.881087,0.118913,0,0,0
220,225,0.881467,0.118533,0,0,0
225,230,0.896125,0.103875,0,0,0
230,235,0.897239,0.102761,0,0,0
235,240,0.915595,0.084405,0,0,0
240,245,0.927794,0.072206,0,0,0
245,250,0.93734,0.06266,0,0,0
250,255,0.955249,0.044751,0,0,0
255,260,0.981056,0.018944,1,1,0
260,265,0.990863,0.009137,1,2,0
265,270,0.996091,0.003909,1,3,0
270,275,0.997717,0.002283,1,4,0
275,280,0.998531,0.001469,1,5,1
280,285,0.99927,0.00073,1,6,0
285,290,0.999363,0.000637,1,7,0
290,295,0.999364,0.000636,1,8,0
295,300,0.999362,0.000638,1,9,0
