epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.060413,0.939587,0
1,2,2040,0.423157,0.576843,0
2,3,2040,0.830678,0.169322,0
3,4,2040,0.765676,0.234324,0
4,5,2040,0.711768,0.288232,0
5,6,2040,0.872029,0.127971,0
6,7,2040,0.891798,0.108202,0
7,8,2040,0.905282,0.094718,0
8,9,2040,0.890636,0.109364,0
9,10,2040,0.882796,0.117204,0
10,11,2040,0.868776,0.131224,0
11,12,2040,0.873814,0.126186,0
12,13,2040,0.866028,0.133972,0
13,14,2040,0.864662,0.135338,0
14,15,2040,0.860133,0.139867,0
15,16,2040,0.877395,0.122605,0
16,17,2040,0.838493,0.161507,0
17,18,2040,0.833006,0.166994,0
18,19,2040,0.851497,0.148503,0
19,20,2040,0.887144,0.112856,0
20,22,2040,0.863317,0.136683,0
22,24,2040,0.834895,0.165105,0
24,26,2040,0.880571,0.119429,0
26,28,2040,0.852833,0.147167,0
28,30,2040,0.834686,0.165314,0
30,35,2040,0.833075,0.166925,0
35,40,2040,0.828792,0.171208,0
40,45,2040,0.84226,0.15774,0
45,50,2040,0.845749,0.154251,0
50,60,2040,0.862843,0.137157,0
60,70,2040,0.863383,0.136617,0
70,80,2040,0.848429,0.151571,0
80,90,2040,0.816671,0.183329,0
90,100,2040,0.831979,0.168021,0
100,110,2040,0.84941,0.15059,0
110,120,2040,0.864373,0.135627,0
120,130,2040,0.872072,0.127928,0
130,140,2040,0.883759,0.116241,0
140,150,2040,0.917111,0.082889,0
150,160,2040,0.946697,0.053303,0
160,170,2040,0.983674,0.016326,1
170,180,2040,0.996393,0.003607,1
180,190,2040,0.998833,0.001167,1
190,200,2040,0.999398,0.000602,1
