epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4346,0.3877,0.4099,0.3806,nan
1,0.5976,0.553,0.5605,0.5655,nan
2,0.7152,0.6741,0.6945,0.6931,nan
3,0.7749,0.7325,0.7607,0.7601,nan
4,0.8132,0.776,0.7994,0.7962,nan
5,0.8302,0.7997,0.8297,0.825,nan
6,0.8491,0.8176,0.8397,0.8391,nan
7,0.8553,0.8295,0.8508,0.8513,nan
8,0.8644,0.8343,0.8594,0.8606,nan
9,0.8704,0.847,0.8642,0.8644,nan
10,0.8769,0.8519,0.8733,0.8711,nan
11,0.8797,0.8567,0.8766,0.8762,nan
12,0.88,0.8573,0.8734,0.8727,nan
13,0.8862,0.8642,0.8806,0.8798,nan
14,0.8924,0.8689,0.8822,0.8817,nan
15,0.8939,0.8749,0.8865,0.8876,nan
16,0.8964,0.8789,0.8926,0.8949,nan
17,0.8962,0.8764,0.8894,0.8901,nan
18,0.8934,0.875,0.8856,0.8853,nan
19,0.903,0.8816,0.8904,0.8914,nan
20,0.8986,0.8784,0.8836,0.8833,nan
22,0.9009,0.8832,0.8892,0.8912,nan
24,0.9044,0.8923,0.8934,0.8945,nan
26,0.9065,0.892,0.8941,0.897,nan
28,0.9032,0.8895,0.89,0.8915,nan
30,0.9062,0.8926,0.8943,0.8932,nan
35,0.9083,0.898,0.8956,0.8975,nan
40,0.9099,0.8974,0.9006,0.9027,nan
45,0.9079,0.8979,0.8958,0.8955,nan
50,0.9154,0.9034,0.9013,0.9039,nan
60,0.9165,0.9084,0.9098,0.9124,nan
70,0.9188,0.9122,0.9105,0.9116,nan
80,0.9161,0.9086,0.9059,0.9073,nan
90,0.9235,0.9161,0.9168,0.917,nan
100,0.9217,0.9173,0.9187,0.9184,nan
110,0.9283,0.9248,0.9238,0.9239,nan
120,0.9296,0.9247,0.9253,0.9242,nan
130,0.9349,0.9335,0.9304,0.9315,nan
140,0.9382,0.936,0.9379,0.9392,nan
150,0.9358,0.9349,0.9365,0.9359,nan
160,0.9476,0.9476,0.9474,0.947,nan
170,0.9514,0.9513,0.9515,0.9511,nan
180,0.9546,0.9537,0.9538,0.9543,nan
190,0.9548,0.9537,0.9543,0.9547,nan
200,0.9545,0.9549,0.9542,0.9545,nan
