epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.058217,0.076958,0
1,2040,0.939587,0.154277,0.213343,0
2,2040,0.576843,0.514163,0.645842,0
3,2040,0.169322,0.546592,0.686424,0
4,2040,0.234324,0.482545,0.591354,0
5,2040,0.288232,0.622774,0.736184,0
6,2040,0.127971,0.658245,0.769252,0
7,2040,0.108202,0.64263,0.757864,0
8,2040,0.094718,0.656912,0.764548,0
9,2040,0.109364,0.699612,0.79287,0
10,2040,0.117204,0.722735,0.801648,0
11,2040,0.131224,0.713953,0.797186,0
12,2040,0.126186,0.705597,0.786338,0
13,2040,0.133972,0.737188,0.806399,0
14,2040,0.135338,0.730338,0.794743,0
15,2040,0.139867,0.747181,0.810531,0
16,2040,0.122605,0.752435,0.811068,0
17,2040,0.161507,0.733127,0.782659,0
18,2040,0.166994,0.72239,0.778424,0
19,2040,0.148503,0.751732,0.801959,0
20,2040,0.112856,0.751916,0.797896,0
22,2040,0.136683,0.776115,0.801751,0
24,2040,0.165105,0.751696,0.787575,0
26,2040,0.119429,0.764984,0.798828,0
28,2040,0.147167,0.751036,0.786182,0
30,2040,0.165314,0.772127,0.799538,0
35,2040,0.166925,0.767094,0.792351,0
40,2040,0.171208,0.790757,0.803904,0
45,2040,0.15774,0.807209,0.813827,0
50,2040,0.154251,0.799689,0.814149,0
60,2040,0.137157,0.828354,0.830936,0
70,2040,0.136617,0.837392,0.833627,0
80,2040,0.151571,0.812366,0.811427,0
90,2040,0.183329,0.837577,0.832572,0
100,2040,0.168021,0.853302,0.849583,0
110,2040,0.15059,0.859506,0.856823,0
120,2040,0.135627,0.889617,0.884511,0
130,2040,0.127928,0.895043,0.891997,0
140,2040,0.116241,0.922504,0.922089,0
150,2040,0.082889,0.94835,0.948311,0
160,2040,0.053303,0.981277,0.98247,0
170,2040,0.016326,0.995476,0.995931,1
180,2040,0.003607,0.998807,0.99882,1
190,2040,0.001167,0.999398,0.999398,1
200,2040,0.000602,1.0,nan,1
