epoch_prev,epoch_curr,n_samples,cka_value,cka_change,below_tau
5,10,2040,0.704315,0.295685,0
10,15,2040,0.769329,0.230671,0
15,20,2040,0.813364,0.186636,0
20,25,2040,0.807504,0.192496,0
25,30,2040,0.805079,0.194921,0
30,35,2040,0.824634,0.175366,0
35,40,2040,0.842072,0.157928,0
40,45,2040,0.835534,0.164466,0
45,50,2040,0.714378,0.285622,0
50,55,2040,0.772837,0.227163,0
55,60,2040,0.818995,0.181005,0
60,65,2040,0.789109,0.210891,0
65,70,2040,0.768919,0.231081,0
70,75,2040,0.783908,0.216092,0
75,80,2040,0.818113,0.181887,0
80,85,2040,0.80299,0.19701,0
85,90,2040,0.815155,0.184845,0
90,95,2040,0.849565,0.150435,0
95,100,2040,0.822118,0.177882,0
100,105,2040,0.84168,0.15832,0
105,110,2040,0.968763,0.031237,0
110,115,2040,0.960668,0.039332,0
115,120,2040,0.943798,0.056202,0
120,125,2040,0.940002,0.059998,0
125,130,2040,0.93151,0.06849,0
130,135,2040,0.92946,0.07054,0
135,140,2040,0.915948,0.084052,0
140,145,2040,0.906388,0.093612,0
145,150,2040,0.905724,0.094276,0
150,155,2040,0.892955,0.107045,0
155,160,2040,0.886639,0.113361,0
160,165,2040,0.903483,0.096517,0
165,170,2040,0.887246,0.112754,0
170,175,2040,0.889458,0.110542,0
175,180,2040,0.890813,0.109187,0
180,185,2040,0.901299,0.098701,0
185,190,2040,0.898077,0.101923,0
190,195,2040,0.890977,0.109023,0
195,200,2040,0.876516,0.123484,0
200,205,2040,0.943374,0.056626,0
205,210,2040,0.996536,0.003464,1
210,215,2040,0.997903,0.002097,1
215,220,2040,0.998175,0.001825,1
220,225,2040,0.99842,0.00158,1
225,230,2040,0.998451,0.001549,1
230,235,2040,0.998553,0.001447,1
235,240,2040,0.998814,0.001186,1
240,245,2040,0.99877,0.00123,1
245,250,2040,0.998942,0.001058,1
250,255,2040,0.998896,0.001104,1
255,260,2040,0.998735,0.001265,1
260,265,2040,0.998483,0.001517,1
265,270,2040,0.999006,0.000994,1
270,275,2040,0.998823,0.001177,1
275,280,2040,0.998046,0.001954,1
280,285,2040,0.998881,0.001119,1
285,290,2040,0.998868,0.001132,1
290,295,2040,0.998865,0.001135,1
295,300,2040,0.998612,0.001388,1
