epoch_prev,epoch_curr,cka_value,cka_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.704315,0.295685,0,0,0
10,15,0.769329,0.230671,0,0,0
15,20,0.813364,0.186636,0,0,0
20,25,0.807504,0.192496,0,0,0
25,30,0.805079,0.194921,0,0,0
30,35,0.824634,0.175366,0,0,0
35,40,0.842072,0.157928,0,0,0
40,45,0.835534,0.164466,0,0,0
45,50,0.714378,0.285622,0,0,0
50,55,0.772837,0.227163,0,0,0
55,60,0.818995,0.181005,0,0,0
60,65,0.789109,0.210891,0,0,0
65,70,0.768919,0.231081,0,0,0
70,75,0.783908,0.216092,0,0,0
75,80,0.818113,0.181887,0,0,0
80,85,0.80299,0.19701,0,0,0
85,90,0.815155,0.184845,0,0,0
90,95,0.849565,0.150435,0,0,0
95,100,0.822118,0.177882,0,0,0
100,105,0.84168,0.15832,0,0,0
105,110,0.968763,0.031237,0,0,0
110,115,0.960668,0.039332,0,0,0
115,120,0.943798,0.056202,0,0,0
120,125,0.940002,0.059998,0,0,0
125,130,0.93151,0.06849,0,0,0
130,135,0.92946,0.07054,0,0,0
135,140,0.915948,0.084052,0,0,0
140,145,0.906388,0.093612,0,0,0
145,150,0.905724,0.094276,0,0,0
150,155,0.892955,0.107045,0,0,0
155,160,0.886639,0.113361,0,0,0
160,165,0.903483,0.096517,0,0,0
165,170,0.887246,0.112754,0,0,0
170,175,0.889458,0.110542,0,0,0
175,180,0.890813,0.109187,0,0,0
180,185,0.901299,0.098701,0,0,0
185,190,0.898077,0.101923,0,0,0
190,195,0.890977,0.109023,0,0,0
195,200,0.876516,0.123484,0,0,0
200,205,0.943374,0.056626,0,0,0
205,210,0.996536,0.003464,1,1,0
210,215,0.997903,0.002097,1,2,0
215,220,0.998175,0.001825,1,3,0
220,225,0.99842,0.00158,1,4,0
225,230,0.998451,0.001549,1,5,1
230,235,0.998553,0.001447,1,6,0
235,240,0.998814,0.001186,1,7,0
240,245,0.99877,0.00123,1,8,0
245,250,0.998942,0.001058,1,9,0
250,255,0.998896,0.001104,1,10,0
255,260,0.998735,0.001265,1,11,0
260,265,0.998483,0.001517,1,12,0
265,270,0.999006,0.000994,1,13,0
270,275,0.998823,0.001177,1,14,0
275,280,0.998046,0.001954,1,15,0
280,285,0.998881,0.001119,1,16,0
285,290,0.998868,0.001132,1,17,0
290,295,0.998865,0.001135,1,18,0
295,300,0.998612,0.001388,1,19,0
