epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4394,0.3806,nan,nan,nan
1,0.2073,0.1995,nan,nan,nan
2,0.4266,0.3905,nan,nan,nan
3,0.5077,0.4653,nan,nan,nan
4,0.6139,0.5751,nan,nan,nan
5,0.7022,0.6566,nan,nan,nan
6,0.7518,0.7116,nan,nan,nan
7,0.7861,0.7436,nan,nan,nan
8,0.8006,0.765,nan,nan,nan
9,0.8107,0.7725,nan,nan,nan
10,0.8168,0.7833,nan,nan,nan
11,0.8315,0.7963,nan,nan,nan
12,0.8401,0.8101,nan,nan,nan
13,0.8301,0.7951,nan,nan,nan
14,0.8416,0.8032,nan,nan,nan
15,0.8374,0.8022,nan,nan,nan
16,0.8449,0.8086,nan,nan,nan
17,0.8391,0.8024,nan,nan,nan
18,0.8381,0.8027,nan,nan,nan
19,0.8393,0.8072,nan,nan,nan
20,0.8548,0.8232,nan,nan,nan
22,0.8473,0.8191,nan,nan,nan
24,0.8594,0.8296,nan,nan,nan
26,0.8519,0.8215,nan,nan,nan
28,0.8576,0.828,nan,nan,nan
30,0.861,0.8259,nan,nan,nan
35,0.8612,0.8328,nan,nan,nan
40,0.8631,0.8332,nan,nan,nan
45,0.8613,0.8351,nan,nan,nan
50,0.8648,0.8319,nan,nan,nan
60,0.8735,0.8463,nan,nan,nan
70,0.8638,0.8434,nan,nan,nan
80,0.868,0.839,nan,nan,nan
90,0.89,0.872,nan,nan,nan
100,0.8917,0.8736,nan,nan,nan
110,0.894,0.8785,nan,nan,nan
120,0.904,0.8912,nan,nan,nan
130,0.9082,0.8931,nan,nan,nan
135,0.9173,0.9043,nan,nan,nan
140,0.9133,0.9012,nan,nan,nan
145,0.9182,0.9069,nan,nan,nan
150,0.9197,0.9114,nan,nan,nan
155,0.9201,0.9168,nan,nan,nan
160,0.9252,0.921,nan,nan,nan
165,0.9329,0.928,nan,nan,nan
170,0.9325,0.9312,nan,nan,nan
175,0.9405,0.9377,nan,nan,nan
180,0.9444,0.9448,nan,nan,nan
185,0.946,0.946,nan,nan,nan
190,0.9474,0.9483,nan,nan,nan
195,0.949,0.9479,nan,nan,nan
200,0.9482,0.9482,nan,nan,nan
