epoch,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included
0,nan,0.06946476,0.84998018,1410.79232981,0.0,1410792329805704.8,500,50,1
1,0.17761588,0.10865992,0.87943691,12.23356192,0.0,12233561919916.123,500,50,1
2,0.06429707,0.08554601,0.90696473,15.89579478,0.0,15895794781957.154,500,50,1
3,0.03579733,0.09232472,0.91644014,20.77152584,0.0,20771525836423.62,500,50,1
4,0.08720287,0.14711608,0.88211436,22.76880366,0.0,22768803660132.496,500,50,1
5,0.09277421,0.09784411,0.91474861,21.68178496,0.0,21681784964356.793,500,50,1
6,0.06805756,0.12336662,0.90694836,21.90603487,0.0,21906034870982.723,500,50,1
7,0.03530423,0.11633011,0.9183941,23.99945697,0.0,23999456965060.17,500,50,1
8,0.06501832,0.1851227,0.86675793,22.46151248,0.0,22461512475612.03,500,50,1
9,0.17993871,0.09795443,0.89772707,21.04057314,0.0,21040573138188.895,500,50,1
10,0.06648195,0.11585747,0.9008119,21.30317361,0.0,21303173606980.133,500,50,1
11,0.11866666,0.11085492,0.91060321,25.40100388,0.0,25401003883606.676,500,50,1
12,0.08937545,0.16495461,0.88583401,21.19943244,0.0,21199432443733.58,500,50,1
13,0.09199465,0.14395388,0.90181252,22.92257095,0.0,22922570952273.33,500,50,1
14,0.07340478,0.08435343,0.92526168,24.26023789,0.0,24260237885581.098,500,50,1
15,0.0645016,0.11072278,0.88813791,20.41006439,0.0,20410064392520.094,500,50,1
16,0.0923021,0.12282996,0.91078395,25.34366518,0.0,25343665178177.785,500,50,1
17,0.06999273,0.12390693,0.903783,24.87692781,0.0,24876927805004.95,500,50,1
18,0.10620231,0.14038384,0.89458576,27.26113827,0.0,27261138274746.56,500,50,1
19,0.07826055,0.11806244,0.91075963,23.29315457,0.0,23293154569884.402,500,50,1
20,0.09170659,0.11422726,0.9016702,23.5131241,0.0,23513124102477.246,500,50,1
22,0.09732036,0.15550954,0.88589627,25.49596332,0.0,25495963315454.074,500,50,1
24,0.10204944,0.11510911,0.89779737,27.12683169,0.0,27126831687948.164,500,50,1
26,0.10073931,0.15897505,0.8774766,26.66004638,0.0,26660046379660.73,500,50,1
28,0.1188213,0.13035063,0.90127918,32.92719896,0.0,32927198960068.742,500,50,1
30,0.05595597,0.12740677,0.90803745,28.08989045,0.0,28089890448454.348,500,50,1
35,0.05354112,0.10547833,0.91384119,28.8655997,0.0,28865599703015.297,500,50,1
40,0.06633034,0.1316327,0.89568655,30.68080842,0.0,30680808416947.613,500,50,1
45,0.06502533,0.16332254,0.85648264,32.15560109,0.0,32155601087097.21,500,50,1
50,0.07948182,0.10561673,0.91299207,29.72156934,0.0,29721569336366.887,500,50,1
60,0.09189774,0.07216871,0.93298254,30.24243404,0.0,30242434037319.81,500,50,1
70,0.07503262,0.08651051,0.92592491,28.76396642,0.0,28763966424542.54,500,50,1
80,0.06546266,0.08953253,0.92494865,31.54465091,0.0,31544650909788.242,500,50,1
90,0.05283196,0.0723525,0.93705551,32.36578084,0.0,32365780839698.785,500,50,1
100,0.04112263,0.05851528,0.95021606,32.96431983,0.0,32964319826470.652,500,50,1
110,0.03757387,0.04954681,0.95579826,35.91009726,0.0,35910097262913.81,500,50,1
120,0.03593362,0.04209099,0.95954391,37.92351095,0.0,37923510947264.836,500,50,1
130,0.03513012,0.03708843,0.96285683,37.12678287,0.0,37126782873432.11,500,50,1
140,0.02976242,0.02277135,0.97503188,39.35314642,0.0,39353146417709.08,500,50,1
150,0.02449368,0.02159844,0.97779793,36.52335684,0.0,36523356840425.51,500,50,1
160,0.02247788,0.00993835,0.98940334,36.44493617,0.0,36444936166425.11,500,50,1
170,0.01077356,0.00308385,0.99731667,35.49599382,0.0,35495993821803.555,500,50,1
180,0.00244832,0.00105951,0.99925694,33.91081666,0.0,33910816664675.73,500,50,1
190,0.00042661,0.00047828,0.99952172,33.76905999,0.0,33769059990805.473,500,50,1
200,0.00047828,0.0,nan,33.65734594,0.0,33657345937542.793,500,50,1
