epoch,nc1_papyan,log10_nc1_papyan,nc2_etf_deviation,nc3_self_duality_frobenius,nc4_ncc_disagreement,nc1,log10_nc1,nc3_weight_mean_alignment,nc4_ncm_disagreement
0,48.91915987,1.689479,1.94738965,1.40724355,0.96476,48.91915987,1.689479,1.40724355,0.96476
1,61.03506016,1.785579,1.77351836,0.75970117,0.33698,61.03506016,1.785579,0.75970117,0.33698
2,7.49984389,0.875052,1.45045569,0.61334615,0.24376,7.49984389,0.875052,0.61334615,0.24376
3,2.87623657,0.458825,1.40678249,0.61928741,0.27512,2.87623657,0.458825,0.61928741,0.27512
4,1.68879743,0.227578,1.16676516,0.6292129,0.21462,1.68879743,0.227578,0.6292129,0.21462
5,1.14053442,0.057108,1.01176603,0.57735989,0.26364,1.14053442,0.057108,0.57735989,0.26364
6,0.89308164,-0.049109,1.01594409,0.53577985,0.13098,0.89308164,-0.049109,0.53577985,0.13098
7,0.7954445,-0.09939,0.946222,0.48400865,0.09922,0.7954445,-0.09939,0.48400865,0.09922
8,0.73259001,-0.135139,1.04066571,0.57247812,0.16228,0.73259001,-0.135139,0.57247812,0.16228
9,0.74808654,-0.126048,0.88236839,0.47951418,0.15928,0.74808654,-0.126048,0.47951418,0.15928
10,0.69583927,-0.157491,0.83898838,0.47838232,0.13742,0.69583927,-0.157491,0.47838232,0.13742
11,0.64734071,-0.188867,0.82424783,0.46438538,0.11922,0.64734071,-0.188867,0.46438538,0.11922
12,0.66170376,-0.179336,0.86635625,0.51325393,0.13896,0.66170376,-0.179336,0.51325393,0.13896
13,0.57689706,-0.238902,0.86209635,0.44982299,0.09666,0.57689706,-0.238902,0.44982299,0.09666
14,0.57802457,-0.238054,0.77853419,0.42353865,0.0675,0.57802457,-0.238054,0.42353865,0.0675
15,0.68650951,-0.163353,0.66803065,0.4322638,0.18116,0.68650951,-0.163353,0.4322638,0.18116
16,0.51648517,-0.286942,0.73594416,0.40473305,0.09008,0.51648517,-0.286942,0.40473305,0.09008
17,0.54636558,-0.262517,0.87388825,0.4316979,0.09884,0.54636558,-0.262517,0.4316979,0.09884
18,0.51384217,-0.28917,0.72357108,0.42188908,0.12958,0.51384217,-0.28917,0.42188908,0.12958
19,0.58198615,-0.235087,0.87300415,0.44453555,0.13824,0.58198615,-0.235087,0.44453555,0.13824
20,0.54723527,-0.261826,0.71567612,0.3930238,0.09632,0.54723527,-0.261826,0.3930238,0.09632
22,0.544747,-0.263805,0.80815717,0.4483747,0.13736,0.544747,-0.263805,0.4483747,0.13736
24,0.4962549,-0.304295,0.72174935,0.40391406,0.1179,0.4962549,-0.304295,0.40391406,0.1179
26,0.46317725,-0.334253,0.70777207,0.40395247,0.09174,0.46317725,-0.334253,0.40395247,0.09174
28,0.51294596,-0.289928,0.71544516,0.40031043,0.13004,0.51294596,-0.289928,0.40031043,0.13004
30,0.44702649,-0.349667,0.64845347,0.37135045,0.0717,0.44702649,-0.349667,0.37135045,0.0717
35,0.49046499,-0.309392,0.69005743,0.37305453,0.1174,0.49046499,-0.309392,0.37305453,0.1174
40,0.45643384,-0.340622,0.67877094,0.36750402,0.08786,0.45643384,-0.340622,0.36750402,0.08786
45,0.41253015,-0.384544,0.72759979,0.39164631,0.06892,0.41253015,-0.384544,0.39164631,0.06892
50,0.38812871,-0.411024,0.62614256,0.33784751,0.08442,0.38812871,-0.411024,0.33784751,0.08442
60,0.41633622,-0.380556,0.58689989,0.29758482,0.06644,0.41633622,-0.380556,0.29758482,0.06644
70,0.3753965,-0.42551,0.64155209,0.30585456,0.05052,0.3753965,-0.42551,0.30585456,0.05052
80,0.34938076,-0.456701,0.58091691,0.28603297,0.03992,0.34938076,-0.456701,0.28603297,0.03992
90,0.32734047,-0.485,0.6130819,0.27780689,0.04914,0.32734047,-0.485,0.27780689,0.04914
100,0.28713109,-0.54192,0.52814651,0.26580528,0.03596,0.28713109,-0.54192,0.26580528,0.03596
110,0.25061645,-0.60099,0.44090328,0.21852434,0.0124,0.25061645,-0.60099,0.21852434,0.0124
120,0.22366065,-0.65041,0.46102321,0.23921954,0.0328,0.22366065,-0.65041,0.23921954,0.0328
130,0.20408267,-0.690194,0.39014021,0.20230784,0.0111,0.20408267,-0.690194,0.20230784,0.0111
140,0.1570903,-0.803851,0.3337067,0.20150059,0.00596,0.1570903,-0.803851,0.20150059,0.00596
150,0.13416923,-0.872347,0.26276921,0.20600434,0.00826,0.13416923,-0.872347,0.20600434,0.00826
160,0.10010084,-0.999562,0.24342247,0.17815474,0.00168,0.10010084,-0.999562,0.17815474,0.00168
170,0.04367922,-1.359725,0.1937602,0.17209175,4e-05,0.04367922,-1.359725,0.17209175,4e-05
180,0.0264882,-1.576948,0.20098397,0.17400348,0.0,0.0264882,-1.576948,0.17400348,0.0
190,0.0219075,-1.659407,0.20098116,0.17649801,0.0,0.0219075,-1.659407,0.17649801,0.0
200,0.02150887,-1.667382,0.19794653,0.18014654,0.0,0.02150887,-1.667382,0.18014654,0.0
