epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4346,0.3877,0.4099,0.3806,nan
1,0.2996,0.2842,0.2626,0.3253,nan
2,0.4869,0.453,0.4527,0.4839,nan
3,0.6024,0.5585,0.5694,0.576,nan
4,0.6941,0.6488,0.6723,0.6707,nan
5,0.7446,0.7018,0.7209,0.7176,nan
6,0.7896,0.7567,0.7684,0.7629,nan
7,0.8097,0.777,0.7949,0.7891,nan
8,0.8183,0.7825,0.8076,0.8058,nan
9,0.8173,0.7778,0.7985,0.7961,nan
10,0.8274,0.7911,0.8072,0.8048,nan
11,0.8264,0.7913,0.81,0.803,nan
12,0.8325,0.7951,0.8128,0.8107,nan
13,0.8404,0.8048,0.8218,0.8208,nan
14,0.8258,0.7955,0.8095,0.8033,nan
15,0.8402,0.8099,0.8246,0.8244,nan
16,0.8478,0.82,0.8287,0.8266,nan
17,0.8473,0.8099,0.826,0.8216,nan
18,0.8463,0.8143,0.83,0.8298,nan
19,0.8518,0.8198,0.8329,0.8319,nan
20,0.8525,0.8227,0.8357,0.8313,nan
22,0.8487,0.8229,0.8342,0.8329,nan
24,0.845,0.8152,0.8224,0.8194,nan
26,0.8582,0.8277,0.8404,0.8406,nan
28,0.8647,0.8363,0.8507,0.8502,nan
30,0.8502,0.8229,0.8284,0.8214,nan
35,0.8642,0.837,0.8465,0.8433,nan
40,0.8702,0.844,0.8567,0.8524,nan
45,0.8603,0.8357,0.8438,0.8439,nan
50,0.8646,0.8365,0.8464,0.8409,nan
60,0.8701,0.842,0.8428,0.8423,nan
70,0.8754,0.8526,0.858,0.861,nan
80,0.8844,0.8627,0.8652,0.8659,nan
90,0.8913,0.8688,0.8742,0.8736,nan
100,0.8924,0.8763,0.88,0.8789,nan
110,0.8943,0.879,0.8811,0.8809,nan
120,0.9067,0.8904,0.8967,0.8979,nan
130,0.9155,0.9041,0.9097,0.9092,nan
140,0.919,0.9121,0.9135,0.9145,nan
150,0.9223,0.9167,0.9179,0.9191,nan
160,0.9268,0.92,0.9223,0.9224,nan
170,0.9398,0.9355,0.9388,0.939,nan
180,0.9467,0.9468,0.946,0.9459,nan
190,0.9513,0.9508,0.9502,0.9499,nan
200,0.9512,0.9511,0.9502,0.9514,nan
