run,lr,seed,epoch,test_acc,test_nll,test_margin,head_acc_iter1,head_acc_iter3,head_acc_iter10
final_lr020_seed2,0.2,2,0,0.3892156862745098,1.79700688199852,-0.5875678006056614,0.28480392156862744,0.30686274509803924,0.32794117647058824
final_lr020_seed2,0.2,2,1,0.27009803921568626,2.441100526708137,-1.0870452507142347,0.2426470588235294,0.26715686274509803,0.26862745098039215
final_lr020_seed2,0.2,2,2,0.43529411764705883,1.8730042804315128,-0.5390709140130941,0.31176470588235294,0.40931372549019607,0.3990196078431373
final_lr020_seed2,0.2,2,3,0.5519607843137255,1.4234041668425328,0.2887374657849149,0.4877450980392157,0.5171568627450981,0.5284313725490196
final_lr020_seed2,0.2,2,4,0.6549019607843137,1.152454903594573,1.516716142461917,0.5955882352941176,0.6504901960784314,0.6426470588235295
final_lr020_seed2,0.2,2,5,0.6936274509803921,1.0296782150451034,2.5424599091371496,0.6661764705882353,0.692156862745098,0.6808823529411765
final_lr020_seed2,0.2,2,6,0.7333333333333333,0.8585178282073629,3.3572111677949543,0.7495098039215686,0.7490196078431373,0.7421568627450981
final_lr020_seed2,0.2,2,7,0.7681372549019608,0.7839577062790715,3.8481220203911155,0.7519607843137255,0.7808823529411765,0.7612745098039215
final_lr020_seed2,0.2,2,8,0.7955882352941176,0.7107835365336953,4.045830831037236,0.7784313725490196,0.7936274509803921,0.7852941176470588
final_lr020_seed2,0.2,2,9,0.7769607843137255,0.7944462078056136,4.173741725684637,0.7720588235294118,0.7892156862745098,0.7715686274509804
final_lr020_seed2,0.2,2,10,0.7867647058823529,0.7080897425848339,4.159321873511206,0.7661764705882353,0.792156862745098,0.7887254901960784
final_lr020_seed2,0.2,2,11,0.8044117647058824,0.6680799767803762,4.460100140994556,0.792156862745098,0.7916666666666666,0.8004901960784314
final_lr020_seed2,0.2,2,12,0.8049019607843138,0.6787080885015097,4.591197903605656,0.7965686274509803,0.8044117647058824,0.8019607843137255
final_lr020_seed2,0.2,2,13,0.8147058823529412,0.6607413808760499,4.982537093367726,0.8073529411764706,0.8142156862745098,0.8142156862745098
final_lr020_seed2,0.2,2,14,0.7916666666666666,0.7077718628587617,4.378938261464929,0.7803921568627451,0.8014705882352942,0.7862745098039216
final_lr020_seed2,0.2,2,15,0.8156862745098039,0.6339342469957646,5.068972466290055,0.8014705882352942,0.8112745098039216,0.8107843137254902
final_lr020_seed2,0.2,2,16,0.8313725490196079,0.5953749982394951,4.796488649800527,0.8230392156862745,0.8357843137254902,0.8215686274509804
