run,lr,seed,epoch,cka_biased_tofinal,cka_debiased_tofinal,svcca_tofinal,cka_biased_tofinal_heldout,svcca_tofinal_heldout,cka_biased_consec,cka_debiased_consec
final_lr020_seed2,0.2,2,0,0.06105262112994959,0.059536978449657114,0.3462944893221498,0.06948349198923683,0.3503138024756396,,
final_lr020_seed2,0.2,2,1,0.26345353053437454,0.26246244233271376,0.31298981240474966,0.28247510559608924,0.33508507239297325,0.1712124542409906,0.1709133735111483
final_lr020_seed2,0.2,2,2,0.3445018007843965,0.34284633862337255,0.2452804849603886,0.3596723690216838,0.2653795561975778,0.7691269860025621,0.769432532024231
final_lr020_seed2,0.2,2,3,0.41454617832701707,0.41287364053815606,0.3122506683032999,0.43255786853361133,0.319802539359552,0.8395196832461211,0.8393713374140815
final_lr020_seed2,0.2,2,4,0.5258899908946741,0.5244271108637192,0.4198413938436646,0.5340828070529087,0.43025657858062777,0.7537792190121749,0.7532161974932089
final_lr020_seed2,0.2,2,5,0.5452948129667912,0.5441173864803619,0.4447413785794126,0.5589120087993633,0.44777153161646066,0.7605995071001582,0.7600275858977331
final_lr020_seed2,0.2,2,6,0.589615137442646,0.588619416423854,0.4734868035866297,0.59979232285935,0.4810897583251054,0.7282105206559466,0.7276602165424471
final_lr020_seed2,0.2,2,7,0.6062016216221702,0.6052081392311813,0.4826738015174164,0.6069798540411909,0.47935717923496657,0.7506099083560183,0.7500749962076964
final_lr020_seed2,0.2,2,8,0.6383650562427562,0.6375318873556667,0.5019786430772516,0.6403966950886105,0.5017279177712245,0.8364746093560481,0.8360825689630677
final_lr020_seed2,0.2,2,9,0.6088680122588971,0.6079748162226838,0.4947631658889967,0.625718316008978,0.4977390091181821,0.7746108705839891,0.7741762772188249
final_lr020_seed2,0.2,2,10,0.613872686403237,0.6132967162985807,0.5066049506065865,0.6285998329482194,0.5093120135368303,0.7693986562401661,0.7691091151158469
