epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.061053,0.096179,0
1,2040,0.828788,0.263454,0.366233,0
2,2040,0.230873,0.344502,0.46026,0
3,2040,0.16048,0.414546,0.538988,0
4,2040,0.246221,0.52589,0.652987,0
5,2040,0.2394,0.545295,0.660738,0
6,2040,0.271789,0.589615,0.707752,0
7,2040,0.24939,0.606202,0.710293,0
8,2040,0.163525,0.638365,0.740874,0
9,2040,0.225389,0.608868,0.714099,0
10,2040,0.230601,0.613873,0.719475,0
11,2040,0.343775,0.586003,0.661322,0
12,2040,0.339484,0.612135,0.676819,0
13,2040,0.271488,0.650951,0.739228,0
14,2040,0.256723,0.606713,0.690639,0
15,2040,0.343466,0.644723,0.718461,0
16,2040,0.226656,0.650817,0.721439,0
17,2040,0.270213,0.627943,0.679411,0
18,2040,0.270494,0.666263,0.737727,0
19,2040,0.217981,0.651082,0.736495,0
20,2040,0.169399,0.668851,0.755466,0
22,2040,0.189429,0.660968,0.74771,0
24,2040,0.223143,0.614282,0.701516,0
26,2040,0.205462,0.672873,0.743477,0
28,2040,0.162859,0.690076,0.751147,0
30,2040,0.284788,0.605674,0.675984,0
35,2040,0.290529,0.693655,0.750524,0
40,2040,0.204468,0.684804,0.742183,0
45,2040,0.245118,0.634555,0.692608,0
50,2040,0.29554,0.667006,0.7149,0
60,2040,0.295874,0.656906,0.711535,0
70,2040,0.288128,0.702827,0.742393,0
80,2040,0.214945,0.700621,0.74219,0
90,2040,0.219847,0.723192,0.755843,0
100,2040,0.222359,0.737579,0.762097,0
110,2040,0.225825,0.724597,0.752904,0
120,2040,0.205667,0.77979,0.797209,0
130,2040,0.158964,0.801848,0.80586,0
140,2040,0.160847,0.843013,0.845612,0
150,2040,0.131059,0.859663,0.854623,0
160,2040,0.146445,0.881605,0.879918,0
170,2040,0.12228,0.941109,0.94093,0
180,2040,0.059463,0.985225,0.98516,0
190,2040,0.014906,0.99871,0.99871,1
200,2040,0.00129,1.0,nan,1
