epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4346,0.3877,0.4099,0.3806,nan
1,0.5716,0.5334,0.5287,0.532,nan
2,0.6759,0.6414,0.6486,0.651,nan
3,0.7371,0.6985,0.7252,0.7239,nan
4,0.7894,0.7475,0.7732,0.7748,nan
5,0.8169,0.7764,0.7996,0.7985,nan
6,0.8306,0.7976,0.8228,0.8198,nan
7,0.8467,0.8075,0.8373,0.8354,nan
8,0.8508,0.8164,0.8377,0.8343,nan
9,0.8543,0.8253,0.8393,0.8389,nan
10,0.8595,0.8317,0.8448,0.8422,nan
11,0.8672,0.8447,0.8553,0.8534,nan
12,0.8622,0.8348,0.8498,0.8509,nan
13,0.8715,0.8465,0.8555,0.8573,nan
14,0.8743,0.8488,0.8553,0.8584,nan
15,0.8831,0.8585,0.874,0.8716,nan
16,0.8807,0.8615,0.8696,0.8705,nan
17,0.8801,0.8544,0.863,0.8649,nan
18,0.8814,0.8548,0.8629,0.8618,nan
19,0.8896,0.8708,0.8768,0.8799,nan
20,0.8864,0.8628,0.8689,0.8716,nan
22,0.8783,0.8616,0.8602,0.8606,nan
24,0.888,0.8647,0.8778,0.8785,nan
26,0.8926,0.8745,0.8738,0.8753,nan
28,0.8926,0.8701,0.8826,0.8831,nan
30,0.8902,0.8711,0.879,0.8783,nan
35,0.8933,0.8751,0.8783,0.8823,nan
40,0.8887,0.8733,0.8775,0.8782,nan
45,0.8975,0.8798,0.8885,0.8898,nan
50,0.8971,0.8791,0.8798,0.8821,nan
60,0.8896,0.8726,0.8705,0.8714,nan
70,0.906,0.8909,0.8913,0.8931,nan
80,0.9055,0.8958,0.8927,0.895,nan
90,0.9183,0.9052,0.9082,0.9087,nan
100,0.9205,0.9084,0.9121,0.9137,nan
110,0.9249,0.9189,0.918,0.92,nan
120,0.9275,0.9213,0.9218,0.9235,nan
130,0.9277,0.9228,0.9237,0.9241,nan
140,0.9314,0.9244,0.9266,0.9268,nan
150,0.9365,0.9334,0.931,0.9313,nan
160,0.9382,0.9378,0.939,0.9389,nan
170,0.9473,0.9484,0.948,0.9485,nan
180,0.9543,0.9541,0.9546,0.9536,nan
190,0.9563,0.9557,0.9575,0.9561,nan
200,0.9562,0.9551,0.957,0.956,nan
