epoch,lr,train_loss,train_acc,network_test_acc,local_cka_change,cka_to_final,mean_future_cka,below_tau,nc1,log10_nc1,nc2_etf_deviation,nc3_weight_mean_alignment,nc4_ncm_disagreement,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included,logistic_gap_to_final,logistic_relative_to_final_network,linear_svm_gap_to_final,linear_svm_relative_to_final_network,rbf_svm_gap_to_final,rbf_svm_relative_to_final_network,rf_gap_to_final,rf_relative_to_final_network,lightgbm_gap_to_final,lightgbm_relative_to_final_network
13,0.0991143625364344,0.4343199487781524,0.8513,0.8125,0.160416,0.701774,0.771945,0,0.58013354,-0.236472,0.81169817,0.45575036,0.10602,0.8715,0.8465,0.8555,0.8573,,0.05383745,0.11874815,0.90762106,22.03526621,0.0,22035266209966.047,500,50,1,0.0847,0.9118016321406153,0.10859999999999992,0.885645532538188,0.10149999999999992,0.8950617283950618,0.09870000000000001,0.8969449675664365,,
14,0.0989611405310883,0.4293935182189941,0.85308,0.7912,0.187933,0.696897,0.763636,0,0.56481792,-0.248092,0.77695614,0.50712398,0.1403,0.8743,0.8488,0.8553,0.8584,,0.05926036,0.14712931,0.89072735,24.10858265,0.0,24108582650795.184,500,50,1,0.08190000000000008,0.9147311152960871,0.10629999999999995,0.8880518937016112,0.10170000000000001,0.8948524795982423,0.09759999999999991,0.8980958359489434,,
15,0.0987958380969373,0.4148604431915283,0.85752,0.8003,0.168498,0.692077,0.755587,0,0.50263954,-0.298743,0.89609908,0.47458768,0.13602,0.8831,0.8585,0.874,0.8716,,0.04947858,0.14973608,0.88092838,26.35992561,0.0,26359925609843.312,500,50,1,0.07310000000000005,0.9239380623561415,0.09659999999999991,0.898200460347353,0.08299999999999996,0.914417242100858,0.08439999999999992,0.9119062565390249,,
16,0.0986184960198838,0.4051062262916565,0.8625,0.8193,0.235043,0.710296,0.764263,0,0.51460405,-0.288527,0.66408592,0.43135294,0.10884,0.8807,0.8615,0.8696,0.8705,,0.11845595,0.11525239,0.90085174,23.5234648,0.0,23523464796003.0,500,50,1,0.07550000000000001,0.9214270767943085,0.0935999999999999,0.9013391922996443,0.08739999999999992,0.9098137685708307,0.08549999999999991,0.9107553881565181,,
17,0.0984291580564315,0.3980133474349975,0.86202,0.8135,0.215163,0.714447,0.756511,0,0.5031643,-0.29829,0.68552374,0.41812333,0.11654,0.8801,0.8544,0.863,0.8649,,0.1114715,0.11681965,0.8895658,28.03160369,0.0,28031603693517.56,500,50,1,0.07610000000000006,0.9207993304038502,0.1006999999999999,0.893910860012555,0.09399999999999997,0.90290855827579,0.09109999999999996,0.9048964218455744,,
18,0.0982278709228899,0.3923245123386383,0.8671,0.7907,0.2382,0.69398,0.758336,0,0.51666837,-0.286788,0.78133044,0.41432985,0.12462,0.8814,0.8548,0.8629,0.8618,,0.1335634,0.10353849,0.90919868,24.17525501,0.0,24175255006745.723,500,50,1,0.07480000000000009,0.9221594475831764,0.10029999999999994,0.8943293576061938,0.09409999999999996,0.9028039338773802,0.09419999999999995,0.9016530654948735,,
19,0.0980146842838471,0.3874723518466949,0.86806,0.8471,0.176611,0.741876,0.782362,0,0.4671741,-0.330521,0.70504021,0.4070054,0.08106,0.8896,0.8708,0.8768,0.8799,,0.08778204,0.10745312,0.90663647,24.03731329,0.0,24037313293851.523,500,50,1,0.0666000000000001,0.9307386482527725,0.08429999999999993,0.9110692613517473,0.08019999999999994,0.9173467252563298,0.07609999999999995,0.9205900816070308,,
20,0.0977896507399165,0.3785703904438018,0.87044,0.7478,0.224842,0.695048,0.75319,0,0.53022485,-0.27554,0.7923316,0.44601532,0.1846,0.8864,0.8628,0.8689,0.8716,,0.14348604,0.15285796,0.87459358,29.35056204,0.0,29350562043200.84,500,50,1,0.06980000000000008,0.9273906675036618,0.09229999999999994,0.9026993094789705,0.08809999999999996,0.9090813977819627,0.08439999999999992,0.9119062565390249,,
22,0.0973042679413772,0.3659670771408081,0.876,0.816,0.241504,0.716141,0.757882,0,0.53261983,-0.273583,0.64278178,0.38840465,0.0856,0.8783,0.8616,0.8602,0.8606,,0.10923795,0.09185459,0.92241903,26.26180598,0.0,26261805980635.32,500,50,1,0.07790000000000008,0.9189160912324754,0.09349999999999992,0.9014438166980541,0.0968,0.899979075120318,0.09539999999999993,0.9003975727139569,,
24,0.0967722015414933,0.3616124161243438,0.87528,0.8324,0.217008,0.732583,0.780538,0,0.47276151,-0.325358,0.72910979,0.40187771,0.09152,0.888,0.8647,0.8778,0.8785,,0.08227945,0.11744421,0.90735776,25.82006442,0.0,25820064416009.586,500,50,1,0.06820000000000004,0.9290646578782172,0.09039999999999992,0.904687173048755,0.07919999999999994,0.9183929692404269,0.07750000000000001,0.9191253400292948,,
26,0.0961939766255643,0.3526769295310974,0.8802,0.8293,0.173456,0.733593,0.774517,0,0.47133378,-0.326671,0.69755529,0.42440023,0.09474,0.8926,0.8745,0.8738,0.8753,,0.0913369,0.1422942,0.8892945,28.26634842,0.0,28266348421368.168,500,50,1,0.0636000000000001,0.9338773802050638,0.0805999999999999,0.9149403640929066,0.08319999999999994,0.9142079933040386,0.0807,0.9157773592801841,,
28,0.0955701638317722,0.35051508436203,0.8792,0.8344,0.190792,0.735144,0.776877,0,0.46321119,-0.334221,0.75820826,0.37876606,0.0735,0.8926,0.8701,0.8826,0.8831,,0.09403801,0.1087604,0.90879969,26.9590052,0.0,26959005195508.074,500,50,1,0.0636000000000001,0.9338773802050638,0.08499999999999996,0.9103368905628793,0.07439999999999991,0.923414940364093,0.07289999999999996,0.9239380623561415,,
30,0.0949013787880307,0.3387900524330139,0.88388,0.8182,0.161873,0.740081,0.773026,0,0.46477918,-0.332753,0.63706716,0.34869254,0.08932,0.8902,0.8711,0.879,0.8783,,0.04717764,0.08936559,0.92159446,28.61408677,0.0,28614086771187.137,500,50,1,0.06600000000000006,0.9313663946432308,0.08399999999999996,0.9113831345469764,0.07799999999999996,0.9196484620213434,0.07769999999999999,0.9189160912324754,,
35,0.0930371013501972,0.3299829429292679,0.88728,0.8443,0.179806,0.742677,0.778418,0,0.44939638,-0.34737,0.71320698,0.38551218,0.09872,0.8933,0.8751,0.8783,0.8823,,0.07858858,0.11631496,0.90289585,28.8034018,0.0,28803401804628.55,500,50,1,0.06290000000000007,0.9346097509939317,0.07999999999999996,0.9155681104833647,0.07869999999999999,0.9189160912324754,0.07369999999999999,0.9231010671688638,,
40,0.0909074858712512,0.3169880660820007,0.89132,0.8278,0.168582,0.729431,0.761294,0,0.44205783,-0.354521,0.77085652,0.37267602,0.09226,0.8887,0.8733,0.8775,0.8782,,0.06026649,0.08696555,0.91913752,30.09061341,0.0,30090613405366.656,500,50,1,0.0675,0.9297970286670852,0.08179999999999998,0.9136848713119899,0.07950000000000002,0.9180790960451977,0.07779999999999998,0.9188114668340657,,
45,0.0885256621387895,0.3075060775566101,0.89524,0.8534,0.199696,0.765251,0.791658,0,0.40172666,-0.396069,0.74095773,0.34106974,0.05162,0.8975,0.8798,0.8885,0.8898,,0.07817011,0.07403851,0.93746461,30.04534513,0.0,30045345130839.32,500,50,1,0.058700000000000085,0.9390039757271396,0.07529999999999992,0.9204854572086211,0.0685,0.9295877798702658,0.06619999999999993,0.930947897049592,,
50,0.0859063148881594,0.301976935968399,0.89742,0.8451,0.165764,0.755958,0.77946,0,0.42606588,-0.370523,0.67312278,0.36028405,0.08636,0.8971,0.8791,0.8798,0.8821,,0.06144301,0.10005813,0.91257254,26.67423805,0.0,26674238053599.93,500,50,1,0.05910000000000004,0.9385854781335008,0.07599999999999996,0.9197530864197531,0.07719999999999994,0.9204854572086211,0.07389999999999997,0.9228918183720444,,
60,0.0800210112662942,0.2811890176010131,0.90384,0.82,0.220828,0.721844,0.743702,0,0.49946258,-0.301497,0.79849542,0.35179257,0.07488,0.8896,0.8726,0.8705,0.8714,,0.08158129,0.09761766,0.90820317,28.12393005,0.0,28123930045767.39,500,50,1,0.0666000000000001,0.9307386482527725,0.0824999999999999,0.912952500523122,0.08649999999999991,0.9107553881565181,0.08460000000000001,0.9116970077422054,,
70,0.0733964907130287,0.2595230597257614,0.91186,0.8546,0.216347,0.774932,0.785047,0,0.39145946,-0.407313,0.57283425,0.31262095,0.059,0.906,0.8909,0.8913,0.8931,,0.0919376,0.07233877,0.93213654,28.77560271,0.0,28775602706939.098,500,50,1,0.05020000000000002,0.9478970495919649,0.06419999999999992,0.9320987654320988,0.06569999999999998,0.9325172630257376,0.06289999999999996,0.9344005021971123,,
80,0.0661958709099075,0.2388038395500183,0.91808,0.8665,0.213131,0.781299,0.792466,0,0.36270064,-0.440452,0.57634558,0.31703409,0.06252,0.9055,0.8958,0.8927,0.895,,0.08051426,0.08839194,0.91828123,33.23726938,0.0,33237269378675.31,500,50,1,0.05070000000000008,0.9473739275999162,0.05929999999999991,0.9372253609541745,0.06429999999999991,0.9339820046034736,0.06099999999999994,0.9363883657668969,,
90,0.0585964550139705,0.2162902727890014,0.9256,0.8794,0.157988,0.810594,0.811941,0,0.31280796,-0.504722,0.52415328,0.3107632,0.04084,0.9183,0.9052,0.9082,0.9087,,0.05562335,0.06480556,0.93811811,31.30324344,0.0,31303243439780.33,500,50,1,0.037900000000000045,0.9607658505963591,0.049899999999999944,0.9470600544046872,0.048799999999999955,0.9501987863569785,0.04730000000000001,0.9507219083490269,,
100,0.050785365865591,0.1888375672101974,0.93476,0.8946,0.174534,0.818587,0.818236,0,0.26785296,-0.572104,0.48027199,0.26430163,0.0346,0.9205,0.9084,0.9121,0.9137,,0.06670785,0.07146204,0.93455454,35.50202904,0.0,35502029041121.2,500,50,1,0.035700000000000065,0.9630675873613727,0.046699999999999964,0.9504080351537979,0.04489999999999994,0.9542791378949571,0.042300000000000004,0.9559531282695124,,
110,0.0429549384031209,0.1599042762470245,0.94452,0.9027,0.150243,0.836899,0.832056,0,0.25220959,-0.598238,0.45501736,0.23443145,0.02368,0.9249,0.9189,0.918,0.92,,0.04977954,0.04868016,0.95253753,35.19598875,0.0,35195988754412.25,500,50,1,0.031299999999999994,0.9676710608914,0.0361999999999999,0.9613935969868174,0.038999999999999924,0.96045197740113,0.03599999999999992,0.9625444653693241,,
120,0.0352979837383848,0.1295997506809234,0.95544,0.9059,0.136973,0.859435,0.850544,0,0.22538109,-0.647083,0.39632011,0.21960648,0.01736,0.9275,0.9213,0.9218,0.9235,,0.03042472,0.03757027,0.96272987,34.6099641,0.0,34609964098190.742,500,50,1,0.02870000000000006,0.9703912952500523,0.03379999999999994,0.9639045825486504,0.03520000000000001,0.9644277045406988,0.03249999999999997,0.966206319313664,,
130,0.0280030415072042,0.1014346055579185,0.96588,0.9124,0.153013,0.868395,0.862792,0,0.1947668,-0.710485,0.31402239,0.20542201,0.01924,0.9277,0.9228,0.9237,0.9241,,0.03032635,0.02708682,0.97277051,34.91291129,0.0,34912911290652.08,500,50,1,0.02850000000000008,0.9706005440468717,0.032299999999999995,0.965473948524796,0.033299999999999996,0.9664155681104833,0.03189999999999993,0.9668340657041222,,
140,0.021249737397836,0.0738185916996002,0.97512,0.9151,0.15659,0.875256,0.867361,0,0.17343878,-0.760854,0.3431697,0.19732406,0.0112,0.9314,0.9244,0.9266,0.9268,,0.02945497,0.02808722,0.9709668,36.61366786,0.0,36613667855855.39,500,50,1,0.024800000000000044,0.974471646788031,0.03069999999999995,0.9671479388993514,0.030399999999999983,0.9694496756643649,0.029200000000000004,0.9696589244611843,,
150,0.0152043601703842,0.0443356658631563,0.98498,0.924,0.161896,0.903384,0.900513,0,0.12985179,-0.886552,0.25280741,0.18374792,0.00598,0.9365,0.9334,0.931,0.9313,,0.03104588,0.01727191,0.98266936,36.73985196,0.0,36739851964386.414,500,50,1,0.01970000000000005,0.9798074911069261,0.02169999999999994,0.9765641347562252,0.025999999999999912,0.9740531491943922,0.024699999999999944,0.9743670223896213,,
160,0.0100157670756454,0.0227847420990467,0.99306,0.9331,0.105254,0.942535,0.941296,0,0.08932436,-1.04903,0.25399952,0.17742672,0.002,0.9382,0.9378,0.939,0.9389,,0.01812041,0.00696887,0.99213696,36.18063839,0.0,36180638386085.9,500,50,1,0.018000000000000016,0.9815861058798913,0.017299999999999982,0.9811676082862524,0.018000000000000016,0.9824231010671688,0.017100000000000004,0.9823184766687592,,
170,0.0058117184955653,0.0062178647403419,0.99866,0.947,0.061545,0.979369,0.979197,0,0.04281755,-1.368378,0.20458093,0.16063235,4e-05,0.9473,0.9484,0.948,0.9485,,0.00882235,0.0029377,0.99728472,35.11807373,0.0,35118073734375.188,500,50,1,0.008900000000000019,0.9911069261351748,0.006699999999999928,0.9922577945176816,0.009000000000000008,0.9918392969240426,0.007499999999999951,0.9923624189160912,,
180,0.0026957320586227,0.0018898737125098,0.9999,0.954,0.021184,0.996457,0.996517,0,0.02541247,-1.594953,0.20773974,0.16626536,0.0,0.9543,0.9541,0.9546,0.9536,,0.00254143,0.00055822,0.99950305,34.03996621,0.0,34039966209361.09,500,50,1,0.0019000000000000128,0.9984306340238545,0.0010000000000000009,0.998221385227035,0.0023999999999999577,0.9987445072190835,0.0023999999999999577,0.9976982632349864,,
190,0.0007445336922613,0.001803889227584,0.99998,0.9564,0.003424,0.999329,0.999329,1,0.02121248,-1.673408,0.20942411,0.16929125,0.0,0.9563,0.9557,0.9575,0.9561,,0.00043568,0.00026586,0.99973414,33.79365661,0.0,33793656612662.742,500,50,1,-9.999999999998899e-05,1.0005231219920485,-0.0006000000000000449,0.9998953756015903,-0.000500000000000056,1.001778614772965,-9.999999999998899e-05,1.000313873195229,,
200,6.168375916970619e-06,0.0015884943992644,1.0,0.9558,0.000671,1.0,,1,0.02071429,-1.68373,0.21169799,0.17198792,0.0,0.9562,0.9551,0.957,0.956,,0.00026586,0.0,,33.8388671,0.0,33838867101008.867,500,50,1,0.0,1.000418497593639,0.0,0.999267629211132,0.0,1.0012554927809165,0.0,1.0002092487968195,,
