epoch,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included
0,nan,0.09085615,0.8485967,1665.81396486,0.0,1665813964857850.5,500,50,1
1,0.19548628,0.07464743,0.87104577,13.52277599,0.0,13522775991602.623,500,50,1
2,0.10441861,0.09836764,0.90526744,17.68145336,0.0,17681453362823.133,500,50,1
3,0.04927895,0.08355054,0.91534003,22.24663646,0.0,22246636463126.332,500,50,1
4,0.05309643,0.11782773,0.89881791,21.72947628,0.0,21729476277830.957,500,50,1
5,0.07608998,0.12839899,0.90384628,24.48459359,0.0,24484593592280.625,500,50,1
6,0.05834809,0.1239811,0.91374076,23.65403954,0.0,23654039541094.07,500,50,1
7,0.05120283,0.11295382,0.91542439,26.90921177,0.0,26909211765345.336,500,50,1
8,0.06152014,0.11247449,0.91033757,23.32786477,0.0,23327864773441.562,500,50,1
9,0.09148346,0.11134498,0.89801706,20.66058053,0.0,20660580530525.45,500,50,1
10,0.10203927,0.10833593,0.91315774,20.20350634,0.0,20203506336334.16,500,50,1
11,0.06937779,0.11489377,0.90819634,21.5399951,0.0,21539995097637.062,500,50,1
12,0.0465778,0.13514577,0.89871075,20.59269562,0.0,20592695617137.996,500,50,1
13,0.05383745,0.11874815,0.90762106,22.03526621,0.0,22035266209966.047,500,50,1
14,0.05926036,0.14712931,0.89072735,24.10858265,0.0,24108582650795.184,500,50,1
15,0.04947858,0.14973608,0.88092838,26.35992561,0.0,26359925609843.312,500,50,1
16,0.11845595,0.11525239,0.90085174,23.5234648,0.0,23523464796002.996,500,50,1
17,0.1114715,0.11681965,0.8895658,28.03160369,0.0,28031603693517.562,500,50,1
18,0.1335634,0.10353849,0.90919868,24.17525501,0.0,24175255006745.723,500,50,1
19,0.08778204,0.10745312,0.90663647,24.03731329,0.0,24037313293851.523,500,50,1
20,0.14348604,0.15285796,0.87459358,29.35056204,0.0,29350562043200.836,500,50,1
22,0.10923795,0.09185459,0.92241903,26.26180598,0.0,26261805980635.316,500,50,1
24,0.08227945,0.11744421,0.90735776,25.82006442,0.0,25820064416009.582,500,50,1
26,0.0913369,0.1422942,0.8892945,28.26634842,0.0,28266348421368.168,500,50,1
28,0.09403801,0.1087604,0.90879969,26.9590052,0.0,26959005195508.074,500,50,1
30,0.04717764,0.08936559,0.92159446,28.61408677,0.0,28614086771187.137,500,50,1
35,0.07858858,0.11631496,0.90289585,28.8034018,0.0,28803401804628.55,500,50,1
40,0.06026649,0.08696555,0.91913752,30.09061341,0.0,30090613405366.656,500,50,1
45,0.07817011,0.07403851,0.93746461,30.04534513,0.0,30045345130839.32,500,50,1
50,0.06144301,0.10005813,0.91257254,26.67423805,0.0,26674238053599.93,500,50,1
60,0.08158129,0.09761766,0.90820317,28.12393005,0.0,28123930045767.39,500,50,1
70,0.0919376,0.07233877,0.93213654,28.77560271,0.0,28775602706939.098,500,50,1
80,0.08051426,0.08839194,0.91828123,33.23726938,0.0,33237269378675.31,500,50,1
90,0.05562335,0.06480556,0.93811811,31.30324344,0.0,31303243439780.332,500,50,1
100,0.06670785,0.07146204,0.93455454,35.50202904,0.0,35502029041121.2,500,50,1
110,0.04977954,0.04868016,0.95253753,35.19598875,0.0,35195988754412.25,500,50,1
120,0.03042472,0.03757027,0.96272987,34.6099641,0.0,34609964098190.746,500,50,1
130,0.03032635,0.02708682,0.97277051,34.91291129,0.0,34912911290652.082,500,50,1
140,0.02945497,0.02808722,0.9709668,36.61366786,0.0,36613667855855.39,500,50,1
150,0.03104588,0.01727191,0.98266936,36.73985196,0.0,36739851964386.414,500,50,1
160,0.01812041,0.00696887,0.99213696,36.18063839,0.0,36180638386085.9,500,50,1
170,0.00882235,0.0029377,0.99728472,35.11807373,0.0,35118073734375.188,500,50,1
180,0.00254143,0.00055822,0.99950305,34.03996621,0.0,34039966209361.09,500,50,1
190,0.00043568,0.00026586,0.99973414,33.79365661,0.0,33793656612662.746,500,50,1
200,0.00026586,0.0,nan,33.8388671,0.0,33838867101008.867,500,50,1
