epoch_prev,epoch_curr,cka_value,cka_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.869751,0.130249,0,0,0
10,15,0.839084,0.160916,0,0,0
15,20,0.81521,0.18479,0,0,0
20,25,0.805383,0.194617,0,0,0
25,30,0.77267,0.22733,0,0,0
30,35,0.781447,0.218553,0,0,0
35,40,0.711814,0.288186,0,0,0
40,45,0.776711,0.223289,0,0,0
45,50,0.804617,0.195383,0,0,0
50,55,0.824308,0.175692,0,0,0
55,60,0.771023,0.228977,0,0,0
60,65,0.789499,0.210501,0,0,0
65,70,0.824959,0.175041,0,0,0
70,75,0.742586,0.257414,0,0,0
75,80,0.719004,0.280996,0,0,0
80,85,0.726064,0.273936,0,0,0
85,90,0.7866,0.2134,0,0,0
90,95,0.807342,0.192658,0,0,0
95,100,0.815709,0.184291,0,0,0
100,105,0.860223,0.139777,0,0,0
105,110,0.96659,0.03341,0,0,0
110,115,0.955356,0.044644,0,0,0
115,120,0.950621,0.049379,0,0,0
120,125,0.94256,0.05744,0,0,0
125,130,0.931324,0.068676,0,0,0
130,135,0.917514,0.082486,0,0,0
135,140,0.909786,0.090214,0,0,0
140,145,0.903991,0.096009,0,0,0
145,150,0.889026,0.110974,0,0,0
150,155,0.89803,0.10197,0,0,0
155,160,0.908408,0.091592,0,0,0
160,165,0.911104,0.088896,0,0,0
165,170,0.882391,0.117609,0,0,0
170,175,0.8853,0.1147,0,0,0
175,180,0.892213,0.107787,0,0,0
180,185,0.885813,0.114187,0,0,0
185,190,0.898407,0.101593,0,0,0
190,195,0.903676,0.096324,0,0,0
195,200,0.894031,0.105969,0,0,0
200,205,0.960313,0.039687,0,0,0
205,210,0.996602,0.003398,1,1,0
210,215,0.997882,0.002118,1,2,0
215,220,0.998446,0.001554,1,3,0
220,225,0.998354,0.001646,1,4,0
225,230,0.998741,0.001259,1,5,1
230,235,0.998561,0.001439,1,6,0
235,240,0.998895,0.001105,1,7,0
240,245,0.999156,0.000844,1,8,0
245,250,0.998923,0.001077,1,9,0
250,255,0.998699,0.001301,1,10,0
255,260,0.998928,0.001072,1,11,0
260,265,0.998594,0.001406,1,12,0
265,270,0.998686,0.001314,1,13,0
270,275,0.999047,0.000953,1,14,0
275,280,0.99886,0.00114,1,15,0
280,285,0.999137,0.000863,1,16,0
285,290,0.998816,0.001184,1,17,0
290,295,0.999134,0.000866,1,18,0
295,300,0.999437,0.000563,1,19,0
