epoch_prev,epoch_curr,n_samples,cka_value,cka_change,below_tau
5,10,2040,0.869751,0.130249,0
10,15,2040,0.839084,0.160916,0
15,20,2040,0.81521,0.18479,0
20,25,2040,0.805383,0.194617,0
25,30,2040,0.77267,0.22733,0
30,35,2040,0.781447,0.218553,0
35,40,2040,0.711814,0.288186,0
40,45,2040,0.776711,0.223289,0
45,50,2040,0.804617,0.195383,0
50,55,2040,0.824308,0.175692,0
55,60,2040,0.771023,0.228977,0
60,65,2040,0.789499,0.210501,0
65,70,2040,0.824959,0.175041,0
70,75,2040,0.742586,0.257414,0
75,80,2040,0.719004,0.280996,0
80,85,2040,0.726064,0.273936,0
85,90,2040,0.7866,0.2134,0
90,95,2040,0.807342,0.192658,0
95,100,2040,0.815709,0.184291,0
100,105,2040,0.860223,0.139777,0
105,110,2040,0.96659,0.03341,0
110,115,2040,0.955356,0.044644,0
115,120,2040,0.950621,0.049379,0
120,125,2040,0.94256,0.05744,0
125,130,2040,0.931324,0.068676,0
130,135,2040,0.917514,0.082486,0
135,140,2040,0.909786,0.090214,0
140,145,2040,0.903991,0.096009,0
145,150,2040,0.889026,0.110974,0
150,155,2040,0.89803,0.10197,0
155,160,2040,0.908408,0.091592,0
160,165,2040,0.911104,0.088896,0
165,170,2040,0.882391,0.117609,0
170,175,2040,0.8853,0.1147,0
175,180,2040,0.892213,0.107787,0
180,185,2040,0.885813,0.114187,0
185,190,2040,0.898407,0.101593,0
190,195,2040,0.903676,0.096324,0
195,200,2040,0.894031,0.105969,0
200,205,2040,0.960313,0.039687,0
205,210,2040,0.996602,0.003398,1
210,215,2040,0.997882,0.002118,1
215,220,2040,0.998446,0.001554,1
220,225,2040,0.998354,0.001646,1
225,230,2040,0.998741,0.001259,1
230,235,2040,0.998561,0.001439,1
235,240,2040,0.998895,0.001105,1
240,245,2040,0.999156,0.000844,1
245,250,2040,0.998923,0.001077,1
250,255,2040,0.998699,0.001301,1
255,260,2040,0.998928,0.001072,1
260,265,2040,0.998594,0.001406,1
265,270,2040,0.998686,0.001314,1
270,275,2040,0.999047,0.000953,1
275,280,2040,0.99886,0.00114,1
280,285,2040,0.999137,0.000863,1
285,290,2040,0.998816,0.001184,1
290,295,2040,0.999134,0.000866,1
295,300,2040,0.999437,0.000563,1
