epoch_prev,epoch_curr,drs_value,drs_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.837903,0.162097,0,0,0
15,20,0.771776,0.228224,0,0,0
25,30,0.790939,0.209061,0,0,0
35,40,0.80854,0.19146,0,0,0
45,50,0.850106,0.149894,0,0,0
55,60,0.808782,0.191218,0,0,0
65,70,0.829075,0.170925,0,0,0
75,80,0.82619,0.17381,0,0,0
85,90,0.82797,0.17203,0,0,0
95,100,0.829367,0.170633,0,0,0
105,110,0.893558,0.106442,0,0,0
115,120,0.898537,0.101463,0,0,0
125,130,0.882118,0.117882,0,0,0
135,140,0.854608,0.145392,0,0,0
145,150,0.84863,0.15137,0,0,0
155,160,0.862184,0.137816,0,0,0
165,170,0.836908,0.163092,0,0,0
175,180,0.845193,0.154807,0,0,0
185,190,0.869082,0.130918,0,0,0
195,200,0.88702,0.11298,0,0,0
205,210,0.88261,0.11739,0,0,0
215,220,0.864884,0.135116,0,0,0
225,230,0.898402,0.101598,0,0,0
235,240,0.866274,0.133726,0,0,0
245,250,0.897486,0.102514,0,0,0
255,260,0.885357,0.114643,0,0,0
265,270,0.904179,0.095821,0,0,0
275,280,0.882286,0.117714,0,0,0
285,290,0.870521,0.129479,0,0,0
295,300,0.892763,0.107237,0,0,0
