lr_a,lr_b,epoch,mean_cka,std_cka,n
0.05,0.1,0,1.0,0.0,5
0.05,0.1,1,0.596419055340611,0.14740931274997413,5
0.05,0.1,2,0.7665693603486897,0.0575564354370851,5
0.05,0.1,3,0.8237310925298944,0.039217800749768515,5
0.05,0.1,4,0.8133280169189332,0.05930156400268221,5
0.05,0.1,5,0.8652732071992231,0.008961430826772863,5
0.05,0.1,6,0.8968731820728728,0.012150686129534745,5
0.05,0.1,7,0.8866762416195577,0.01898140030344684,5
0.05,0.1,8,0.878375806585297,0.01677129714327772,5
0.05,0.1,9,0.8655927806446447,0.030994860585887695,5
0.05,0.1,10,0.8740413933607103,0.02637142823623896,5
0.05,0.1,11,0.8797193091773418,0.021914407794074376,5
0.05,0.1,12,0.8737969741204917,0.021434619667833395,5
0.05,0.1,13,0.8704873062059401,0.019972331152560432,5
0.05,0.1,14,0.8601790603925747,0.03184885562972148,5
0.05,0.1,15,0.8479721427582134,0.01563705501878951,5
0.05,0.1,16,0.8590256509619939,0.0071986608790580355,5
0.05,0.1,17,0.8543419515422228,0.020697659993448202,5
0.05,0.1,18,0.855488920071583,0.02737126212036903,5
0.05,0.1,19,0.8498562966696376,0.027077386762927917,5
0.05,0.1,20,0.8576869741729691,0.033700747279969016,5
0.05,0.1,22,0.8606237021108918,0.009225821178583686,5
0.05,0.1,24,0.859039857272505,0.03599667648726553,5
0.05,0.1,26,0.8393092148847806,0.02687733937232512,5
0.05,0.1,28,0.8478125176027266,0.013101310667287001,5
0.05,0.1,30,0.8547446377746214,0.025626283418859,5
0.05,0.1,35,0.8426202104183831,0.011814025232229264,5
0.05,0.1,40,0.8391923711828925,0.015659078068764758,5
0.05,0.1,45,0.8423956658027467,0.010139154818397295,5
0.05,0.1,50,0.854415363079764,0.020234581796538018,5
0.05,0.1,60,0.8324219096349719,0.016599298101615454,5
0.05,0.1,70,0.8439097757442802,0.014333526221104573,5
0.05,0.1,80,0.8394834510102861,0.018701440739286642,5
0.05,0.1,90,0.839717922338734,0.016948413199937604,5
0.05,0.1,100,0.8435965676808228,0.013313139308494981,5
0.05,0.1,110,0.8479052993041677,0.007791149580794572,5
0.05,0.1,120,0.8541320231185641,0.012283421184466238,5
0.05,0.1,130,0.847180978319096,0.009731250609262778,5
0.05,0.1,140,0.8636777171656126,0.01028011920141739,5
0.05,0.1,150,0.8691921936173443,0.005389326901192998,5
0.05,0.1,160,0.9047644705932816,0.005575618662082208,5
0.05,0.1,170,0.941073059200799,0.0030383949097483073,5
0.05,0.1,180,0.9560685043567536,0.0033899565500366594,5
