seed,lr_a,lr_b,epoch,cka,comparison_type
0,0.05,0.2,35,0.773647668441318,seed_matched_cross_lr_same_epoch
0,0.05,0.2,40,0.761672021231647,seed_matched_cross_lr_same_epoch
0,0.05,0.2,45,0.7983250564414206,seed_matched_cross_lr_same_epoch
0,0.05,0.2,50,0.7931182437765025,seed_matched_cross_lr_same_epoch
0,0.05,0.2,60,0.7447176152919613,seed_matched_cross_lr_same_epoch
0,0.05,0.2,70,0.7776681518316637,seed_matched_cross_lr_same_epoch
0,0.05,0.2,80,0.7592049213530278,seed_matched_cross_lr_same_epoch
0,0.05,0.2,90,0.7944694195522547,seed_matched_cross_lr_same_epoch
0,0.05,0.2,100,0.7564966144981209,seed_matched_cross_lr_same_epoch
0,0.05,0.2,110,0.7925159344084587,seed_matched_cross_lr_same_epoch
0,0.05,0.2,120,0.8031948826973199,seed_matched_cross_lr_same_epoch
0,0.05,0.2,130,0.816052274118763,seed_matched_cross_lr_same_epoch
0,0.05,0.2,140,0.8245886999152696,seed_matched_cross_lr_same_epoch
0,0.05,0.2,150,0.8402207516524812,seed_matched_cross_lr_same_epoch
0,0.05,0.2,160,0.870982389288671,seed_matched_cross_lr_same_epoch
0,0.05,0.2,170,0.8964557223850215,seed_matched_cross_lr_same_epoch
0,0.05,0.2,180,0.9305033734590682,seed_matched_cross_lr_same_epoch
0,0.05,0.2,190,0.9489902796708641,seed_matched_cross_lr_same_epoch
0,0.05,0.2,200,0.9511309508154214,seed_matched_cross_lr_same_epoch
0,0.1,0.2,0,1.0,seed_matched_cross_lr_same_epoch
0,0.1,0.2,1,0.6332983576717645,seed_matched_cross_lr_same_epoch
0,0.1,0.2,2,0.8048902245051803,seed_matched_cross_lr_same_epoch
0,0.1,0.2,3,0.8128725033971078,seed_matched_cross_lr_same_epoch
0,0.1,0.2,4,0.8203334093047266,seed_matched_cross_lr_same_epoch
0,0.1,0.2,5,0.8677549848110518,seed_matched_cross_lr_same_epoch
0,0.1,0.2,6,0.8803453355210579,seed_matched_cross_lr_same_epoch
0,0.1,0.2,7,0.8455110721190762,seed_matched_cross_lr_same_epoch
0,0.1,0.2,8,0.8670654022889251,seed_matched_cross_lr_same_epoch
0,0.1,0.2,9,0.8284142418863035,seed_matched_cross_lr_same_epoch
0,0.1,0.2,10,0.7965653280447891,seed_matched_cross_lr_same_epoch
0,0.1,0.2,11,0.8409644129793242,seed_matched_cross_lr_same_epoch
0,0.1,0.2,12,0.8613396159350412,seed_matched_cross_lr_same_epoch
0,0.1,0.2,13,0.8186543305823697,seed_matched_cross_lr_same_epoch
0,0.1,0.2,14,0.8699947747679011,seed_matched_cross_lr_same_epoch
0,0.1,0.2,15,0.7300393227277817,seed_matched_cross_lr_same_epoch
0,0.1,0.2,16,0.8585564571826388,seed_matched_cross_lr_same_epoch
0,0.1,0.2,17,0.820439911608687,seed_matched_cross_lr_same_epoch
0,0.1,0.2,18,0.8236958405791704,seed_matched_cross_lr_same_epoch
0,0.1,0.2,19,0.8382345139696782,seed_matched_cross_lr_same_epoch
0,0.1,0.2,20,0.7930628712608688,seed_matched_cross_lr_same_epoch
0,0.1,0.2,22,0.8544730702436691,seed_matched_cross_lr_same_epoch
0,0.1,0.2,24,0.8470555970110956,seed_matched_cross_lr_same_epoch
0,0.1,0.2,26,0.8036715555820194,seed_matched_cross_lr_same_epoch
0,0.1,0.2,28,0.7364529017356726,seed_matched_cross_lr_same_epoch
0,0.1,0.2,30,0.8244399259277133,seed_matched_cross_lr_same_epoch
0,0.1,0.2,35,0.8044143603845768,seed_matched_cross_lr_same_epoch
