epoch,probe_name,train_acc,test_acc,n_train,n_test,fit_seconds,status,error_message
0,logistic_regression,0.46618,0.4394,50000,10000,6.073,ok,
0,linear_svm,0.5254,0.3806,10000,10000,14.227,ok,
1,logistic_regression,0.55578,0.5256,50000,10000,6.582,ok,
1,linear_svm,0.6127,0.4855,10000,10000,19.83,ok,
2,logistic_regression,0.68002,0.6477,50000,10000,4.997,ok,
2,linear_svm,0.7358,0.6012,10000,10000,11.732,ok,
3,logistic_regression,0.76016,0.7222,50000,10000,4.405,ok,
3,linear_svm,0.8135,0.6798,10000,10000,10.102,ok,
4,logistic_regression,0.82538,0.7855,50000,10000,4.424,ok,
4,linear_svm,0.8785,0.7487,10000,10000,7.465,ok,
5,logistic_regression,0.85262,0.8163,50000,10000,4.991,ok,
5,linear_svm,0.912,0.7703,10000,10000,6.612,ok,
6,logistic_regression,0.8649,0.8182,50000,10000,4.498,ok,
6,linear_svm,0.9197,0.7801,10000,10000,6.059,ok,
7,logistic_regression,0.88868,0.8456,50000,10000,3.851,ok,
7,linear_svm,0.935,0.8117,10000,10000,5.622,ok,
8,logistic_regression,0.89818,0.8527,50000,10000,3.95,ok,
8,linear_svm,0.9475,0.8223,10000,10000,5.241,ok,
9,logistic_regression,0.8956,0.8503,50000,10000,3.529,ok,
9,linear_svm,0.9426,0.8194,10000,10000,5.422,ok,
10,logistic_regression,0.90638,0.8626,50000,10000,3.817,ok,
10,linear_svm,0.954,0.83,10000,10000,5.311,ok,
11,logistic_regression,0.90586,0.8602,50000,10000,4.004,ok,
11,linear_svm,0.9516,0.8259,10000,10000,5.246,ok,
12,logistic_regression,0.91402,0.8673,50000,10000,3.595,ok,
12,linear_svm,0.962,0.8426,10000,10000,5.025,ok,
13,logistic_regression,0.9126,0.8649,50000,10000,4.211,ok,
13,linear_svm,0.9612,0.8375,10000,10000,4.886,ok,
14,logistic_regression,0.92344,0.8751,50000,10000,3.769,ok,
14,linear_svm,0.9644,0.8488,10000,10000,4.674,ok,
15,logistic_regression,0.92408,0.8753,50000,10000,3.633,ok,
15,linear_svm,0.9654,0.8504,10000,10000,4.548,ok,
