epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4394,0.3806,nan,nan,nan
1,0.5256,0.4855,nan,nan,nan
2,0.6477,0.6012,nan,nan,nan
3,0.7222,0.6798,nan,nan,nan
4,0.7855,0.7487,nan,nan,nan
5,0.8163,0.7703,nan,nan,nan
6,0.8182,0.7801,nan,nan,nan
7,0.8456,0.8117,nan,nan,nan
8,0.8527,0.8223,nan,nan,nan
9,0.8503,0.8194,nan,nan,nan
10,0.8626,0.83,nan,nan,nan
11,0.8602,0.8259,nan,nan,nan
12,0.8673,0.8426,nan,nan,nan
13,0.8649,0.8375,nan,nan,nan
14,0.8751,0.8488,nan,nan,nan
15,0.8753,0.8504,nan,nan,nan
16,0.884,0.8612,nan,nan,nan
17,0.877,0.8527,nan,nan,nan
18,0.8821,0.8545,nan,nan,nan
19,0.8771,0.8516,nan,nan,nan
20,0.88,0.8612,nan,nan,nan
22,0.8824,0.8539,nan,nan,nan
24,0.8902,0.8661,nan,nan,nan
26,0.896,0.8722,nan,nan,nan
28,0.8926,0.8669,nan,nan,nan
30,0.8892,0.8652,nan,nan,nan
35,0.8962,0.8751,nan,nan,nan
40,0.8914,0.8725,nan,nan,nan
45,0.8983,0.8828,nan,nan,nan
50,0.9022,0.8794,nan,nan,nan
60,0.8991,0.8837,nan,nan,nan
70,0.9107,0.8979,nan,nan,nan
80,0.9035,0.8854,nan,nan,nan
90,0.9199,0.9067,nan,nan,nan
100,0.9197,0.9054,nan,nan,nan
110,0.9177,0.905,nan,nan,nan
120,0.9207,0.9093,nan,nan,nan
130,0.9307,0.9214,nan,nan,nan
135,0.9281,0.9204,nan,nan,nan
140,0.9314,0.9233,nan,nan,nan
145,0.9318,0.9293,nan,nan,nan
150,0.9314,0.9285,nan,nan,nan
155,0.9408,0.9391,nan,nan,nan
160,0.9441,0.9438,nan,nan,nan
165,0.9452,0.9434,nan,nan,nan
170,0.9503,0.9499,nan,nan,nan
175,0.9533,0.952,nan,nan,nan
180,0.9539,0.9533,nan,nan,nan
185,0.9557,0.9544,nan,nan,nan
190,0.9565,0.9562,nan,nan,nan
195,0.9553,0.9549,nan,nan,nan
200,0.9561,0.9553,nan,nan,nan
