run,lr,seed,epoch,component,fisher,sing_val
final_lr010_seed6,0.1,6,0,0,0.06346025738190712,2098.967059163888
final_lr010_seed6,0.1,6,0,1,0.1089501998089646,445.0165316656651
final_lr010_seed6,0.1,6,0,2,0.01891891941727045,295.0595309158895
final_lr010_seed6,0.1,6,0,3,0.02751360398800808,205.07574403292037
final_lr010_seed6,0.1,6,0,4,0.006417289135890246,192.64870790984776
final_lr010_seed6,0.1,6,0,5,0.1182379440468043,178.69909289670684
final_lr010_seed6,0.1,6,0,6,0.09176324672350884,152.86947851866017
final_lr010_seed6,0.1,6,0,7,0.13313271474912147,134.8856776144039
final_lr010_seed6,0.1,6,0,8,0.030895934919474347,131.68067632177045
final_lr010_seed6,0.1,6,0,9,0.08959086867430915,124.59345720976226
final_lr010_seed6,0.1,6,0,10,0.00644599582974649,118.23033641587307
final_lr010_seed6,0.1,6,0,11,0.009944340258617727,116.76574139111511
final_lr010_seed6,0.1,6,0,12,0.010638038249248572,107.81286757564897
final_lr010_seed6,0.1,6,0,13,0.008912442254151925,102.24746842882128
final_lr010_seed6,0.1,6,0,14,0.004823246044628508,100.79477000354447
final_lr010_seed6,0.1,6,0,15,0.025587330918807043,96.51817265493487
final_lr010_seed6,0.1,6,0,16,0.034961437622177655,92.75993224555909
final_lr010_seed6,0.1,6,0,17,0.018675198723839485,89.81036650805852
final_lr010_seed6,0.1,6,0,18,0.016858051940126035,86.6858155152828
final_lr010_seed6,0.1,6,0,19,0.00650481335819976,83.33982111208867
final_lr010_seed6,0.1,6,0,20,0.010857298356540758,80.81985075941553
final_lr010_seed6,0.1,6,0,21,0.011345312818723944,78.93080165777732
final_lr010_seed6,0.1,6,0,22,0.003991480679428506,74.79295099401965
final_lr010_seed6,0.1,6,0,23,0.004279814100623538,73.41718575912114
final_lr010_seed6,0.1,6,0,24,0.0064688530071322055,72.68597232674016
final_lr010_seed6,0.1,6,0,25,0.008957385091777535,68.63508634729384
final_lr010_seed6,0.1,6,0,26,0.001990803046069357,67.71151111510032
final_lr010_seed6,0.1,6,0,27,0.009149943370615234,66.2948263113746
final_lr010_seed6,0.1,6,0,28,0.006593093823871086,65.46631335118586
final_lr010_seed6,0.1,6,0,29,0.01298850206622476,65.13671760270853
final_lr010_seed6,0.1,6,0,30,0.009757121756017319,63.26770926508957
final_lr010_seed6,0.1,6,0,31,0.0014769928319477014,61.950699368281775
final_lr010_seed6,0.1,6,0,32,0.004495769669449569,61.41560512122664
final_lr010_seed6,0.1,6,0,33,0.010315949970918508,60.83289656997798
final_lr010_seed6,0.1,6,0,34,0.0029716550240054705,58.968998549298405
final_lr010_seed6,0.1,6,0,35,0.0022418729055104906,57.7987075838074
final_lr010_seed6,0.1,6,0,36,0.005852018172804594,56.90727193244584
final_lr010_seed6,0.1,6,0,37,0.004705358787784744,56.047721429789554
final_lr010_seed6,0.1,6,0,38,0.01261848289695251,55.90137256592518
final_lr010_seed6,0.1,6,0,39,0.0049678841897787766,54.88706357124839
final_lr010_seed6,0.1,6,0,40,0.001852374684833119,54.04411556478028
final_lr010_seed6,0.1,6,0,41,0.009466800871668847,53.76967615072081
final_lr010_seed6,0.1,6,0,42,0.0015529782872468615,53.16042853369164
final_lr010_seed6,0.1,6,0,43,0.00831648595420062,52.49198897237786
final_lr010_seed6,0.1,6,0,44,0.004766378302234316,52.269173703016435
final_lr010_seed6,0.1,6,0,45,0.002857452111188733,51.75159388073844
final_lr010_seed6,0.1,6,0,46,0.006105461294118023,51.299812355886736
final_lr010_seed6,0.1,6,0,47,0.014684127104150171,50.901025371188474
final_lr010_seed6,0.1,6,0,48,0.010387796292868831,50.423230062188566
final_lr010_seed6,0.1,6,0,49,0.0049020195553658285,50.27858229710702
final_lr010_seed6,0.1,6,0,50,0.010154354032886493,49.28694757966304
final_lr010_seed6,0.1,6,0,51,0.004736264090136694,48.882797081545085
final_lr010_seed6,0.1,6,0,52,0.00405157660788193,48.5183327859011
final_lr010_seed6,0.1,6,0,53,0.004039516611315093,47.90991018256485
final_lr010_seed6,0.1,6,0,54,0.006008754573282574,47.285291296723834
final_lr010_seed6,0.1,6,0,55,0.00481277817010982,46.91150232084922
final_lr010_seed6,0.1,6,0,56,0.005771778373170796,46.47859502510617
final_lr010_seed6,0.1,6,0,57,0.0027499959383607843,45.917605886650186
final_lr010_seed6,0.1,6,0,58,0.0034202703866806753,45.80662868890166
