epoch,lr,train_loss,train_acc,network_test_acc,local_cka_change,cka_to_final,mean_future_cka,below_tau,nc1,log10_nc1,nc2_etf_deviation,nc3_weight_mean_alignment,nc4_ncm_disagreement,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included,logistic_gap_to_final,logistic_relative_to_final_network,linear_svm_gap_to_final,linear_svm_relative_to_final_network,rbf_svm_gap_to_final,rbf_svm_relative_to_final_network,rf_gap_to_final,rf_relative_to_final_network,lightgbm_gap_to_final,lightgbm_relative_to_final_network
0,0.05,,,0.1,,0.063701,0.085881,0,38.57398884,1.586295,1.97024619,1.41764685,0.94914,0.4409,0.3901,0.4182,0.3853,,,0.08005129,0.86557839,1647.19186958,0.0,1647191869580539.5,500,50,1,0.5126999999999999,0.46249868876534145,0.5629,0.40921011224168674,0.5357999999999999,0.4386866673659918,0.5675,0.40417497115283746,,
1,0.05,1.556416982269287,0.43356,0.5764,0.859073,0.466884,0.590312,0,6.43545152,0.808579,1.49128641,0.60114248,0.23666,0.6661,0.62,0.639,0.6425,,0.13538229,0.0859422,0.91993219,67.51202255,0.0,67512022546204.86,500,50,1,0.2875,0.6987307248505192,0.33299999999999996,0.6503723906430294,0.31499999999999995,0.6703031574530578,0.3103,0.6739746144970103,,
2,0.0499969158120415,1.0279148300933838,0.63486,0.6312,0.265573,0.520308,0.633938,0,2.25784583,0.353694,1.19109198,0.58770171,0.26854,0.7442,0.7111,0.7291,0.7274,,0.04439892,0.12280964,0.89058269,60.71113354,0.0,60711133539928.83,500,50,1,0.20940000000000003,0.780656666317004,0.2419,0.745935172558481,0.2249,0.7648169516416657,0.22539999999999993,0.7630336725060317,,
3,0.0499876640091432,0.7872473260498047,0.72306,0.6865,0.206512,0.565431,0.679706,0,1.48724485,0.172382,1.03301863,0.59666423,0.21668,0.7927,0.7475,0.7796,0.7756,,0.05615235,0.12891889,0.90861744,58.31082981,0.0,58310829811786.66,500,50,1,0.16090000000000004,0.8315325710689184,0.2054999999999999,0.7841183258155879,0.1744,0.8177908318472673,0.17720000000000002,0.813594880939893,,
4,0.0499722468740492,0.6624432776260376,0.77104,0.7808,0.162011,0.642637,0.751751,0,0.93489113,-0.029239,0.88796808,0.54056804,0.0996,0.8253,0.7894,0.817,0.8158,,0.02647244,0.12111869,0.91556538,56.16740813,0.0,56167408131091.59,500,50,1,0.12829999999999997,0.8657295709640197,0.16359999999999997,0.8280709115703346,0.137,0.8570229728312178,0.137,0.8557641875590055,,
5,0.0499506682107067,0.5729667160224915,0.80154,0.7188,0.142884,0.627596,0.729779,0,0.92852431,-0.032207,0.84686744,0.57609486,0.2163,0.8322,0.7974,0.8234,0.8217,,0.04349381,0.15564009,0.89788839,65.20679125,0.0,65206791247704.74,500,50,1,0.12139999999999995,0.8729675862792405,0.15559999999999996,0.8364628133850833,0.13059999999999994,0.8637364942830169,0.1311,0.8619532151473828,,
6,0.0499229333433282,0.5157429047775268,0.82326,0.8,0.146606,0.667228,0.772197,0,0.71598816,-0.145094,0.98884621,0.55626091,0.13548,0.8554,0.823,0.8498,0.8495,,0.03761956,0.15097749,0.90629768,60.45912319,0.0,60459123185082.06,500,50,1,0.09819999999999995,0.897304101542012,0.13,0.8633168991922794,0.10419999999999996,0.8914297702716878,0.10329999999999995,0.8911150739536348,,
7,0.049889049115077,0.4668591483974457,0.839,0.8186,0.098254,0.685632,0.776002,0,0.63192578,-0.199334,0.85995448,0.56718515,0.1256,0.8655,0.8303,0.8565,0.8551,,0.02426377,0.16511448,0.8940102,80.85165524,0.0,80851655237402.64,500,50,1,0.08809999999999996,0.9078988775831323,0.12269999999999992,0.8709745095982377,0.09749999999999992,0.8984579880415399,0.09770000000000001,0.8969894052239589,,
8,0.0498490238863795,0.4345604160881042,0.85154,0.827,0.116186,0.663495,0.762963,0,0.63732993,-0.195636,0.90264505,0.57493651,0.11688,0.8635,0.8417,0.8619,0.8622,,0.04101177,0.17930855,0.88528348,70.75883471,0.0,70758834711302.1,500,50,1,0.09009999999999996,0.9058009021294451,0.11129999999999995,0.8829329696842546,0.09209999999999996,0.9041225217664953,0.09060000000000001,0.9044372180845484,,
9,0.0498028675328619,0.4055568738365173,0.85886,0.8461,0.106041,0.695998,0.778756,0,0.55380643,-0.256642,0.82692461,0.53723365,0.07576,0.8765,0.8478,0.8677,0.8693,,0.02476072,0.16936707,0.88948325,65.83389307,0.0,65833893065941.33,500,50,1,0.07710000000000006,0.9194377425784117,0.10519999999999996,0.8893317948180006,0.08629999999999993,0.9102066505821882,0.08350000000000002,0.9118850309451378,,
10,0.0497505914429139,0.3790441578292847,0.8689,0.8343,0.121564,0.714491,0.782484,0,0.55889615,-0.252669,0.66184683,0.4980281,0.08324,0.8824,0.859,0.8731,0.8734,,0.03979638,0.12118401,0.91680302,52.45368808,0.0,52453688084121.484,500,50,1,0.07120000000000004,0.925626770166789,0.09399999999999997,0.9010804573586488,0.08089999999999997,0.9158711843071435,0.07940000000000003,0.9161858806251966,,
11,0.0496922085148784,0.3585094897937774,0.87868,0.8165,0.158998,0.669971,0.744469,0,0.55308724,-0.257206,0.83000031,0.53273533,0.12124,0.8815,0.8544,0.871,0.8717,,0.04946937,0.18983601,0.86019298,53.09448535,0.0,53094485345522.52,500,50,1,0.07210000000000005,0.9246826812126298,0.09859999999999991,0.8962551138151684,0.08299999999999996,0.913668310080772,0.08109999999999995,0.9144026014895625,,
12,0.0496277331538693,0.3408328286361694,0.88216,0.8551,0.183067,0.729812,0.798147,0,0.50253956,-0.29883,0.6763959,0.44063987,0.05214,0.8896,0.8633,0.8783,0.8799,,0.09003449,0.10529237,0.93058108,42.20388842,0.0,42203888422055.31,500,50,1,0.06400000000000006,0.9331794818000628,0.0897,0.9055911045840763,0.07569999999999999,0.9213259204867302,0.07289999999999996,0.92300430084968,,
13,0.0495571812682172,0.3300524703407287,0.88648,0.8158,0.14659,0.72942,0.795598,0,0.48883317,-0.310839,0.75553069,0.48527619,0.1339,0.8819,0.8675,0.8777,0.879,,0.06091715,0.12186115,0.91387482,48.11304353,0.0,48113043534741.53,500,50,1,0.07169999999999999,0.9251022763033673,0.08549999999999991,0.9099968530368194,0.07629999999999992,0.9206965278506242,0.07379999999999998,0.9220602118955208,,
14,0.0494805702655441,0.3249077283430099,0.88732,0.8317,0.155514,0.718576,0.785748,0,0.47897727,-0.319685,0.68762092,0.45427197,0.1058,0.8938,0.8715,0.8854,0.8865,,0.0804708,0.09599449,0.9280436,43.55491275,0.0,43554912753528.56,500,50,1,0.059799999999999964,0.937585230252806,0.0814999999999999,0.9141928039441939,0.0686,0.9287737333473197,0.06630000000000003,0.9299276198468477,,
15,0.0493979190484686,0.3085186202049255,0.89572,0.8065,0.129624,0.705538,0.765311,0,0.46626402,-0.331368,0.73268699,0.472657,0.12362,0.8884,0.8701,0.8792,0.8801,,0.05358223,0.1402803,0.88955603,40.64691485,0.0,40646914853978.93,500,50,1,0.06520000000000004,0.9319206965278506,0.08289999999999997,0.9127242211266128,0.07479999999999998,0.9222700094408894,0.07269999999999999,0.9232140983950488,,
16,0.0493092480099419,0.297723827047348,0.89748,0.8272,0.182153,0.748479,0.797658,0,0.46514728,-0.33241,0.6586253,0.41948381,0.10926,0.8952,0.8724,0.8835,0.8849,,0.08610058,0.07963475,0.93867756,32.81182295,0.0,32811822950781.08,500,50,1,0.05840000000000001,0.939053813070387,0.0806,0.915136892898353,0.07050000000000001,0.9267806566663169,0.06789999999999996,0.928249239483898,,
17,0.0492145790282157,0.2950463225364685,0.89838,0.8586,0.150581,0.749835,0.801812,0,0.4314306,-0.365089,0.67879436,0.41618958,0.0879,0.8973,0.8752,0.89,0.8913,,0.05438532,0.10527923,0.92754519,35.97446072,0.0,35974460724813.625,500,50,1,0.05630000000000002,0.9412566872967586,0.07779999999999998,0.9180740585335151,0.06399999999999995,0.9335990768908004,0.0615,0.934962760935697,,
18,0.0491139354614449,0.2848185550308227,0.90238,0.8512,0.176695,0.735252,0.776907,0,0.49247929,-0.307612,0.62984277,0.37828703,0.0566,0.8891,0.8713,0.875,0.8756,,0.07119394,0.08396035,0.93097812,34.65417558,0.0,34654175580834.023,500,50,1,0.0645,0.9326549879366411,0.0817,0.913983006398825,0.07899999999999996,0.9178642609881464,0.07719999999999994,0.9184936536242526,,
19,0.0490073421419235,0.2792396199893951,0.9034,0.8514,0.180114,0.758369,0.801625,0,0.41927687,-0.377499,0.66057814,0.41401489,0.08074,0.8983,0.88,0.887,0.8898,,0.07518562,0.0956931,0.92663234,33.51152699,0.0,33511526993550.61,500,50,1,0.055300000000000016,0.9423056750236022,0.07299999999999995,0.9231091996223644,0.06699999999999995,0.9304521137102696,0.06299999999999994,0.9333892793454317,,
20,0.0488948253699582,0.2759840068674087,0.90414,0.863,0.134437,0.750791,0.79217,0,0.40434748,-0.393245,0.65746758,0.41565147,0.07286,0.902,0.8833,0.8916,0.8947,,0.05153172,0.10270453,0.92310969,36.68232376,0.0,36682323757364.84,500,50,1,0.05159999999999998,0.9461869296129235,0.06969999999999998,0.9265708591209483,0.06240000000000001,0.93527745725375,0.05809999999999993,0.9385293192069653,,
22,0.0486521339706886,0.2666474616622925,0.90864,0.8702,0.169034,0.753722,0.788496,0,0.41108669,-0.386067,0.59896577,0.38720496,0.06644,0.8974,0.8811,0.8898,0.8895,,0.05089045,0.10696344,0.91952783,33.95553946,0.0,33955539463407.71,500,50,1,0.05620000000000003,0.941361586069443,0.07189999999999996,0.9242630861218923,0.06419999999999992,0.9333892793454317,0.06330000000000002,0.9330745830273784,,
24,0.0483861007707466,0.2572472838687897,0.91208,0.8801,0.144629,0.788878,0.818922,0,0.37144725,-0.430103,0.59265352,0.34335107,0.0468,0.9024,0.886,0.8963,0.8966,,0.04406049,0.06955032,0.94396054,33.63974717,0.0,33639747170733.293,500,50,1,0.05120000000000002,0.9466065247036609,0.06699999999999995,0.929403125983426,0.057699999999999974,0.940207699569915,0.05620000000000003,0.940522395887968,,
26,0.0480969883127821,0.2481059284973144,0.91418,0.8612,0.127808,0.780062,0.807311,0,0.37580586,-0.425036,0.59453056,0.36085901,0.05176,0.9049,0.887,0.8951,0.8951,,0.0438721,0.07507276,0.94131805,36.04432869,0.0,36044328691706.86,500,50,1,0.048699999999999966,0.94922899402077,0.06599999999999995,0.9304521137102696,0.05889999999999995,0.9389489142977027,0.057699999999999974,0.9389489142977027,,
