epoch,lr,train_loss,train_acc,network_test_acc,local_cka_change,cka_to_final,mean_future_cka,below_tau,nc1,log10_nc1,nc2_etf_deviation,nc3_weight_mean_alignment,nc4_ncm_disagreement,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included,logistic_gap_to_final,logistic_relative_to_final_network,linear_svm_gap_to_final,linear_svm_relative_to_final_network,rbf_svm_gap_to_final,rbf_svm_relative_to_final_network,rf_gap_to_final,rf_relative_to_final_network,lightgbm_gap_to_final,lightgbm_relative_to_final_network
11,0.0496922085148784,0.353624958076477,0.87812,0.7996,0.17248,0.680932,0.757617,0,0.54240383,-0.265677,0.75227432,0.53962883,0.12474,0.876,0.8567,0.8716,0.8721,,0.07366493,0.1545554,0.8886373,52.40215884,0.0,52402158841269.45,500,50,1,0.07540000000000002,0.9207483708219466,0.09450000000000003,0.9004624763506411,0.0797,0.916123607315535,0.07910000000000006,0.9166491486230818,,
12,0.0496277331538693,0.3359798312664032,0.8852,0.8614,0.183539,0.75201,0.806739,0,0.45347586,-0.343446,0.66309411,0.44165886,0.06728,0.8851,0.8625,0.8814,0.8822,,0.09180493,0.09300352,0.92982816,45.09365801,0.0,45093658005855.47,500,50,1,0.06630000000000003,0.9303132226192978,0.0887,0.9065587555181838,0.06990000000000007,0.9264242169434517,0.06900000000000006,0.9272650830355266,,
13,0.0495571812682172,0.3283612948036193,0.88684,0.8463,0.180159,0.716844,0.768644,0,0.47944856,-0.319258,0.63583081,0.48668907,0.08672,0.89,0.8672,0.8819,0.8838,,0.08576867,0.12277563,0.9044104,42.77534795,0.0,42775347951376.41,500,50,1,0.06140000000000001,0.9354635274332562,0.08400000000000007,0.9114988438091234,0.06940000000000002,0.9269497582509986,0.06740000000000002,0.9289468152196763,,
14,0.0494805702655441,0.3147784123516082,0.8924,0.8085,0.179772,0.731437,0.786703,0,0.48512269,-0.314148,0.71628548,0.49616094,0.15408,0.892,0.8676,0.8858,0.8887,,0.09866019,0.14710584,0.88651095,47.27148131,0.0,47271481307168.04,500,50,1,0.05940000000000001,0.9375656926634434,0.08360000000000001,0.9119192768551608,0.0655,0.9310489804498634,0.0625,0.9340971200336347,,
15,0.0493979190484686,0.3083229657173156,0.8947,0.8482,0.171451,0.726113,0.79232,0,0.46595026,-0.33166,0.87321933,0.46315393,0.07718,0.895,0.8745,0.8832,0.8837,,0.10419484,0.10073544,0.92672778,42.97135461,0.0,42971354613359.77,500,50,1,0.056400000000000006,0.940718940508724,0.07669999999999999,0.9191717468993064,0.06810000000000005,0.9283161656506201,0.0675,0.9288417069581669,,
16,0.0493092480099419,0.2975901678848267,0.89642,0.8034,0.149545,0.710074,0.769722,0,0.4687074,-0.329098,0.74357114,0.46547575,0.111,0.8939,0.8733,0.8821,0.8826,,0.05599367,0.12138171,0.90808172,40.32456592,0.0,40324565924566.64,500,50,1,0.057499999999999996,0.939562749632121,0.07790000000000008,0.917910447761194,0.06920000000000004,0.9271599747740172,0.0686,0.927685516081564,,
17,0.0492145790282157,0.2923322440814972,0.8997,0.8523,0.170727,0.743983,0.790854,0,0.4215644,-0.375136,0.62953425,0.44135802,0.08832,0.8986,0.877,0.8921,0.8934,,0.05933375,0.11237376,0.91779404,38.56099982,0.0,38560999817930.45,500,50,1,0.05280000000000007,0.9445028379230607,0.07420000000000004,0.9217994534370402,0.05920000000000003,0.9376708009249527,0.057800000000000074,0.9390372083245743,,
18,0.0491139354614449,0.2872011950111389,0.90068,0.852,0.147285,0.751549,0.802521,0,0.41144429,-0.385689,0.72616931,0.4038373,0.06522,0.8954,0.8758,0.8833,0.8848,,0.05393678,0.08359964,0.93717324,33.83638389,0.0,33836383893593.797,500,50,1,0.05600000000000005,0.9411393735547614,0.07540000000000002,0.9205381542989279,0.06800000000000006,0.9284212739121295,0.06640000000000001,0.9299978978347698,,
19,0.0490073421419235,0.2759835490608215,0.9043,0.8693,0.129576,0.756232,0.800469,0,0.41180945,-0.385304,0.69753621,0.39457772,0.04666,0.8993,0.8807,0.8877,0.8912,,0.04218965,0.07050214,0.94369867,32.909964,0.0,32909963998591.992,500,50,1,0.052100000000000035,0.9452385957536262,0.07050000000000001,0.9256884591128863,0.06359999999999999,0.9330460374185411,0.06000000000000005,0.9367248265713685,,
20,0.0488948253699582,0.2729407195854187,0.90594,0.8614,0.13158,0.766151,0.80067,0,0.3994271,-0.398562,0.61334066,0.385839,0.07676,0.8984,0.8857,0.8906,0.8925,,0.04829012,0.09443479,0.92507374,34.77997721,0.0,34779977213379.34,500,50,1,0.05300000000000005,0.944292621400042,0.0655,0.9309438721883541,0.06070000000000009,0.9360941770023123,0.058700000000000085,0.93809123397099,,
22,0.0486521339706886,0.2662060968494415,0.90864,0.8683,0.127188,0.776612,0.805182,0,0.36841977,-0.433657,0.58780059,0.35385781,0.05358,0.9048,0.8853,0.8919,0.8942,,0.03249248,0.07225657,0.93996656,34.36040508,0.0,34360405076654.617,500,50,1,0.046599999999999975,0.9510195501366407,0.06590000000000007,0.9305234391423165,0.05940000000000001,0.937460584401934,0.05700000000000005,0.9398780744166492,,
24,0.0483861007707466,0.2510196538162231,0.91484,0.8756,0.155732,0.779093,0.801933,0,0.36481083,-0.437932,0.62364721,0.32456252,0.04778,0.9079,0.8924,0.8981,0.9,,0.03989137,0.06077713,0.945747,34.30503955,0.0,34305039547728.03,500,50,1,0.04349999999999998,0.9542779062434308,0.058800000000000074,0.9379861257094807,0.053200000000000025,0.943977296615514,0.05120000000000002,0.9459743535841917,,
26,0.0480969883127821,0.2456461287975311,0.91556,0.8321,0.1753,0.743399,0.770975,0,0.38797624,-0.411195,0.68538005,0.40467229,0.10382,0.9038,0.8921,0.8913,0.8927,,0.07444092,0.09726825,0.91687921,34.04491967,0.0,34044919672681.69,500,50,1,0.047599999999999976,0.9499684675215472,0.05910000000000004,0.9376708009249527,0.06000000000000005,0.9368299348328778,0.058499999999999996,0.9383014504940088,,
28,0.0477850819158861,0.2420835577011108,0.9154,0.8284,0.198899,0.737852,0.765813,0,0.44155594,-0.355014,0.6766835,0.37142325,0.08632,0.8957,0.8829,0.8777,0.8798,,0.08386726,0.08037211,0.93007019,34.08045015,0.0,34080450150179.723,500,50,1,0.05569999999999997,0.9414546983392895,0.06830000000000003,0.928000840866092,0.0736,0.9225352112676056,0.07140000000000002,0.9247424847593021,,
30,0.0474506893940153,0.2380353373336792,0.91806,0.8763,0.183965,0.787352,0.80439,0,0.34300853,-0.464695,0.59670408,0.33203801,0.04446,0.9065,0.894,0.8993,0.9008,,0.05874131,0.06084058,0.94565922,33.86257618,0.0,33862576184422.863,500,50,1,0.04490000000000005,0.9528063905822998,0.05720000000000003,0.9396678578936304,0.052000000000000046,0.9452385957536262,0.0504,0.9468152196762666,,
35,0.0465185506750986,0.2202376297569274,0.92364,0.8822,0.138308,0.800255,0.814072,0,0.33286216,-0.477736,0.53836967,0.31748187,0.03242,0.9109,0.901,0.9031,0.9053,,0.029717,0.05826684,0.94820737,37.82711353,0.0,37827113527564.54,500,50,1,0.04049999999999998,0.9574311540887114,0.05020000000000002,0.9470254361992853,0.04820000000000002,0.9492327096909817,0.04590000000000005,0.9515450914441875,,
40,0.0454537429356256,0.2105100207996368,0.9265,0.863,0.156549,0.778157,0.79131,0,0.34086108,-0.467423,0.52407033,0.33919294,0.06976,0.9154,0.8988,0.9006,0.9009,,0.04179987,0.07373613,0.93597472,34.7292711,0.0,34729271095880.387,500,50,1,0.03600000000000003,0.9621610258566323,0.0524,0.9447130544460794,0.05070000000000008,0.9466050031532478,0.05030000000000001,0.9469203279377759,,
45,0.0442628310693947,0.198181377711296,0.93196,0.8816,0.196534,0.81209,0.812361,0,0.30389049,-0.517283,0.48484595,0.27111341,0.04632,0.9134,0.9049,0.9052,0.9077,,0.06974111,0.05458197,0.94569058,36.03041838,0.0,36030418380211.81,500,50,1,0.038000000000000034,0.9600588606264452,0.04630000000000001,0.9511246583981501,0.04610000000000003,0.9514399831826782,0.043500000000000094,0.954067689720412,,
50,0.0429531574440797,0.1868193516254425,0.93608,0.8778,0.191453,0.786221,0.796452,0,0.30925019,-0.50969,0.57747865,0.30725285,0.03404,0.9124,0.9019,0.9015,0.901,,0.06962385,0.06449966,0.94191739,36.11089075,0.0,36110890750670.24,500,50,1,0.039000000000000035,0.9590077780113516,0.04930000000000001,0.9479714105528695,0.049800000000000066,0.9475509775068319,0.05020000000000002,0.9470254361992853,,
60,0.0400105056331471,0.1702025830030441,0.94122,0.8878,0.171943,0.805458,0.810702,0,0.27719364,-0.557217,0.56238425,0.27971772,0.0331,0.9181,0.9034,0.9072,0.9073,,0.04783907,0.07033793,0.93820871,38.97479766,0.0,38974797656730.18,500,50,1,0.033299999999999996,0.9649989489173849,0.047800000000000065,0.9495480344755097,0.04410000000000003,0.9535421484128652,0.04390000000000005,0.9536472566743746,,
70,0.0366982453565143,0.1540792822599411,0.94748,0.8824,0.173924,0.816291,0.818749,0,0.28537019,-0.544591,0.427138,0.25850825,0.03132,0.9113,0.9012,0.8989,0.9017,,0.05371251,0.04506875,0.95885461,34.8933731,0.0,34893373097442.984,500,50,1,0.040100000000000025,0.9578515871347487,0.050000000000000044,0.9472356527223039,0.0524,0.9448181627075888,0.0495000000000001,0.9477611940298507,,
