epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.06317,0.085368,0
1,2040,0.810942,0.451109,0.564163,0
2,2040,0.296676,0.515583,0.641791,0
3,2040,0.220237,0.553322,0.669226,0
4,2040,0.191231,0.638025,0.74511,0
5,2040,0.122902,0.662689,0.760269,0
6,2040,0.220918,0.590127,0.697594,0
7,2040,0.185249,0.688841,0.77787,0
8,2040,0.135762,0.677847,0.771853,0
9,2040,0.154443,0.6918,0.773686,0
10,2040,0.13655,0.718284,0.790149,0
11,2040,0.17248,0.680932,0.757617,0
12,2040,0.183539,0.75201,0.806739,0
13,2040,0.180159,0.716844,0.768644,0
14,2040,0.179772,0.731437,0.786703,0
15,2040,0.171451,0.726113,0.79232,0
16,2040,0.149545,0.710074,0.769722,0
17,2040,0.170727,0.743983,0.790854,0
18,2040,0.147285,0.751549,0.802521,0
19,2040,0.129576,0.756232,0.800469,0
20,2040,0.13158,0.766151,0.80067,0
22,2040,0.127188,0.776612,0.805182,0
24,2040,0.155732,0.779093,0.801933,0
26,2040,0.1753,0.743399,0.770975,0
28,2040,0.198899,0.737852,0.765813,0
30,2040,0.183965,0.787352,0.80439,0
35,2040,0.138308,0.800255,0.814072,0
40,2040,0.156549,0.778157,0.79131,0
45,2040,0.196534,0.81209,0.812361,0
50,2040,0.191453,0.786221,0.796452,0
60,2040,0.171943,0.805458,0.810702,0
70,2040,0.173924,0.816291,0.818749,0
80,2040,0.185894,0.831928,0.829358,0
90,2040,0.162283,0.845296,0.845704,0
100,2040,0.14681,0.854805,0.852937,0
110,2040,0.137195,0.877355,0.873724,0
120,2040,0.12731,0.883963,0.878727,0
130,2040,0.137638,0.884212,0.883663,0
140,2040,0.11643,0.933607,0.930227,0
150,2040,0.080154,0.943193,0.941398,0
160,2040,0.063867,0.979534,0.979452,0
170,2040,0.020454,0.995457,0.995586,0
180,2040,0.004188,0.99874,0.998596,1
190,2040,0.001548,0.999076,0.999076,1
200,2040,0.000924,1.0,nan,1
