epoch,probe_name,train_acc,test_acc,n_train,n_test,fit_seconds,status,error_message
0,logistic_regression,0.47802,0.4418,50000,10000,6.34,ok,
0,linear_svm,0.5408,0.3873,10000,10000,14.661,ok,
0,rbf_svm,0.5959,0.421,10000,10000,6.861,ok,
0,random_forest,1.0,0.3947,50000,10000,2.052,ok,
1,logistic_regression,0.68948,0.6579,50000,10000,4.265,ok,
1,linear_svm,0.7363,0.6099,10000,10000,10.552,ok,
1,rbf_svm,0.6935,0.6383,10000,10000,3.218,ok,
1,random_forest,1.0,0.6306,50000,10000,2.426,ok,
2,logistic_regression,0.79168,0.7483,50000,10000,4.569,ok,
2,linear_svm,0.84,0.7053,10000,10000,7.872,ok,
2,rbf_svm,0.789,0.7307,10000,10000,2.322,ok,
2,random_forest,1.0,0.7248,50000,10000,2.586,ok,
3,logistic_regression,0.83706,0.7998,50000,10000,3.261,ok,
3,linear_svm,0.8906,0.753,10000,10000,7.653,ok,
3,rbf_svm,0.8303,0.7858,10000,10000,1.921,ok,
3,random_forest,1.0,0.7816,50000,10000,2.915,ok,
4,logistic_regression,0.8714,0.8254,50000,10000,3.545,ok,
4,linear_svm,0.9229,0.786,10000,10000,5.703,ok,
4,rbf_svm,0.8657,0.8182,10000,10000,1.5,ok,
4,random_forest,1.0,0.8183,50000,10000,2.909,ok,
5,logistic_regression,0.88952,0.8405,50000,10000,3.467,ok,
5,linear_svm,0.9429,0.8089,10000,10000,6.367,ok,
5,rbf_svm,0.8855,0.834,10000,10000,1.312,ok,
5,random_forest,1.0,0.8335,50000,10000,2.764,ok,
6,logistic_regression,0.89688,0.846,50000,10000,3.538,ok,
6,linear_svm,0.949,0.8133,10000,10000,5.172,ok,
6,rbf_svm,0.8808,0.8315,10000,10000,1.35,ok,
6,random_forest,1.0,0.8296,50000,10000,2.725,ok,
7,logistic_regression,0.91802,0.868,50000,10000,3.864,ok,
7,linear_svm,0.9655,0.8351,10000,10000,4.912,ok,
7,rbf_svm,0.9022,0.8614,10000,10000,1.128,ok,
7,random_forest,1.0,0.8613,50000,10000,2.778,ok,
8,logistic_regression,0.91596,0.8635,50000,10000,3.925,ok,
8,linear_svm,0.963,0.8327,10000,10000,4.717,ok,
8,rbf_svm,0.8938,0.8508,10000,10000,1.128,ok,
8,random_forest,1.0,0.8512,50000,10000,2.805,ok,
9,logistic_regression,0.9278,0.8697,50000,10000,3.15,ok,
9,linear_svm,0.9712,0.8427,10000,10000,4.184,ok,
9,rbf_svm,0.91,0.8623,10000,10000,0.992,ok,
9,random_forest,1.0,0.8628,50000,10000,2.734,ok,
10,logistic_regression,0.93628,0.8788,50000,10000,2.949,ok,
10,linear_svm,0.9787,0.8513,10000,10000,4.297,ok,
10,rbf_svm,0.9192,0.8706,10000,10000,0.966,ok,
10,random_forest,1.0,0.869,50000,10000,2.75,ok,
11,logistic_regression,0.93836,0.876,50000,10000,3.173,ok,
11,linear_svm,0.9825,0.8567,10000,10000,4.217,ok,
11,rbf_svm,0.9219,0.8716,10000,10000,0.902,ok,
11,random_forest,1.0,0.8721,50000,10000,2.742,ok,
12,logistic_regression,0.9485,0.8851,50000,10000,2.883,ok,
12,linear_svm,0.9879,0.8625,10000,10000,3.979,ok,
12,rbf_svm,0.9352,0.8814,10000,10000,0.797,ok,
12,random_forest,1.0,0.8822,50000,10000,2.671,ok,
13,logistic_regression,0.94868,0.89,50000,10000,2.666,ok,
13,linear_svm,0.9865,0.8672,10000,10000,4.087,ok,
13,rbf_svm,0.9288,0.8819,10000,10000,0.845,ok,
13,random_forest,1.0,0.8838,50000,10000,2.751,ok,
14,logistic_regression,0.951,0.892,50000,10000,3.441,ok,
14,linear_svm,0.9864,0.8676,10000,10000,3.99,ok,
14,rbf_svm,0.9305,0.8858,10000,10000,0.789,ok,
14,random_forest,1.0,0.8887,50000,10000,2.578,ok,
15,logistic_regression,0.95076,0.895,50000,10000,2.787,ok,
15,linear_svm,0.9893,0.8745,10000,10000,3.965,ok,
15,rbf_svm,0.9325,0.8832,10000,10000,0.782,ok,
15,random_forest,1.0,0.8837,50000,10000,2.542,ok,
16,logistic_regression,0.95464,0.8939,50000,10000,3.359,ok,
16,linear_svm,0.9905,0.8733,10000,10000,4.059,ok,
16,rbf_svm,0.9329,0.8821,10000,10000,0.812,ok,
16,random_forest,1.0,0.8826,50000,10000,2.725,ok,
17,logistic_regression,0.95722,0.8986,50000,10000,3.164,ok,
17,linear_svm,0.9878,0.877,10000,10000,3.642,ok,
17,rbf_svm,0.9383,0.8921,10000,10000,0.721,ok,
17,random_forest,1.0,0.8934,50000,10000,2.643,ok,
18,logistic_regression,0.95352,0.8954,50000,10000,3.26,ok,
18,linear_svm,0.988,0.8758,10000,10000,3.812,ok,
18,rbf_svm,0.9332,0.8833,10000,10000,0.745,ok,
18,random_forest,1.0,0.8848,50000,10000,2.641,ok,
19,logistic_regression,0.9582,0.8993,50000,10000,3.284,ok,
19,linear_svm,0.9904,0.8807,10000,10000,3.71,ok,
19,rbf_svm,0.9381,0.8877,10000,10000,0.728,ok,
19,random_forest,1.0,0.8912,50000,10000,2.65,ok,
20,logistic_regression,0.96066,0.8984,50000,10000,2.531,ok,
20,linear_svm,0.9907,0.8857,10000,10000,3.587,ok,
20,rbf_svm,0.9436,0.8906,10000,10000,0.659,ok,
