epoch,probe_name,train_acc,test_acc,n_train,n_test,fit_seconds,status,error_message
0,logistic_regression,0.47434,0.4409,50000,10000,17.159,ok,
0,linear_svm,0.5424,0.3901,10000,10000,18.014,ok,
0,rbf_svm,0.5617,0.4182,10000,10000,8.373,ok,
0,random_forest,1.0,0.3853,50000,10000,2.837,ok,
1,logistic_regression,0.43728,0.418,50000,10000,11.671,ok,
1,linear_svm,0.4769,0.3944,10000,10000,382.581,ok,
1,rbf_svm,0.4503,0.388,10000,10000,7.263,ok,
1,random_forest,1.0,0.4219,50000,10000,1.202,ok,
2,logistic_regression,0.5417,0.5161,50000,10000,12.493,ok,
2,linear_svm,0.5975,0.4709,10000,10000,66.277,ok,
2,rbf_svm,0.6058,0.4835,10000,10000,6.402,ok,
2,random_forest,1.0,0.5104,50000,10000,1.441,ok,
3,logistic_regression,0.64234,0.6102,50000,10000,12.445,ok,
3,linear_svm,0.6972,0.5636,10000,10000,30.902,ok,
3,rbf_svm,0.6725,0.582,10000,10000,4.768,ok,
3,random_forest,1.0,0.5814,50000,10000,2.491,ok,
4,logistic_regression,0.73186,0.6906,50000,10000,14.794,ok,
4,linear_svm,0.7885,0.6547,10000,10000,18.214,ok,
4,rbf_svm,0.7449,0.6701,10000,10000,3.611,ok,
4,random_forest,1.0,0.6657,50000,10000,2.987,ok,
5,logistic_regression,0.77542,0.7353,50000,10000,19.028,ok,
5,linear_svm,0.831,0.6959,10000,10000,12.452,ok,
5,rbf_svm,0.7769,0.7148,10000,10000,3.076,ok,
5,random_forest,1.0,0.7084,50000,10000,3.124,ok,
6,logistic_regression,0.80334,0.7632,50000,10000,17.381,ok,
6,linear_svm,0.8505,0.7238,10000,10000,11.065,ok,
6,rbf_svm,0.8013,0.7397,10000,10000,2.947,ok,
6,random_forest,1.0,0.7297,50000,10000,3.156,ok,
7,logistic_regression,0.83408,0.7953,50000,10000,12.51,ok,
7,linear_svm,0.8871,0.7646,10000,10000,10.042,ok,
7,rbf_svm,0.8344,0.7746,10000,10000,2.61,ok,
7,random_forest,1.0,0.7737,50000,10000,3.064,ok,
8,logistic_regression,0.84448,0.8128,50000,10000,11.671,ok,
8,linear_svm,0.898,0.7705,10000,10000,9.076,ok,
8,rbf_svm,0.8385,0.7909,10000,10000,2.373,ok,
8,random_forest,1.0,0.7852,50000,10000,3.142,ok,
9,logistic_regression,0.85116,0.815,50000,10000,12.489,ok,
9,linear_svm,0.9037,0.7801,10000,10000,8.778,ok,
9,rbf_svm,0.8398,0.7957,10000,10000,2.274,ok,
9,random_forest,1.0,0.7902,50000,10000,3.131,ok,
10,logistic_regression,0.86074,0.8218,50000,10000,10.827,ok,
10,linear_svm,0.916,0.7902,10000,10000,7.959,ok,
10,rbf_svm,0.8467,0.795,10000,10000,2.187,ok,
10,random_forest,1.0,0.7902,50000,10000,3.04,ok,
11,logistic_regression,0.8737,0.8307,50000,10000,9.278,ok,
11,linear_svm,0.9274,0.7968,10000,10000,7.52,ok,
11,rbf_svm,0.8644,0.8149,10000,10000,1.961,ok,
11,random_forest,1.0,0.8139,50000,10000,3.231,ok,
12,logistic_regression,0.8724,0.8279,50000,10000,7.725,ok,
12,linear_svm,0.9238,0.7935,10000,10000,7.591,ok,
12,rbf_svm,0.8576,0.8099,10000,10000,1.982,ok,
12,random_forest,1.0,0.8086,50000,10000,3.37,ok,
13,logistic_regression,0.8673,0.8275,50000,10000,11.446,ok,
13,linear_svm,0.9172,0.7881,10000,10000,8.666,ok,
13,rbf_svm,0.85,0.8073,10000,10000,2.097,ok,
13,random_forest,1.0,0.8009,50000,10000,3.158,ok,
14,logistic_regression,0.88056,0.8342,50000,10000,8.46,ok,
14,linear_svm,0.9316,0.8004,10000,10000,6.981,ok,
14,rbf_svm,0.8704,0.8183,10000,10000,1.93,ok,
14,random_forest,1.0,0.8165,50000,10000,3.504,ok,
15,logistic_regression,0.88284,0.8423,50000,10000,7.577,ok,
15,linear_svm,0.9382,0.809,10000,10000,6.865,ok,
15,rbf_svm,0.8727,0.8258,10000,10000,1.777,ok,
15,random_forest,1.0,0.8258,50000,10000,3.104,ok,
16,logistic_regression,0.8889,0.847,50000,10000,8.129,ok,
16,linear_svm,0.9386,0.8114,10000,10000,7.17,ok,
16,rbf_svm,0.8761,0.8283,10000,10000,1.788,ok,
16,random_forest,1.0,0.8281,50000,10000,3.19,ok,
17,logistic_regression,0.89354,0.8544,50000,10000,13.496,ok,
17,linear_svm,0.9442,0.8167,10000,10000,6.62,ok,
